City,State,Country,Data_Source,WMO_Number,Latitude,Longitude,Time_Zone,Elevation
MIDLAND,TX,USA,TMY2-23023,722650,31.93,-102.2,-6,871
Harrison Faa Ap,AR,USA,TMY3,723446,36.27,-93.15,-6,419
Grand Island Central Ne Regio,NE,USA,TMY3,725520,40.97,-98.32,-6,561
FARGO,ND,USA,TMY2-14914,727530,46.9,-96.8,-6,274
Kinston Stallings Afb,NC,USA,TMY3,723067,35.32,-77.63,-5,29
New Orleans Alvin Callender F,LA,USA,TMY3,722316,29.82,-90.02,-6,2
DALIAN/DAIREN/LUDA,-,CHN,SWERA,546620,38.9,121.63,8,97
Dongtai,Jiangsu,CHN,CSWD,582510,32.87,120.32,8,4.3
Traverse City,MI,USA,TMY--14850,726387,44.73,-85.58,-5,190
WACO,TX,USA,TMY2-13959,722560,31.62,-97.22,-6,155
Jackson Hole,WY,USA,TMY3,725776,43.6,-110.73,-7,2016
WILMINGTON,NC,USA,TMY2-13748,723013,34.27,-77.9,-5,9
Lakeview  Awos,OR,USA,TMY3,725976,42.17,-120.4,-8,1441
HONOLULU,HI,USA,TMY2-22521,911820,21.33,-157.92,-10,5
LEXINGTON,KY,USA,TMY2-93820,724220,38.03,-84.6,-5,301
Morgantown Hart Field,WV,USA,TMY3,724176,39.65,-79.92,-5,378
AUSTIN,TX,USA,TMY2-13958,722540,30.3,-97.7,-6,189
Caldwell Essex Co,NJ,USA,TMY3,724094,40.88,-74.28,-5,53
ASHEVILLE,NC,USA,TMY2-03812,723150,35.43,-82.53,-5,661
Lanai,HI,USA,TMY3,911905,20.78,-156.95,-10,409
Lexington Bluegrass Ap,KY,USA,TMY3,724220,38.03,-84.6,-5,294
LOS_ANGELES,CA,USA,TMY2-23174,722950,33.93,-118.4,-8,32
Chicago Midway Ap,IL,USA,TMY3,725340,41.78,-87.75,-6,186
Cedar Rapids Municipal Ap,IA,USA,TMY3,725450,41.88,-91.72,-6,256
Fort Benning Lawson,GA,USA,TMY3,722250,32.35,-85,-6,88
Bismarck,ND,USA,TMY--24011,727640,46.77,-100.75,-6,506
Vance Afb,OK,USA,TMY3,723535,36.33,-97.92,-6,408
Wausau Municipal Arpt,WI,USA,TMY3,726463,44.92,-89.63,-6,366
Tianjin,Tianjin,CHN,CSWD,545270,39.08,117.07,8,2.5
SEMIPALATINSK,-,KAZ,IWEC Data,361770,50.35,80.25,6,196
Yangjiang,Guangdong,CHN,CSWD,596630,21.87,111.97,8,23.3
YOUNGSTOWN,OH,USA,TMY2-14852,725250,41.27,-80.67,-5,361
Chicago/Midway,IL,USA,TMY--14819,725340,41.78,-87.75,-6,187
Pocatello,ID,USA,TMY--24156,725780,42.92,-112.6,-7,1365
DHAKA/TEJGAON_(MIL),-,BGD,SWERA,419230,23.77,90.38,6,9
Mobile Downtown Ap,AL,USA,TMY3,722235,30.63,-88.07,-6,8
DAGGETT,CA,USA,TMY2-23161,723815,34.87,-116.78,-8,588
Springfield,IL,USA,TMY--93822,724390,39.85,-89.67,-6,187
Kelso Wb Ap,WA,USA,TMY3,727924,46.13,-122.9,-8,5
Abbotsford,BC,CAN,WYEC2-B-24288,711080,49.03,-122.37,-8,58
Daytona Beach,FL,USA,TMY--12834,722056,29.18,-81.05,-5,11
Chanute Martin Johnson Ap,KS,USA,TMY3,724507,37.67,-95.48,-6,298
Bismarck Municipal Arpt  Isis,ND,USA,TMY3,727640,46.77,-100.77,-7,502
Aurora State,OR,USA,TMY3,726959,45.25,-122.77,-8,60
RECIFE,-,BRA,IWEC Data,828990,-8.1,-34.88,-3,19
Winchester Rgnl,VA,USA,TMY3,724053,39.15,-78.15,-5,222
Raoyang,Hebei,CHN,CSWD,546060,38.23,115.73,8,19
White Plains Westchester Co A,NY,USA,TMY3,725037,41.07,-73.72,-5,122
Manitowac Muni Awos,WI,USA,TMY3,726455,44.13,-87.68,-6,198
Estherville Muni,IA,USA,TMY3,726499,43.4,-94.75,-6,401
Healy River Airport,AK,USA,TMY3,702647,63.88,-149.02,-9,396
Belleville Scott Afb,IL,USA,TMY3,724338,38.55,-89.85,-6,135
Lanzhou,Gansu,CHN,CSWD,528890,36.05,103.88,8,1517.2
ULAANBATAAR,-,MNG,IWEC Data,442920,47.93,106.98,8,1316
Minqin,Gansu,CHN,CSWD,526810,38.63,103.08,8,1367.5
Madoi,Qinghai,CHN,CSWD,560330,34.92,98.22,8,4272.3
Lijiang,Yunnan,CHN,CSWD,566510,26.87,100.22,8,2392.4
Yushe,Shanxi,CHN,CSWD,537870,37.07,112.98,8,1041.4
Birmingham Municipal Ap,AL,USA,TMY3,722280,33.57,-86.75,-6,189
CLEVELAND,OH,USA,TMY2-14820,725240,41.4,-81.85,-5,245
Wusu,Xinjiang Uygur,CHN,CSWD,513460,44.43,84.67,8,478.7
Salina Municipal Ap,KS,USA,TMY3,724586,38.82,-97.67,-6,385
Marathon Airport,FL,USA,TMY3,722016,24.73,-81.05,-5,2
Lingshan,Guangxi Zhuang,CHN,CSWD,594460,22.42,109.3,8,66.6
Martinsburg Eastern Wv Reg Ap,WV,USA,TMY3,724177,39.4,-77.98,-5,162
KALISPELL,MT,USA,TMY2-24146,727790,48.3,-114.27,-7,904
Winnemucca Municipal Arpt,NV,USA,TMY3,725830,40.9,-117.8,-8,1310
Resolute,NU,CAN,WYEC2-B-17901,719240,74.72,-94.98,-6,67
Hailisu,Nei Mongol,CHN,CSWD,532310,41.4,106.4,8,1509.6
MARSABIT,-,KEN,SWERA,636410,2.3,37.9,3,1345
Wilmington International Arpt,NC,USA,TMY3,723013,34.27,-77.9,-5,9
Jodhpur,Rajasthan,IND,ISHRAE,423390,26.3,73.02,5.5,217
Sterling/Washington Du,VA,USA,TMY--93734,724030,38.95,-77.45,-5,98
Truth or Consequences,NM,USA,TMY--93045,722710,33.23,-107.25,-7,1478
Mobridge,SD,USA,TMY3,726685,45.53,-100.43,-7,508
Dickinson Municipal Ap,ND,USA,TMY3,727645,46.8,-102.8,-7,788
Melbourne Regional Ap,FL,USA,TMY3,722040,28.12,-80.65,-5,11
Baudette International Ap,MN,USA,TMY3,727476,48.72,-94.6,-6,330
Bangalore,Karnataka,IND,ISHRAE,432950,12.97,77.58,5.5,921
Cherry Point Mcas,NC,USA,TMY3,723090,34.9,-76.88,-5,11
Harrison Marion Rgn,WV,USA,TMY3,724175,39.28,-80.23,-5,380
BRASILIA,-,BRA,IWEC Data,833780,-15.87,-47.93,-3,1061
Texarkana Webb Field,AR,USA,TMY3,723418,33.45,-94,-6,110
Hanksville,UT,USA,TMY3,724735,38.37,-110.72,-7,1313
DELINGHA,-,CHN,SWERA,527370,37.37,97.37,8,2982
Duluth,MN,USA,TMY--14913,727450,46.83,-92.18,-6,432
Kuandian,Liaoning,CHN,CSWD,544930,40.72,124.78,8,260.1
Austin,TX,USA,TMY--13958,722540,30.3,-97.7,-6,189
Anda,Heilongjiang,CHN,CSWD,508540,46.38,125.32,8,149.3
BISMARCK,ND,USA,TMY2-24011,727640,46.77,-100.75,-6,502
Tonopah Airport,NV,USA,TMY3,724855,38.07,-117.08,-8,1655
Miami Opa Locka,FL,USA,TMY3,722024,25.9,-80.28,-5,3
The Dalles Municipal Arpt,WA,USA,TMY3,726988,45.62,-121.15,-8,73
Dekalb Peachtree,GA,USA,TMY3,722196,33.87,-84.3,-5,313
SYLHET_OSMANI,-,BGD,SWERA,418910,24.9,91.88,6,35
Lemoore Reeves Nas,CA,USA,TMY3,747020,36.33,-119.95,-8,73
Nanping,Fujian,CHN,CSWD,588340,26.65,118.17,8,125.1
Cheyenne Municipal Arpt,WY,USA,TMY3,725640,41.15,-104.8,-7,1867
BARROW,AK,USA,TMY2-27502,700260,71.3,-156.78,-9,4
ULSAN,-,KOR,IWEC Data,471520,35.55,129.32,9,33
BANGKOK,-,THA,IWEC Data,484560,13.92,100.6,7,12
Bemidji Municipal,MN,USA,TMY3,727550,47.5,-94.93,-6,420
Mosinee Central Wi,WI,USA,TMY3,726465,44.78,-89.67,-6,389
Hooper Bay,AK,USA,TMY3,702186,61.52,-166.15,-9,6
Lansing Capital City Arpt,MI,USA,TMY3,725390,42.78,-84.58,-5,256
Kunming,Yunnan,CHN,CSWD,567780,25.02,102.68,8,1892.4
QUILLAYUTE,WA,USA,TMY2-94240,727970,47.95,-124.55,-8,55
New Delhi,Delhi,IND,ISHRAE,421820,28.58,77.2,5.5,216
NAIROBI,-,KEN,IWEC Data,637400,-1.32,36.92,3,1624
Manassas Muni Awos,VA,USA,TMY3,724036,38.72,-77.52,-5,59
Bryce Cnyn Faa Ap,UT,USA,TMY3,724756,37.7,-112.15,-7,2312
Ogden Hill Afb,UT,USA,TMY3,725755,41.12,-111.97,-7,1459
