city,qualfile,mjan,mfeb,mmar,mapr,mmay,mjun,mjul,maug,msep,moct,mnov,mdec,njan,nfeb,nmar,napr,nmay,njun,njul,naug,nsep,noct,nnov,ndec
Mount Clemens Selfridge Fld,Mount Clemens Selfridge Fld.txt,3.94,5.68,7.65,11.87,17.36,26.62,28.76,24.81,22.25,14.32,10.6,5.26,-1.87,-1.32,-0.45,0.02,5.76,14.53,16.35,14.57,9.75,3.93,0.77,-1.35,
Roosevelt Roads,Roosevelt Roads.txt,29.01,28.8,28.93,29.94,31.07,31.4,31.42,31.72,31.11,31.19,30.92,29.37,23.5,22.46,22.98,24.48,25.03,26.18,26.44,26.14,25.68,24.64,24.17,23.28,
Malad City,Malad City.txt,2.93,6.57,8.84,12.98,21.62,27.79,34.05,30.71,24.93,16.51,8.41,1.79,-4.24,-2.84,-2.59,-0.15,4.18,8.53,10.93,10.8,4.22,-0.91,-4.47,-5.86,
Changsha,Changsha.txt,9.09,10.15,13.6,20.28,25.53,29.23,33.18,31.53,27.13,23.46,17.64,11.52,2.71,4.41,7.33,13.61,18.36,22.76,25.18,24.42,20.12,14.7,9.94,3.37,
Gambell,Gambell.txt,-6.56,-8.46,-4.18,-7.91,2.58,4.9,8.95,10.06,6.33,2.6,-1.46,-7.68,-12.97,-13.37,-9.7,-11.67,-0.65,1.75,4.45,6.8,3.55,0.35,-4.56,-12.73,
Seattle-Tacoma/Int'l A,Seattle-TacomaIntl A.txt,5.66,8.03,10.03,12.08,16.26,19.42,22.88,22.57,19.99,14.2,10.59,7.07,1.96,3.32,2.47,4.48,7.65,11.04,11.6,13.35,10.37,7.24,5.59,2.13,
WARSAW,WARSAW.txt,1.5,0.53,7.81,13.41,18.63,21.12,23.01,23.25,17.35,12.85,6.28,2.58,-3.85,-3.85,-0.75,3.23,7.82,12.23,12.15,11.88,7.89,4.8,0.75,-2.58,
Worthington  Awos,Worthington  Awos.txt,-5.79,2.17,2.05,11.91,19.53,24.55,27.35,27.19,24.95,12.67,4.84,-1.17,-14.8,-7.14,-8.49,2.4,9.66,14.24,17.53,15.05,11.66,3.18,-4.81,-9.55,
CHOLUTECA,CHOLUTECA.txt,34.68,35.4,37.11,37.45,35.87,33.11,33.96,32.62,31.88,32.22,32.35,33.67,23.9,24.81,23.93,25.02,25.13,23.93,23.76,23.94,23.24,23.4,23.09,23.88,
Tonghe,Tonghe.txt,-14.46,-7.5,2.71,12.28,19.29,24.98,26.98,25.05,20.11,9.95,-2.12,-11.08,-27.05,-22.48,-11.75,-0.47,6.22,13.38,17.04,14.8,6.99,-0.54,-12.46,-23.0,
TALLAHASSEE,TALLAHASSEE.txt,17.25,17.05,21.26,25.27,30.25,31.55,31.84,31.17,30.54,27.86,21.56,17.93,3.87,3.94,9.05,12.1,16.37,21.45,21.72,22.18,20.25,14.57,7.63,4.25,
COLUMBUS,COLUMBUS.txt,12.59,14.95,19.87,25.69,27.36,29.61,32.69,31.94,30.05,23.63,19.54,14.93,2.29,1.45,7.86,11.29,15.04,20.82,23.43,22.59,20.62,11.88,6.85,4.68,
Corpus Christi,Corpus Christi.txt,19.05,19.87,23.51,26.57,29.3,31.21,34.02,33.33,32.2,28.04,25.03,19.2,8.8,10.0,13.81,19.03,22.12,23.78,24.5,24.87,23.07,19.09,14.68,9.07,
Farmington Four Corners Regl,Farmington Four Corners Regl.txt,6.95,8.71,11.22,21.93,26.42,31.93,33.77,31.65,25.89,19.44,10.67,7.26,-5.01,-4.07,-0.9,3.9,8.29,12.19,16.91,16.15,8.93,3.06,-2.57,-6.65,
Macon,Macon.txt,12.55,15.25,20.15,25.36,29.33,32.01,32.22,31.44,29.03,24.57,19.11,15.6,1.87,3.39,7.26,11.56,16.38,20.2,21.84,22.03,17.89,11.16,6.11,3.25,
Darlag,Darlag.txt,-3.45,-0.1,1.53,5.46,10.26,12.51,14.73,15.1,12.72,6.84,0.93,-2.4,-20.38,-15.94,-10.95,-4.82,-1.27,2.27,4.33,3.43,1.84,-4.59,-13.79,-18.62,
Fort Madison,Fort Madison.txt,0.52,3.19,10.85,17.73,20.52,26.67,29.3,28.23,30.54,17.15,9.03,5.75,-6.13,-3.2,1.92,7.76,11.55,15.48,19.07,18.58,18.27,7.1,0.07,-2.41,
Lafayette Regional Ap,Lafayette Regional Ap.txt,18.34,15.8,19.68,24.4,29.39,29.47,32.03,34.32,32.41,26.07,22.88,17.04,9.35,4.61,8.14,13.52,18.45,21.53,23.59,24.05,20.26,14.74,13.06,5.54,
KAGOSHIMA,KAGOSHIMA.txt,12.64,14.11,15.91,20.76,24.75,27.16,30.81,31.93,28.63,24.94,19.75,14.37,3.87,4.73,8.34,13.05,16.99,20.58,24.94,25.26,21.95,16.46,12.0,6.11,
Nitchequon,Nitchequon.txt,-17.77,-16.86,-7.81,1.04,7.36,14.26,17.36,15.66,9.44,1.75,-4.53,-14.38,-27.98,-27.72,-22.11,-11.61,-2.09,5.04,9.56,8.25,3.13,-1.88,-11.97,-24.62,
Sumter Shaw Afb,Sumter Shaw Afb.txt,11.09,15.61,16.69,22.04,26.14,30.83,32.16,29.65,26.94,24.12,16.41,14.16,-0.67,2.66,4.22,9.1,13.39,20.76,23.15,19.96,17.15,8.93,3.47,0.94,
PITTSBURGH,PITTSBURGH.txt,1.45,1.47,12.28,13.78,21.29,26.77,27.68,27.51,22.59,16.16,9.46,3.73,-7.73,-7.04,-0.12,2.74,9.95,14.75,15.07,16.22,12.2,5.9,0.76,-2.5,
Savannah Intl Ap,Savannah Intl Ap.txt,15.07,17.01,22.74,25.62,29.46,32.17,33.05,30.72,29.59,24.96,22.01,15.42,2.94,5.65,11.13,12.59,17.44,21.93,23.0,23.15,21.01,13.52,10.43,4.59,
Mineral Wells Municipal Ap,Mineral Wells Municipal Ap.txt,10.84,21.05,18.93,25.96,27.31,31.37,35.88,35.63,29.78,26.42,20.17,14.75,0.9,5.08,4.06,9.86,16.76,21.13,23.86,22.35,17.56,15.31,5.89,2.83,
Stillwater Rgnl,Stillwater Rgnl.txt,7.96,8.04,17.16,24.83,26.43,29.79,36.52,35.49,32.34,17.6,14.5,11.76,-3.04,-3.26,5.8,11.92,14.72,17.6,23.74,21.64,15.97,8.19,5.44,-2.01,
New Haven Tweed Airport,New Haven Tweed Airport.txt,1.65,7.49,7.44,14.24,18.68,23.7,25.75,27.55,23.28,15.44,13.34,3.72,-6.33,-0.74,-0.87,5.35,8.64,14.27,16.99,18.0,14.72,6.83,4.22,-3.07,
Anderson County Ap,Anderson County Ap.txt,8.53,11.85,14.61,21.07,25.74,28.79,32.92,30.81,28.87,21.93,21.05,11.31,-1.94,1.19,3.2,7.43,12.54,18.54,20.74,21.48,17.12,7.85,6.54,-1.1,
Dodge City Regional Ap,Dodge City Regional Ap.txt,2.05,7.66,13.27,20.86,24.94,30.06,34.36,31.63,28.11,21.73,13.07,8.25,-8.95,-3.42,-0.13,6.81,10.57,17.33,20.17,18.15,13.98,5.68,-1.24,-4.52,
Bandar Abass,Bandar Abass.txt,23.23,24.06,28.47,31.27,35.74,37.47,37.33,36.19,35.89,33.9,29.36,24.22,12.87,13.75,17.38,21.4,25.04,28.09,31.09,30.04,27.5,23.67,17.38,13.34,
Raipur,Raipur.txt,27.71,30.65,34.66,39.33,41.33,35.56,30.31,29.85,31.53,31.77,28.12,26.88,11.84,17.01,20.28,24.64,26.71,25.94,24.54,24.2,24.47,20.19,18.14,13.64,
Ogden Hinkley Airport,Ogden Hinkley Airport.txt,0.52,4.01,9.78,17.7,22.84,27.4,33.36,30.66,24.23,16.19,8.9,3.33,-6.48,-3.71,-0.99,5.87,9.07,13.17,18.37,17.26,11.07,5.74,0.35,-3.34,
DUBLIN,DUBLIN.txt,8.06,6.9,9.98,11.77,14.06,16.95,19.1,17.93,16.4,13.49,9.5,8.68,3.41,2.9,3.97,5.19,7.08,9.93,12.22,11.16,10.49,7.53,4.6,3.49,
