city,state,country,source,wmonum,latitude,longitude,timezone,elevation,link
Mount Clemens Selfridge Fld,MI,USA,TMY3,725377,42.62,-82.83,-5,177,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_MI_Mount.Clemens-Selfridge.ANGB.725377_TMY3.zip
Roosevelt Roads,PR,PRI,TMY3,785350,18.25,-65.63,-4,12,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/PRI_Roosevelt.Roads.NAS.785350_TMY3.zip
Malad City,ID,USA,TMY3,725786,42.15,-112.28,-7,1362,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_ID_Malad.City.AP.725786_TMY3.zip
Changsha,Hunan,CHN,CSWD,576870,28.22,112.92,8,68,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/2_asia_wmo_region_2/CHN_Hunan.Changsha.576870_CSWD.zip
Gambell,AK,USA,TMY3,702040,63.78,-171.75,-9,8,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_AK_Gambell.702040_TMY3.zip
Seattle-Tacoma/Int'l A,WA,USA,TMY--24233,727930,47.45,-122.3,-8,137,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_WA_Seattle-Tacoma.Intl.AP.727930_TMY.zip
WARSAW,-,POL,IWEC Data,123750,52.17,20.97,1,107,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/6_europe_wmo_region_6/POL_Warsaw.123750_IWEC.zip
Worthington  Awos,MN,USA,TMY3,726587,43.65,-95.58,-6,480,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_MN_Worthington.AWOS.726587_TMY3.zip
CHOLUTECA,-,HND,SWERA,787240,13.3,-87.18,-6,48,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/HND_Choluteca.787240_SWERA.zip
Tonghe,Heilongjiang,CHN,CSWD,509630,45.97,128.73,8,108.6,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/2_asia_wmo_region_2/CHN_Heilongjiang.Tonghe.509630_CSWD.zip
TALLAHASSEE,FL,USA,TMY2-93805,722140,30.38,-84.37,-5,21,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_FL_Tallahassee.722140_TMY2.zip
