                Average Minimum and Maximum Temperatures
                ========================================

                         Maximum Temperatures:
Month:	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	
AvgMax:-2.75	-3.74	2.36	2.72	1.88	3.07	4.23	5.85	6.82	7.84	8.84	8.72	
Time:12	13	14	14	12	12	13	13	12	13	13	13	

                         Minimum Temperatures
Month:	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	
AvgMin:-12.22	-13.53	-7.5	-7.5	-6.3	-6.43	-6.11	-4.53	-3.69	-3.02	-1.96	-1.56	
Time: 	12	11	9	9	10	9	8	8	10	11	9	10	

=================================================================================================

                           Solar Radiation Analysis
                            ========================
Lines checked: 2811
===============
No. of wrong lines: 44
==================
Wrong Direct Normal Radiation:
=================================
Year: 1988  Month: 3  Day: 31  Time: 8  Solar radiation: 559
Year: 1971  Month: 4  Day: 6  Time: 8  Solar radiation: 645
Year: 1971  Month: 4  Day: 7  Time: 8  Solar radiation: 558
Year: 1971  Month: 4  Day: 8  Time: 8  Solar radiation: 565
Year: 1971  Month: 4  Day: 11  Time: 8  Solar radiation: 648
Year: 1971  Month: 4  Day: 14  Time: 8  Solar radiation: 747
Year: 1971  Month: 4  Day: 19  Time: 8  Solar radiation: 668
Year: 1971  Month: 4  Day: 23  Time: 8  Solar radiation: 695
Year: 1976  Month: 5  Day: 7  Time: 8  Solar radiation: 663
Year: 1976  Month: 5  Day: 9  Time: 8  Solar radiation: 563
Year: 1976  Month: 5  Day: 10  Time: 8  Solar radiation: 682
Year: 1976  Month: 5  Day: 12  Time: 8  Solar radiation: 683
Year: 1976  Month: 5  Day: 19  Time: 8  Solar radiation: 681
Year: 1976  Month: 5  Day: 27  Time: 8  Solar radiation: 584
Year: 1979  Month: 6  Day: 2  Time: 8  Solar radiation: 634
Year: 1979  Month: 6  Day: 3  Time: 8  Solar radiation: 573
Year: 1979  Month: 6  Day: 6  Time: 7  Solar radiation: 601
Year: 1979  Month: 6  Day: 6  Time: 8  Solar radiation: 749
Year: 1979  Month: 6  Day: 13  Time: 7  Solar radiation: 603
Year: 1979  Month: 6  Day: 13  Time: 8  Solar radiation: 752
Year: 1979  Month: 6  Day: 14  Time: 8  Solar radiation: 551
Year: 1979  Month: 6  Day: 19  Time: 8  Solar radiation: 619
Year: 1979  Month: 6  Day: 24  Time: 8  Solar radiation: 589
Year: 1979  Month: 6  Day: 25  Time: 7  Solar radiation: 579
Year: 1979  Month: 6  Day: 25  Time: 8  Solar radiation: 731
Year: 1979  Month: 6  Day: 28  Time: 8  Solar radiation: 589
Year: 1969  Month: 7  Day: 2  Time: 8  Solar radiation: 559
Year: 1969  Month: 7  Day: 3  Time: 8  Solar radiation: 574
Year: 1969  Month: 7  Day: 6  Time: 8  Solar radiation: 729
Year: 1969  Month: 7  Day: 8  Time: 8  Solar radiation: 634
Year: 1969  Month: 7  Day: 12  Time: 7  Solar radiation: 592
Year: 1969  Month: 7  Day: 12  Time: 8  Solar radiation: 749
Year: 1969  Month: 7  Day: 13  Time: 8  Solar radiation: 705
Year: 1969  Month: 7  Day: 15  Time: 8  Solar radiation: 551
Year: 1969  Month: 7  Day: 19  Time: 8  Solar radiation: 676
Year: 1969  Month: 7  Day: 22  Time: 8  Solar radiation: 590
Year: 1969  Month: 7  Day: 25  Time: 8  Solar radiation: 600
Year: 1969  Month: 7  Day: 30  Time: 8  Solar radiation: 652
Year: 1966  Month: 8  Day: 3  Time: 8  Solar radiation: 643
Year: 1966  Month: 8  Day: 19  Time: 8  Solar radiation: 698
Year: 1966  Month: 8  Day: 27  Time: 8  Solar radiation: 557
Year: 1966  Month: 8  Day: 28  Time: 8  Solar radiation: 612
Year: 1985  Month: 9  Day: 12  Time: 8  Solar radiation: 592
Year: 1985  Month: 9  Day: 13  Time: 8  Solar radiation: 601
Wrong Global Horizontal Radiation:
==================================
Wrong Diffuse Horizontal Radiation:
====================================
