                Average Minimum and Maximum Temperatures
                ========================================

                         Maximum Temperatures:
Month:	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	
AvgMax:6.88	9.28	13.28	14.03	14.92	16.76	16.91	17.88	18.11	18.68	19.28	19.17	
Time:15	14	13	13	11	12	13	13	14	14	14	14	

                         Minimum Temperatures
Month:	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	
AvgMin:-6.85	-2.85	-0.09	-0.14	2.32	2.94	2.18	2.22	3.16	3.45	4.03	4.04	
Time: 	10	9	6	6	8	7	7	7	8	7	7	7	

=================================================================================================

                           Solar Radiation Analysis
                            ========================
Lines checked: 2909
===============
No. of wrong lines: 43
==================
Wrong Direct Normal Radiation:
=================================
Year: 1987  Month: 3  Day: 30  Time: 8  Solar radiation: 563
Year: 1988  Month: 4  Day: 6  Time: 8  Solar radiation: 577
Year: 1988  Month: 4  Day: 7  Time: 8  Solar radiation: 643
Year: 1988  Month: 4  Day: 12  Time: 8  Solar radiation: 648
Year: 1988  Month: 4  Day: 13  Time: 8  Solar radiation: 589
Year: 1988  Month: 4  Day: 19  Time: 8  Solar radiation: 587
Year: 1988  Month: 4  Day: 20  Time: 8  Solar radiation: 574
Year: 1988  Month: 4  Day: 25  Time: 8  Solar radiation: 620
Year: 1988  Month: 4  Day: 27  Time: 8  Solar radiation: 748
Year: 1967  Month: 5  Day: 1  Time: 8  Solar radiation: 672
Year: 1967  Month: 5  Day: 3  Time: 8  Solar radiation: 724
Year: 1967  Month: 5  Day: 7  Time: 8  Solar radiation: 565
Year: 1967  Month: 5  Day: 8  Time: 8  Solar radiation: 713
Year: 1967  Month: 5  Day: 15  Time: 8  Solar radiation: 678
Year: 1967  Month: 5  Day: 16  Time: 8  Solar radiation: 711
Year: 1967  Month: 5  Day: 17  Time: 8  Solar radiation: 634
Year: 1967  Month: 5  Day: 18  Time: 8  Solar radiation: 616
Year: 1967  Month: 5  Day: 22  Time: 8  Solar radiation: 669
Year: 1967  Month: 5  Day: 23  Time: 8  Solar radiation: 640
Year: 1967  Month: 5  Day: 24  Time: 8  Solar radiation: 680
Year: 1967  Month: 5  Day: 25  Time: 8  Solar radiation: 721
Year: 1968  Month: 6  Day: 6  Time: 8  Solar radiation: 681
Year: 1968  Month: 6  Day: 11  Time: 8  Solar radiation: 681
Year: 1968  Month: 6  Day: 13  Time: 8  Solar radiation: 593
Year: 1968  Month: 6  Day: 18  Time: 8  Solar radiation: 635
Year: 1968  Month: 6  Day: 20  Time: 8  Solar radiation: 674
Year: 1968  Month: 6  Day: 21  Time: 8  Solar radiation: 732
Year: 1968  Month: 6  Day: 22  Time: 8  Solar radiation: 577
Year: 1965  Month: 7  Day: 6  Time: 8  Solar radiation: 560
Year: 1965  Month: 7  Day: 12  Time: 8  Solar radiation: 581
Year: 1965  Month: 7  Day: 13  Time: 8  Solar radiation: 704
Year: 1965  Month: 7  Day: 17  Time: 8  Solar radiation: 693
Year: 1965  Month: 7  Day: 18  Time: 8  Solar radiation: 571
Year: 1965  Month: 7  Day: 23  Time: 8  Solar radiation: 590
Year: 1965  Month: 7  Day: 26  Time: 8  Solar radiation: 591
Year: 1965  Month: 7  Day: 29  Time: 8  Solar radiation: 657
Year: 1965  Month: 7  Day: 30  Time: 8  Solar radiation: 607
Year: 1961  Month: 8  Day: 17  Time: 8  Solar radiation: 614
Year: 1967  Month: 9  Day: 11  Time: 8  Solar radiation: 561
Year: 1967  Month: 9  Day: 17  Time: 8  Solar radiation: 562
Year: 1967  Month: 9  Day: 23  Time: 8  Solar radiation: 573
Year: 1967  Month: 9  Day: 29  Time: 8  Solar radiation: 562
Year: 1967  Month: 9  Day: 30  Time: 8  Solar radiation: 551
Wrong Global Horizontal Radiation:
==================================
Wrong Diffuse Horizontal Radiation:
====================================
