                Average Minimum and Maximum Temperatures
                ========================================

                         Maximum Temperatures:
Month:	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	
AvgMax:18.96	24.55	22.21	25.23	25.87	26.43	28.67	29.46	30.58	31.1	30.53	30.29	
Time:15	14	15	15	15	15	15	15	15	15	15	15	

                         Minimum Temperatures
Month:	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	
AvgMin:6.5	7.35	7.54	12.06	12.89	13.2	14.25	14.58	15.36	15.7	15.67	15.28	
Time: 	7	6	8	7	6	6	5	5	5	5	5	6	

=================================================================================================

                           Solar Radiation Analysis
                            ========================
Lines checked: 2782
===============
No. of wrong lines: 35
==================
Wrong Direct Normal Radiation:
=================================
Year: 1984  Month: 2  Day: 6  Time: 8  Solar radiation: 591
Year: 1993  Month: 4  Day: 9  Time: 8  Solar radiation: 559
Year: 1993  Month: 4  Day: 10  Time: 8  Solar radiation: 588
Year: 1993  Month: 4  Day: 15  Time: 8  Solar radiation: 563
Year: 1993  Month: 4  Day: 16  Time: 8  Solar radiation: 762
Year: 1993  Month: 4  Day: 18  Time: 8  Solar radiation: 784
Year: 1993  Month: 4  Day: 19  Time: 8  Solar radiation: 844
Year: 1993  Month: 4  Day: 24  Time: 8  Solar radiation: 622
Year: 1993  Month: 4  Day: 26  Time: 7  Solar radiation: 551
Year: 1993  Month: 4  Day: 26  Time: 8  Solar radiation: 793
Year: 1993  Month: 4  Day: 27  Time: 8  Solar radiation: 582
Year: 1993  Month: 4  Day: 28  Time: 8  Solar radiation: 596
Year: 1996  Month: 5  Day: 1  Time: 7  Solar radiation: 565
Year: 1996  Month: 5  Day: 1  Time: 8  Solar radiation: 715
Year: 1996  Month: 5  Day: 2  Time: 8  Solar radiation: 562
Year: 1996  Month: 5  Day: 5  Time: 8  Solar radiation: 691
Year: 1996  Month: 5  Day: 12  Time: 8  Solar radiation: 819
Year: 1996  Month: 5  Day: 13  Time: 8  Solar radiation: 1191
Year: 1996  Month: 5  Day: 17  Time: 8  Solar radiation: 620
Year: 1996  Month: 5  Day: 30  Time: 7  Solar radiation: 586
Year: 1993  Month: 6  Day: 2  Time: 7  Solar radiation: 672
Year: 1993  Month: 6  Day: 2  Time: 8  Solar radiation: 658
Year: 1993  Month: 6  Day: 3  Time: 8  Solar radiation: 601
Year: 1993  Month: 6  Day: 5  Time: 7  Solar radiation: 595
Year: 1993  Month: 6  Day: 5  Time: 8  Solar radiation: 703
Year: 1993  Month: 7  Day: 8  Time: 8  Solar radiation: 583
Year: 1993  Month: 7  Day: 9  Time: 8  Solar radiation: 860
Year: 1993  Month: 7  Day: 21  Time: 7  Solar radiation: 649
Year: 1993  Month: 7  Day: 21  Time: 8  Solar radiation: 741
Year: 1993  Month: 7  Day: 22  Time: 8  Solar radiation: 816
Year: 1993  Month: 7  Day: 23  Time: 8  Solar radiation: 856
Year: 1993  Month: 7  Day: 26  Time: 8  Solar radiation: 594
Year: 1994  Month: 8  Day: 27  Time: 8  Solar radiation: 560
Year: 2000  Month: 9  Day: 4  Time: 8  Solar radiation: 681
Year: 1998  Month: 10  Day: 1  Time: 8  Solar radiation: 673
Year: 1997  Month: 11  Day: 2  Time: 8  Solar radiation: 658
Wrong Global Horizontal Radiation:
==================================
Wrong Diffuse Horizontal Radiation:
====================================
