                Average Minimum and Maximum Temperatures
                ========================================

                         Maximum Temperatures:
Month:	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	
AvgMax:-0.39	-1.88	2.47	5.64	11.85	11.9	11.5	11.52	12.31	16.1	16.13	17.23	
Time:11	10	11	12	12	12	12	12	13	12	13	13	

                         Minimum Temperatures
Month:	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	
AvgMin:-6.55	-9.95	-3.61	-1.92	2.5	2.92	2.82	2.7	2.83	7.77	7.5	8.17	
Time: 	12	10	12	12	9	9	10	9	9	4	4	6	

=================================================================================================

                           Solar Radiation Analysis
                            ========================
Lines checked: 2361
===============
No. of wrong lines: 47
==================
Wrong Direct Normal Radiation:
=================================
Year: 1968  Month: 3  Day: 25  Time: 8  Solar radiation: 645
Year: 1967  Month: 4  Day: 16  Time: 8  Solar radiation: 702
Year: 1967  Month: 4  Day: 20  Time: 8  Solar radiation: 663
Year: 1967  Month: 4  Day: 26  Time: 8  Solar radiation: 637
Year: 1967  Month: 4  Day: 28  Time: 8  Solar radiation: 789
Year: 1980  Month: 5  Day: 3  Time: 8  Solar radiation: 725
Year: 1980  Month: 5  Day: 4  Time: 8  Solar radiation: 735
Year: 1980  Month: 5  Day: 7  Time: 8  Solar radiation: 627
Year: 1980  Month: 5  Day: 8  Time: 8  Solar radiation: 681
Year: 1980  Month: 5  Day: 10  Time: 8  Solar radiation: 646
Year: 1980  Month: 5  Day: 16  Time: 8  Solar radiation: 759
Year: 1980  Month: 5  Day: 22  Time: 7  Solar radiation: 606
Year: 1980  Month: 5  Day: 22  Time: 8  Solar radiation: 750
Year: 1980  Month: 5  Day: 25  Time: 8  Solar radiation: 750
Year: 1980  Month: 5  Day: 26  Time: 8  Solar radiation: 817
Year: 1970  Month: 6  Day: 4  Time: 7  Solar radiation: 581
Year: 1970  Month: 6  Day: 7  Time: 7  Solar radiation: 599
Year: 1970  Month: 6  Day: 7  Time: 8  Solar radiation: 738
Year: 1970  Month: 6  Day: 8  Time: 7  Solar radiation: 586
Year: 1970  Month: 6  Day: 8  Time: 8  Solar radiation: 754
Year: 1970  Month: 6  Day: 9  Time: 8  Solar radiation: 680
Year: 1970  Month: 6  Day: 10  Time: 7  Solar radiation: 591
Year: 1970  Month: 6  Day: 10  Time: 8  Solar radiation: 590
Year: 1970  Month: 6  Day: 13  Time: 7  Solar radiation: 579
Year: 1970  Month: 6  Day: 13  Time: 8  Solar radiation: 691
Year: 1970  Month: 6  Day: 14  Time: 7  Solar radiation: 657
Year: 1970  Month: 6  Day: 14  Time: 8  Solar radiation: 777
Year: 1970  Month: 6  Day: 20  Time: 8  Solar radiation: 658
Year: 1970  Month: 6  Day: 23  Time: 8  Solar radiation: 606
Year: 1970  Month: 6  Day: 28  Time: 8  Solar radiation: 657
Year: 1966  Month: 7  Day: 1  Time: 8  Solar radiation: 578
Year: 1966  Month: 7  Day: 2  Time: 7  Solar radiation: 587
Year: 1966  Month: 7  Day: 2  Time: 8  Solar radiation: 769
Year: 1966  Month: 7  Day: 15  Time: 8  Solar radiation: 663
Year: 1966  Month: 7  Day: 16  Time: 8  Solar radiation: 565
Year: 1966  Month: 7  Day: 20  Time: 8  Solar radiation: 603
Year: 1966  Month: 7  Day: 21  Time: 8  Solar radiation: 772
Year: 1966  Month: 7  Day: 25  Time: 8  Solar radiation: 597
Year: 1966  Month: 7  Day: 30  Time: 8  Solar radiation: 722
Year: 1966  Month: 7  Day: 31  Time: 8  Solar radiation: 569
Year: 1966  Month: 8  Day: 3  Time: 8  Solar radiation: 576
Year: 1966  Month: 8  Day: 4  Time: 8  Solar radiation: 665
Year: 1966  Month: 8  Day: 13  Time: 8  Solar radiation: 695
Year: 1966  Month: 8  Day: 20  Time: 8  Solar radiation: 562
Year: 1990  Month: 9  Day: 12  Time: 8  Solar radiation: 660
Year: 1990  Month: 9  Day: 14  Time: 8  Solar radiation: 605
Year: 1990  Month: 9  Day: 18  Time: 8  Solar radiation: 572
Wrong Global Horizontal Radiation:
==================================
Wrong Diffuse Horizontal Radiation:
====================================
