                Average Minimum and Maximum Temperatures
                ========================================

                         Maximum Temperatures:
Month:	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	
AvgMax:-17.04	-11.96	-2.55	-0.97	4.71	5.73	5.12	5.05	5.01	5.14	6.29	6.72	
Time:12	13	14	14	13	13	13	13	13	13	13	13	

                         Minimum Temperatures
Month:	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	
AvgMin:-24.09	-21.52	-13.89	-12.88	-8.14	-6.33	-6.82	-6.56	-6.32	-6.32	-5.61	-5.47	
Time: 	9	9	10	9	5	6	6	6	5	5	5	5	

=================================================================================================

                           Solar Radiation Analysis
                            ========================
Lines checked: 2958
===============
No. of wrong lines: 80
==================
Wrong Direct Normal Radiation:
=================================
Year: 1975  Month: 3  Day: 20  Time: 8  Solar radiation: 575
Year: 1978  Month: 4  Day: 7  Time: 8  Solar radiation: 579
Year: 1978  Month: 4  Day: 15  Time: 8  Solar radiation: 661
Year: 1978  Month: 4  Day: 17  Time: 8  Solar radiation: 569
Year: 1978  Month: 4  Day: 19  Time: 8  Solar radiation: 607
Year: 1978  Month: 4  Day: 21  Time: 7  Solar radiation: 580
Year: 1978  Month: 4  Day: 21  Time: 8  Solar radiation: 748
Year: 1978  Month: 4  Day: 24  Time: 8  Solar radiation: 600
Year: 1978  Month: 4  Day: 25  Time: 8  Solar radiation: 587
Year: 1978  Month: 4  Day: 30  Time: 8  Solar radiation: 622
Year: 1977  Month: 5  Day: 2  Time: 7  Solar radiation: 576
Year: 1977  Month: 5  Day: 2  Time: 8  Solar radiation: 655
Year: 1977  Month: 5  Day: 7  Time: 8  Solar radiation: 670
Year: 1977  Month: 5  Day: 10  Time: 7  Solar radiation: 557
Year: 1977  Month: 5  Day: 10  Time: 8  Solar radiation: 785
Year: 1977  Month: 5  Day: 11  Time: 7  Solar radiation: 598
Year: 1977  Month: 5  Day: 11  Time: 8  Solar radiation: 564
Year: 1977  Month: 5  Day: 14  Time: 7  Solar radiation: 600
Year: 1977  Month: 5  Day: 14  Time: 8  Solar radiation: 729
Year: 1977  Month: 5  Day: 17  Time: 8  Solar radiation: 631
Year: 1977  Month: 5  Day: 18  Time: 8  Solar radiation: 551
Year: 1977  Month: 5  Day: 23  Time: 8  Solar radiation: 635
Year: 1977  Month: 5  Day: 28  Time: 7  Solar radiation: 638
Year: 1977  Month: 5  Day: 28  Time: 8  Solar radiation: 766
Year: 2002  Month: 6  Day: 2  Time: 8  Solar radiation: 588
Year: 2002  Month: 6  Day: 3  Time: 7  Solar radiation: 684
Year: 2002  Month: 6  Day: 3  Time: 8  Solar radiation: 786
Year: 2002  Month: 6  Day: 5  Time: 8  Solar radiation: 588
Year: 2002  Month: 6  Day: 8  Time: 6  Solar radiation: 570
Year: 2002  Month: 6  Day: 8  Time: 7  Solar radiation: 725
Year: 2002  Month: 6  Day: 8  Time: 8  Solar radiation: 812
Year: 2002  Month: 6  Day: 15  Time: 8  Solar radiation: 562
Year: 2002  Month: 6  Day: 16  Time: 8  Solar radiation: 608
Year: 2002  Month: 6  Day: 20  Time: 7  Solar radiation: 581
Year: 2002  Month: 6  Day: 20  Time: 8  Solar radiation: 556
Year: 2002  Month: 6  Day: 23  Time: 7  Solar radiation: 604
Year: 2002  Month: 6  Day: 23  Time: 8  Solar radiation: 753
Year: 2002  Month: 6  Day: 24  Time: 8  Solar radiation: 579
Year: 2002  Month: 6  Day: 26  Time: 7  Solar radiation: 687
Year: 2002  Month: 6  Day: 26  Time: 8  Solar radiation: 734
Year: 2002  Month: 6  Day: 30  Time: 7  Solar radiation: 582
Year: 2002  Month: 6  Day: 30  Time: 8  Solar radiation: 686
Year: 1990  Month: 7  Day: 3  Time: 8  Solar radiation: 704
Year: 1990  Month: 7  Day: 13  Time: 8  Solar radiation: 604
Year: 1990  Month: 7  Day: 18  Time: 7  Solar radiation: 674
Year: 1990  Month: 7  Day: 18  Time: 8  Solar radiation: 770
Year: 1990  Month: 7  Day: 19  Time: 8  Solar radiation: 668
Year: 1990  Month: 7  Day: 20  Time: 7  Solar radiation: 598
Year: 1990  Month: 7  Day: 20  Time: 8  Solar radiation: 721
Year: 1990  Month: 7  Day: 21  Time: 8  Solar radiation: 636
Year: 1990  Month: 7  Day: 25  Time: 7  Solar radiation: 690
Year: 1990  Month: 7  Day: 25  Time: 8  Solar radiation: 765
Year: 1990  Month: 7  Day: 31  Time: 8  Solar radiation: 609
Year: 1996  Month: 8  Day: 4  Time: 7  Solar radiation: 624
Year: 1996  Month: 8  Day: 4  Time: 8  Solar radiation: 724
Year: 1996  Month: 8  Day: 5  Time: 8  Solar radiation: 661
Year: 1996  Month: 8  Day: 8  Time: 8  Solar radiation: 558
Year: 1996  Month: 8  Day: 17  Time: 8  Solar radiation: 611
Year: 1996  Month: 8  Day: 21  Time: 7  Solar radiation: 680
Year: 1996  Month: 8  Day: 21  Time: 8  Solar radiation: 814
Year: 1996  Month: 8  Day: 24  Time: 7  Solar radiation: 568
Year: 1996  Month: 8  Day: 27  Time: 8  Solar radiation: 638
Year: 1996  Month: 8  Day: 31  Time: 8  Solar radiation: 777
Year: 1995  Month: 9  Day: 4  Time: 8  Solar radiation: 556
Year: 1995  Month: 9  Day: 7  Time: 8  Solar radiation: 604
Year: 1995  Month: 9  Day: 8  Time: 8  Solar radiation: 627
Year: 1995  Month: 9  Day: 13  Time: 8  Solar radiation: 642
Year: 1995  Month: 9  Day: 14  Time: 8  Solar radiation: 654
Year: 1995  Month: 9  Day: 16  Time: 8  Solar radiation: 733
Year: 1995  Month: 9  Day: 17  Time: 8  Solar radiation: 638
Year: 1995  Month: 9  Day: 20  Time: 8  Solar radiation: 643
Year: 1995  Month: 9  Day: 26  Time: 8  Solar radiation: 582
Year: 1987  Month: 10  Day: 30  Time: 8  Solar radiation: 568
Wrong Global Horizontal Radiation:
==================================
Wrong Diffuse Horizontal Radiation:
====================================
Year: 1977  Month: 5  Day: 20  Time: 8  Solar radiation: 281
Year: 1977  Month: 5  Day: 27  Time: 8  Solar radiation: 342
Year: 2002  Month: 6  Day: 13  Time: 8  Solar radiation: 351
