                Average Minimum and Maximum Temperatures
                ========================================

                         Maximum Temperatures:
Month:	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	
AvgMax:-7.96	-3.25	-4.66	-4.29	-1.6	15.83	11.9	11.64	12.42	13.28	13.25	13.8	
Time:14	13	12	12	8	13	13	13	13	13	13	8	

                         Minimum Temperatures
Month:	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	
AvgMin:-17.99	-13.4	-15.18	-15.03	-7.1	2.46	0.19	-0.02	0.34	1.15	1.19	5.5	
Time: 	12	11	7	7	6	10	10	11	10	10	10	1	

=================================================================================================

                           Solar Radiation Analysis
                            ========================
Lines checked: 2457
===============
No. of wrong lines: 63
==================
Wrong Direct Normal Radiation:
=================================
Year: 1996  Month: 3  Day: 29  Time: 8  Solar radiation: 578
Year: 1991  Month: 4  Day: 1  Time: 8  Solar radiation: 676
Year: 1991  Month: 4  Day: 10  Time: 8  Solar radiation: 684
Year: 1991  Month: 4  Day: 21  Time: 8  Solar radiation: 785
Year: 1991  Month: 4  Day: 24  Time: 8  Solar radiation: 726
Year: 1991  Month: 4  Day: 25  Time: 8  Solar radiation: 792
Year: 1991  Month: 4  Day: 28  Time: 8  Solar radiation: 627
Year: 1998  Month: 5  Day: 1  Time: 8  Solar radiation: 600
Year: 1998  Month: 5  Day: 2  Time: 8  Solar radiation: 655
Year: 1998  Month: 5  Day: 3  Time: 8  Solar radiation: 667
Year: 1998  Month: 5  Day: 4  Time: 8  Solar radiation: 686
Year: 1998  Month: 5  Day: 5  Time: 8  Solar radiation: 666
Year: 1998  Month: 5  Day: 10  Time: 8  Solar radiation: 683
Year: 1998  Month: 5  Day: 18  Time: 8  Solar radiation: 712
Year: 1998  Month: 5  Day: 19  Time: 7  Solar radiation: 573
Year: 1998  Month: 5  Day: 20  Time: 7  Solar radiation: 560
Year: 1998  Month: 5  Day: 20  Time: 8  Solar radiation: 687
Year: 1998  Month: 5  Day: 21  Time: 8  Solar radiation: 711
Year: 1998  Month: 5  Day: 25  Time: 8  Solar radiation: 711
Year: 1998  Month: 5  Day: 26  Time: 7  Solar radiation: 570
Year: 1998  Month: 5  Day: 26  Time: 8  Solar radiation: 704
Year: 1998  Month: 5  Day: 27  Time: 7  Solar radiation: 563
Year: 1998  Month: 5  Day: 27  Time: 8  Solar radiation: 723
Year: 2001  Month: 6  Day: 3  Time: 8  Solar radiation: 673
Year: 2001  Month: 6  Day: 4  Time: 8  Solar radiation: 666
Year: 2001  Month: 6  Day: 8  Time: 8  Solar radiation: 697
Year: 2001  Month: 6  Day: 9  Time: 7  Solar radiation: 554
Year: 2001  Month: 6  Day: 9  Time: 8  Solar radiation: 697
Year: 2001  Month: 6  Day: 10  Time: 8  Solar radiation: 697
Year: 2001  Month: 6  Day: 12  Time: 8  Solar radiation: 697
Year: 2001  Month: 6  Day: 19  Time: 7  Solar radiation: 554
Year: 2001  Month: 6  Day: 19  Time: 8  Solar radiation: 703
Year: 2001  Month: 6  Day: 20  Time: 7  Solar radiation: 554
Year: 2001  Month: 6  Day: 20  Time: 8  Solar radiation: 703
Year: 2001  Month: 6  Day: 21  Time: 7  Solar radiation: 560
Year: 2001  Month: 6  Day: 21  Time: 8  Solar radiation: 709
Year: 2001  Month: 6  Day: 22  Time: 7  Solar radiation: 579
Year: 2001  Month: 6  Day: 22  Time: 8  Solar radiation: 635
Year: 2001  Month: 6  Day: 23  Time: 7  Solar radiation: 586
Year: 2001  Month: 6  Day: 23  Time: 8  Solar radiation: 679
Year: 2001  Month: 6  Day: 27  Time: 8  Solar radiation: 562
Year: 2001  Month: 6  Day: 28  Time: 8  Solar radiation: 630
Year: 2000  Month: 7  Day: 1  Time: 7  Solar radiation: 562
Year: 2000  Month: 7  Day: 1  Time: 8  Solar radiation: 655
Year: 2000  Month: 7  Day: 9  Time: 8  Solar radiation: 687
Year: 2000  Month: 7  Day: 10  Time: 8  Solar radiation: 693
Year: 2000  Month: 7  Day: 11  Time: 8  Solar radiation: 569
Year: 2000  Month: 7  Day: 13  Time: 8  Solar radiation: 650
Year: 2000  Month: 7  Day: 14  Time: 8  Solar radiation: 663
Year: 2000  Month: 7  Day: 15  Time: 8  Solar radiation: 607
Year: 2000  Month: 7  Day: 19  Time: 8  Solar radiation: 583
Year: 2000  Month: 7  Day: 20  Time: 8  Solar radiation: 658
Year: 2000  Month: 7  Day: 21  Time: 8  Solar radiation: 633
Year: 2000  Month: 7  Day: 23  Time: 8  Solar radiation: 615
Year: 2000  Month: 7  Day: 27  Time: 8  Solar radiation: 573
Year: 2000  Month: 7  Day: 28  Time: 8  Solar radiation: 560
Year: 2002  Month: 8  Day: 2  Time: 8  Solar radiation: 618
Year: 2002  Month: 8  Day: 10  Time: 8  Solar radiation: 564
Year: 2002  Month: 8  Day: 13  Time: 8  Solar radiation: 653
Year: 2002  Month: 8  Day: 18  Time: 8  Solar radiation: 580
Year: 2002  Month: 8  Day: 19  Time: 8  Solar radiation: 631
Year: 1998  Month: 9  Day: 8  Time: 8  Solar radiation: 563
Year: 1998  Month: 9  Day: 17  Time: 8  Solar radiation: 573
Wrong Global Horizontal Radiation:
==================================
Wrong Diffuse Horizontal Radiation:
====================================
