                Average Minimum and Maximum Temperatures
                ========================================

                         Maximum Temperatures:
Month:	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	
AvgMax:-2.66	0.21	2.99	5.5	9.08	9.2	9.8	9.9	10.89	11.52	11.72	8.9	
Time:12	14	13	13	12	12	12	12	12	12	12	13	

                         Minimum Temperatures
Month:	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	
AvgMin:-7.25	-4.91	-3.47	-2.55	0.78	0.78	1.16	1.16	1.74	2.23	2.23	3.37	
Time: 	10	11	11	11	11	11	10	10	10	10	10	9	

=================================================================================================

                           Solar Radiation Analysis
                            ========================
Lines checked: 3297
===============
No. of wrong lines: 94
==================
Wrong Direct Normal Radiation:
=================================
Year: 2005  Month: 3  Day: 21  Time: 8  Solar radiation: 697
Year: 2005  Month: 4  Day: 22  Time: 7  Solar radiation: 655
Year: 2005  Month: 4  Day: 22  Time: 8  Solar radiation: 737
Year: 2005  Month: 4  Day: 23  Time: 7  Solar radiation: 656
Year: 2005  Month: 4  Day: 23  Time: 8  Solar radiation: 737
Year: 2005  Month: 4  Day: 30  Time: 7  Solar radiation: 675
Year: 2005  Month: 5  Day: 13  Time: 6  Solar radiation: 586
Year: 2005  Month: 5  Day: 13  Time: 7  Solar radiation: 705
Year: 2005  Month: 5  Day: 14  Time: 7  Solar radiation: 708
Year: 2005  Month: 5  Day: 15  Time: 7  Solar radiation: 711
Year: 2005  Month: 5  Day: 15  Time: 8  Solar radiation: 744
Year: 2005  Month: 5  Day: 17  Time: 6  Solar radiation: 603
Year: 2005  Month: 5  Day: 17  Time: 7  Solar radiation: 714
Year: 2005  Month: 5  Day: 27  Time: 6  Solar radiation: 627
Year: 2005  Month: 5  Day: 27  Time: 7  Solar radiation: 722
Year: 2005  Month: 5  Day: 28  Time: 6  Solar radiation: 630
Year: 2005  Month: 5  Day: 28  Time: 7  Solar radiation: 722
Year: 2005  Month: 5  Day: 28  Time: 8  Solar radiation: 744
Year: 2005  Month: 5  Day: 31  Time: 6  Solar radiation: 637
Year: 2005  Month: 5  Day: 31  Time: 7  Solar radiation: 722
Year: 2005  Month: 5  Day: 31  Time: 8  Solar radiation: 744
Year: 2005  Month: 6  Day: 5  Time: 6  Solar radiation: 648
