                Average Minimum and Maximum Temperatures
                ========================================

                         Maximum Temperatures:
Month:	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	
AvgMax:2.71	8.21	11.21	11.69	14.94	15.12	16.12	18.45	18.48	14.4	24.1	25.55	
Time:14	15	14	14	13	13	14	15	15	8	13	14	

                         Minimum Temperatures
Month:	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	
AvgMin:-5.62	-1.99	0.42	0.42	1.98	2.0	2.17	4.77	4.74	7.7	10.37	10.7	
Time: 	8	9	6	6	10	10	9	7	7	1	3	4	

=================================================================================================

                           Solar Radiation Analysis
                            ========================
Lines checked: 2756
===============
No. of wrong lines: 66
==================
Wrong Direct Normal Radiation:
=================================
Year: 1991  Month: 3  Day: 31  Time: 8  Solar radiation: 614
Year: 1988  Month: 4  Day: 9  Time: 8  Solar radiation: 579
Year: 1988  Month: 4  Day: 10  Time: 8  Solar radiation: 601
Year: 1988  Month: 4  Day: 11  Time: 8  Solar radiation: 553
Year: 1988  Month: 4  Day: 29  Time: 8  Solar radiation: 589
Year: 2004  Month: 5  Day: 1  Time: 8  Solar radiation: 725
Year: 2004  Month: 5  Day: 3  Time: 8  Solar radiation: 727
Year: 2004  Month: 5  Day: 4  Time: 8  Solar radiation: 706
Year: 2004  Month: 5  Day: 13  Time: 8  Solar radiation: 741
Year: 2004  Month: 5  Day: 20  Time: 7  Solar radiation: 580
Year: 2004  Month: 5  Day: 20  Time: 8  Solar radiation: 739
Year: 2004  Month: 5  Day: 22  Time: 8  Solar radiation: 650
Year: 2004  Month: 5  Day: 25  Time: 8  Solar radiation: 786
Year: 2004  Month: 5  Day: 27  Time: 7  Solar radiation: 578
Year: 2004  Month: 5  Day: 27  Time: 8  Solar radiation: 607
Year: 2004  Month: 5  Day: 29  Time: 19  Solar radiation: 584
Year: 2004  Month: 5  Day: 30  Time: 8  Solar radiation: 624
Year: 2004  Month: 5  Day: 31  Time: 8  Solar radiation: 737
Year: 2001  Month: 6  Day: 1  Time: 8  Solar radiation: 754
Year: 2001  Month: 6  Day: 6  Time: 8  Solar radiation: 597
Year: 2001  Month: 6  Day: 7  Time: 8  Solar radiation: 761
Year: 2001  Month: 6  Day: 8  Time: 8  Solar radiation: 744
Year: 2001  Month: 6  Day: 9  Time: 8  Solar radiation: 744
Year: 2001  Month: 6  Day: 10  Time: 8  Solar radiation: 755
Year: 2001  Month: 6  Day: 13  Time: 8  Solar radiation: 778
Year: 2001  Month: 6  Day: 14  Time: 7  Solar radiation: 591
Year: 2001  Month: 6  Day: 14  Time: 8  Solar radiation: 744
Year: 2001  Month: 6  Day: 16  Time: 8  Solar radiation: 761
Year: 2001  Month: 6  Day: 19  Time: 8  Solar radiation: 721
Year: 2001  Month: 6  Day: 20  Time: 7  Solar radiation: 600
Year: 2001  Month: 6  Day: 20  Time: 8  Solar radiation: 744
Year: 2001  Month: 6  Day: 21  Time: 8  Solar radiation: 693
Year: 2001  Month: 6  Day: 22  Time: 8  Solar radiation: 726
Year: 2001  Month: 6  Day: 24  Time: 8  Solar radiation: 647
Year: 2001  Month: 6  Day: 28  Time: 7  Solar radiation: 561
Year: 2001  Month: 6  Day: 28  Time: 8  Solar radiation: 731
Year: 2000  Month: 7  Day: 6  Time: 8  Solar radiation: 701
Year: 2000  Month: 7  Day: 8  Time: 8  Solar radiation: 711
Year: 2000  Month: 7  Day: 9  Time: 8  Solar radiation: 683
Year: 2000  Month: 7  Day: 11  Time: 8  Solar radiation: 727
Year: 2000  Month: 7  Day: 13  Time: 8  Solar radiation: 720
Year: 2000  Month: 7  Day: 19  Time: 8  Solar radiation: 739
Year: 2000  Month: 7  Day: 21  Time: 8  Solar radiation: 727
Year: 2000  Month: 7  Day: 25  Time: 8  Solar radiation: 702
Year: 1978  Month: 8  Day: 1  Time: 8  Solar radiation: 681
Year: 1978  Month: 8  Day: 2  Time: 8  Solar radiation: 677
Year: 1978  Month: 8  Day: 3  Time: 8  Solar radiation: 662
Year: 1978  Month: 8  Day: 4  Time: 8  Solar radiation: 613
Year: 1978  Month: 8  Day: 6  Time: 8  Solar radiation: 613
Year: 1978  Month: 8  Day: 7  Time: 8  Solar radiation: 669
Year: 1978  Month: 8  Day: 8  Time: 8  Solar radiation: 756
Year: 1978  Month: 8  Day: 14  Time: 8  Solar radiation: 696
Year: 1978  Month: 8  Day: 15  Time: 8  Solar radiation: 698
Year: 1978  Month: 8  Day: 17  Time: 8  Solar radiation: 726
Year: 1978  Month: 8  Day: 18  Time: 8  Solar radiation: 727
Year: 1978  Month: 8  Day: 19  Time: 8  Solar radiation: 699
Year: 1978  Month: 8  Day: 21  Time: 8  Solar radiation: 656
Year: 1978  Month: 8  Day: 24  Time: 8  Solar radiation: 666
Year: 1978  Month: 8  Day: 25  Time: 8  Solar radiation: 670
Year: 1978  Month: 8  Day: 27  Time: 8  Solar radiation: 667
Year: 1978  Month: 8  Day: 29  Time: 8  Solar radiation: 573
Year: 2004  Month: 9  Day: 1  Time: 8  Solar radiation: 629
Year: 2004  Month: 9  Day: 3  Time: 8  Solar radiation: 563
Year: 2004  Month: 9  Day: 6  Time: 8  Solar radiation: 625
Year: 2004  Month: 9  Day: 7  Time: 8  Solar radiation: 607
Year: 2004  Month: 9  Day: 20  Time: 8  Solar radiation: 556
Wrong Global Horizontal Radiation:
==================================
Wrong Diffuse Horizontal Radiation:
====================================
