                Average Minimum and Maximum Temperatures
                ========================================

                         Maximum Temperatures:
Month:	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	
AvgMax:1.2	2.5	11.37	12.34	15.23	14.7	14.98	15.32	14.42	15.18	16.06	14.15	
Time:12	14	13	13	13	13	13	12	12	12	14	10	

                         Minimum Temperatures
Month:	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	
AvgMin:-9.2	-8.26	-1.81	-1.59	3.54	3.54	3.49	3.17	2.76	2.95	4.84	5.5	
Time: 	9	8	9	9	10	11	10	10	11	10	11	2	

=================================================================================================

                           Solar Radiation Analysis
                            ========================
Lines checked: 2496
===============
No. of wrong lines: 44
==================
Wrong Direct Normal Radiation:
=================================
Year: 2003  Month: 3  Day: 30  Time: 8  Solar radiation: 554
Year: 1999  Month: 4  Day: 10  Time: 8  Solar radiation: 559
Year: 1999  Month: 4  Day: 11  Time: 8  Solar radiation: 577
Year: 1999  Month: 4  Day: 12  Time: 8  Solar radiation: 568
Year: 1999  Month: 4  Day: 15  Time: 8  Solar radiation: 603
Year: 1999  Month: 4  Day: 17  Time: 8  Solar radiation: 606
Year: 1999  Month: 4  Day: 18  Time: 8  Solar radiation: 644
Year: 1996  Month: 5  Day: 2  Time: 8  Solar radiation: 581
Year: 1996  Month: 5  Day: 16  Time: 8  Solar radiation: 632
Year: 1996  Month: 5  Day: 17  Time: 8  Solar radiation: 551
Year: 1996  Month: 5  Day: 30  Time: 8  Solar radiation: 707
Year: 1998  Month: 6  Day: 2  Time: 8  Solar radiation: 607
Year: 1998  Month: 6  Day: 6  Time: 8  Solar radiation: 663
Year: 1998  Month: 6  Day: 12  Time: 8  Solar radiation: 663
Year: 1998  Month: 6  Day: 13  Time: 8  Solar radiation: 588
Year: 1998  Month: 6  Day: 17  Time: 8  Solar radiation: 631
Year: 1998  Month: 6  Day: 18  Time: 8  Solar radiation: 669
Year: 1998  Month: 6  Day: 19  Time: 8  Solar radiation: 675
Year: 1998  Month: 6  Day: 20  Time: 8  Solar radiation: 607
Year: 1998  Month: 6  Day: 22  Time: 8  Solar radiation: 688
Year: 1998  Month: 6  Day: 24  Time: 8  Solar radiation: 619
Year: 1998  Month: 6  Day: 26  Time: 8  Solar radiation: 588
Year: 1998  Month: 6  Day: 27  Time: 8  Solar radiation: 557
Year: 2004  Month: 7  Day: 3  Time: 8  Solar radiation: 658
Year: 2004  Month: 7  Day: 4  Time: 8  Solar radiation: 615
Year: 2004  Month: 7  Day: 12  Time: 8  Solar radiation: 642
Year: 2004  Month: 7  Day: 13  Time: 8  Solar radiation: 611
Year: 2004  Month: 7  Day: 15  Time: 8  Solar radiation: 655
Year: 2004  Month: 7  Day: 18  Time: 8  Solar radiation: 568
Year: 2004  Month: 7  Day: 19  Time: 8  Solar radiation: 593
Year: 2004  Month: 7  Day: 26  Time: 8  Solar radiation: 596
Year: 2004  Month: 7  Day: 27  Time: 8  Solar radiation: 558
Year: 2004  Month: 7  Day: 29  Time: 8  Solar radiation: 553
Year: 2004  Month: 7  Day: 31  Time: 8  Solar radiation: 579
Year: 2005  Month: 8  Day: 3  Time: 8  Solar radiation: 593
Year: 2005  Month: 8  Day: 6  Time: 8  Solar radiation: 595
Year: 2005  Month: 8  Day: 8  Time: 8  Solar radiation: 628
Year: 2005  Month: 8  Day: 9  Time: 8  Solar radiation: 609
Year: 2005  Month: 8  Day: 16  Time: 8  Solar radiation: 556
Year: 2005  Month: 8  Day: 27  Time: 8  Solar radiation: 584
Year: 1997  Month: 9  Day: 10  Time: 8  Solar radiation: 597
Year: 1997  Month: 9  Day: 11  Time: 8  Solar radiation: 593
Year: 1997  Month: 9  Day: 15  Time: 8  Solar radiation: 552
Year: 1997  Month: 9  Day: 17  Time: 8  Solar radiation: 559
Wrong Global Horizontal Radiation:
==================================
Wrong Diffuse Horizontal Radiation:
====================================
