                Average Minimum and Maximum Temperatures
                ========================================

                         Maximum Temperatures:
Month:	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	
AvgMax:0.61	6.05	5.29	15.76	15.41	2.0	5.0	8.0	13.2	17.38	17.56	17.27	
Time:13	14	13	14	14	8	12	13	14	14	13	14	

                         Minimum Temperatures
Month:	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	
AvgMin:-10.32	-7.71	-7.91	4.0	3.79	-3.0	-3.0	-4.33	-0.6	2.5	3.11	4.2	
Time: 	11	11	10	11	11	4	4	4	4	6	6	8	

=================================================================================================

                           Solar Radiation Analysis
                            ========================
Lines checked: 2677
===============
No. of wrong lines: 37
==================
Wrong Direct Normal Radiation:
=================================
Year: 1991  Month: 4  Day: 27  Time: 8  Solar radiation: 668
Year: 2005  Month: 5  Day: 1  Time: 8  Solar radiation: 567
Year: 2005  Month: 5  Day: 2  Time: 8  Solar radiation: 617
Year: 2005  Month: 5  Day: 3  Time: 8  Solar radiation: 559
Year: 2005  Month: 5  Day: 5  Time: 8  Solar radiation: 621
Year: 2005  Month: 5  Day: 8  Time: 8  Solar radiation: 626
Year: 2005  Month: 5  Day: 9  Time: 8  Solar radiation: 651
Year: 2005  Month: 5  Day: 15  Time: 8  Solar radiation: 610
Year: 2005  Month: 5  Day: 18  Time: 8  Solar radiation: 647
Year: 2005  Month: 5  Day: 19  Time: 8  Solar radiation: 603
Year: 2005  Month: 5  Day: 20  Time: 8  Solar radiation: 665
Year: 2005  Month: 5  Day: 21  Time: 8  Solar radiation: 552
Year: 2005  Month: 5  Day: 22  Time: 8  Solar radiation: 571
Year: 2005  Month: 5  Day: 23  Time: 8  Solar radiation: 665
Year: 2005  Month: 5  Day: 26  Time: 8  Solar radiation: 608
Year: 2005  Month: 5  Day: 28  Time: 8  Solar radiation: 676
Year: 1999  Month: 6  Day: 2  Time: 8  Solar radiation: 657
Year: 1999  Month: 6  Day: 3  Time: 8  Solar radiation: 563
Year: 1999  Month: 6  Day: 7  Time: 8  Solar radiation: 681
Year: 1999  Month: 6  Day: 14  Time: 8  Solar radiation: 675
Year: 1999  Month: 6  Day: 23  Time: 8  Solar radiation: 707
Year: 1999  Month: 6  Day: 25  Time: 8  Solar radiation: 707
Year: 2004  Month: 7  Day: 3  Time: 8  Solar radiation: 664
Year: 2004  Month: 7  Day: 4  Time: 8  Solar radiation: 602
Year: 2004  Month: 7  Day: 13  Time: 8  Solar radiation: 610
Year: 2004  Month: 7  Day: 15  Time: 8  Solar radiation: 630
Year: 2004  Month: 7  Day: 16  Time: 8  Solar radiation: 674
Year: 2004  Month: 7  Day: 17  Time: 8  Solar radiation: 580
Year: 2004  Month: 7  Day: 18  Time: 8  Solar radiation: 568
Year: 2004  Month: 7  Day: 19  Time: 8  Solar radiation: 581
Year: 2004  Month: 7  Day: 21  Time: 8  Solar radiation: 651
Year: 2004  Month: 7  Day: 26  Time: 8  Solar radiation: 608
Year: 2004  Month: 7  Day: 29  Time: 8  Solar radiation: 584
Year: 1995  Month: 8  Day: 8  Time: 8  Solar radiation: 605
Year: 1995  Month: 8  Day: 24  Time: 8  Solar radiation: 685
Year: 1997  Month: 9  Day: 28  Time: 8  Solar radiation: 592
Year: 1997  Month: 9  Day: 29  Time: 8  Solar radiation: 607
Wrong Global Horizontal Radiation:
==================================
Wrong Diffuse Horizontal Radiation:
====================================
