                Average Minimum and Maximum Temperatures
                ========================================

                         Maximum Temperatures:
Month:	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	
AvgMax:-1.49	2.34	3.85	4.39	16.63	16.23	16.07	17.32	16.48	16.17	15.24	15.1	
Time:13	13	14	14	14	13	13	13	13	13	13	13	

                         Minimum Temperatures
Month:	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	
AvgMin:-13.2	-6.3	-5.24	-5.3	1.63	3.54	3.36	5.16	4.78	4.42	3.41	3.23	
Time: 	11	12	10	10	6	7	7	6	6	6	7	6	

=================================================================================================

                           Solar Radiation Analysis
                            ========================
Lines checked: 2667
===============
No. of wrong lines: 46
==================
Wrong Direct Normal Radiation:
=================================
Year: 1998  Month: 3  Day: 28  Time: 8  Solar radiation: 573
Year: 2005  Month: 4  Day: 8  Time: 8  Solar radiation: 581
Year: 2005  Month: 4  Day: 13  Time: 8  Solar radiation: 600
Year: 2005  Month: 4  Day: 14  Time: 8  Solar radiation: 605
Year: 2005  Month: 4  Day: 19  Time: 8  Solar radiation: 631
Year: 2005  Month: 4  Day: 23  Time: 8  Solar radiation: 653
Year: 2005  Month: 4  Day: 24  Time: 8  Solar radiation: 627
Year: 2005  Month: 4  Day: 29  Time: 8  Solar radiation: 668
Year: 2001  Month: 5  Day: 8  Time: 8  Solar radiation: 657
Year: 2001  Month: 5  Day: 11  Time: 8  Solar radiation: 650
Year: 2001  Month: 5  Day: 13  Time: 8  Solar radiation: 618
Year: 2001  Month: 5  Day: 15  Time: 8  Solar radiation: 667
Year: 2001  Month: 5  Day: 18  Time: 8  Solar radiation: 666
Year: 2001  Month: 5  Day: 19  Time: 8  Solar radiation: 653
Year: 2001  Month: 5  Day: 25  Time: 8  Solar radiation: 640
Year: 2003  Month: 6  Day: 4  Time: 8  Solar radiation: 608
Year: 2003  Month: 6  Day: 5  Time: 8  Solar radiation: 670
Year: 2003  Month: 6  Day: 9  Time: 8  Solar radiation: 663
Year: 2003  Month: 6  Day: 11  Time: 8  Solar radiation: 663
Year: 2003  Month: 6  Day: 14  Time: 8  Solar radiation: 663
Year: 2003  Month: 6  Day: 16  Time: 8  Solar radiation: 663
Year: 2003  Month: 6  Day: 19  Time: 8  Solar radiation: 632
Year: 2003  Month: 6  Day: 20  Time: 8  Solar radiation: 632
Year: 2003  Month: 6  Day: 26  Time: 8  Solar radiation: 664
Year: 2003  Month: 6  Day: 28  Time: 8  Solar radiation: 633
Year: 2003  Month: 6  Day: 29  Time: 8  Solar radiation: 645
Year: 2003  Month: 6  Day: 30  Time: 8  Solar radiation: 652
Year: 1999  Month: 7  Day: 6  Time: 8  Solar radiation: 671
Year: 1999  Month: 7  Day: 7  Time: 8  Solar radiation: 572
Year: 1999  Month: 7  Day: 9  Time: 8  Solar radiation: 628
Year: 1999  Month: 7  Day: 10  Time: 8  Solar radiation: 635
Year: 1999  Month: 7  Day: 11  Time: 8  Solar radiation: 604
Year: 1999  Month: 7  Day: 14  Time: 8  Solar radiation: 567
Year: 1999  Month: 7  Day: 15  Time: 8  Solar radiation: 667
Year: 1999  Month: 7  Day: 17  Time: 8  Solar radiation: 636
Year: 1999  Month: 7  Day: 23  Time: 8  Solar radiation: 625
Year: 1999  Month: 7  Day: 24  Time: 8  Solar radiation: 563
Year: 1999  Month: 7  Day: 30  Time: 8  Solar radiation: 565
Year: 1999  Month: 7  Day: 31  Time: 8  Solar radiation: 565
Year: 2004  Month: 8  Day: 5  Time: 8  Solar radiation: 567
Year: 2004  Month: 8  Day: 7  Time: 8  Solar radiation: 562
Year: 2004  Month: 8  Day: 16  Time: 8  Solar radiation: 598
Year: 2004  Month: 8  Day: 19  Time: 8  Solar radiation: 612
Year: 2004  Month: 8  Day: 20  Time: 8  Solar radiation: 574
Year: 1997  Month: 9  Day: 7  Time: 8  Solar radiation: 563
Year: 1997  Month: 9  Day: 10  Time: 8  Solar radiation: 571
Wrong Global Horizontal Radiation:
==================================
Wrong Diffuse Horizontal Radiation:
====================================
