                Average Minimum and Maximum Temperatures
                ========================================

                         Maximum Temperatures:
Month:	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	
AvgMax:6.61	6.25	7.0	6.12	5.99	6.22	6.31	8.51	8.61	9.09	9.62	9.96	
Time:12	12	12	12	11	11	11	12	12	12	12	12	

                         Minimum Temperatures
Month:	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	
AvgMin:-6.43	-5.94	-5.18	-2.88	-3.76	-3.49	-3.27	-1.98	-1.56	-1.13	-0.96	-0.82	
Time: 	7	8	8	9	9	9	8	7	8	8	8	8	

=================================================================================================

                           Solar Radiation Analysis
                            ========================
Lines checked: 2648
===============
No. of wrong lines: 189
==================
Wrong Direct Normal Radiation:
=================================
Year: 1990  Month: 2  Day: 23  Time: 8  Solar radiation: 635
Year: 1981  Month: 3  Day: 5  Time: 8  Solar radiation: 575
Year: 1981  Month: 3  Day: 9  Time: 8  Solar radiation: 735
Year: 1981  Month: 3  Day: 10  Time: 8  Solar radiation: 748
Year: 1981  Month: 3  Day: 11  Time: 8  Solar radiation: 661
Year: 1981  Month: 3  Day: 16  Time: 8  Solar radiation: 763
Year: 1981  Month: 3  Day: 22  Time: 8  Solar radiation: 737
Year: 1981  Month: 3  Day: 25  Time: 8  Solar radiation: 628
Year: 1981  Month: 3  Day: 26  Time: 8  Solar radiation: 770
Year: 1981  Month: 3  Day: 29  Time: 8  Solar radiation: 619
Year: 1981  Month: 3  Day: 30  Time: 8  Solar radiation: 797
Year: 1981  Month: 3  Day: 31  Time: 8  Solar radiation: 666
Year: 1986  Month: 4  Day: 6  Time: 8  Solar radiation: 849
Year: 1986  Month: 4  Day: 14  Time: 7  Solar radiation: 658
Year: 1986  Month: 4  Day: 14  Time: 8  Solar radiation: 781
Year: 1986  Month: 4  Day: 15  Time: 7  Solar radiation: 705
Year: 1986  Month: 4  Day: 15  Time: 8  Solar radiation: 879
Year: 1986  Month: 4  Day: 19  Time: 8  Solar radiation: 851
Year: 1986  Month: 4  Day: 22  Time: 7  Solar radiation: 619
Year: 1986  Month: 4  Day: 22  Time: 8  Solar radiation: 802
Year: 1986  Month: 4  Day: 25  Time: 8  Solar radiation: 613
Year: 1986  Month: 4  Day: 28  Time: 8  Solar radiation: 565
Year: 1986  Month: 4  Day: 29  Time: 7  Solar radiation: 737
Year: 1986  Month: 4  Day: 29  Time: 8  Solar radiation: 864
Year: 1986  Month: 4  Day: 30  Time: 8  Solar radiation: 733
Year: 1980  Month: 5  Day: 3  Time: 8  Solar radiation: 878
Year: 1980  Month: 5  Day: 9  Time: 8  Solar radiation: 791
Year: 1980  Month: 5  Day: 10  Time: 7  Solar radiation: 580
Year: 1980  Month: 5  Day: 10  Time: 8  Solar radiation: 793
Year: 1980  Month: 5  Day: 13  Time: 8  Solar radiation: 748
Year: 1980  Month: 5  Day: 14  Time: 8  Solar radiation: 606
Year: 1980  Month: 5  Day: 20  Time: 7  Solar radiation: 574
Year: 1980  Month: 5  Day: 20  Time: 8  Solar radiation: 791
Year: 1980  Month: 5  Day: 21  Time: 7  Solar radiation: 723
Year: 1980  Month: 5  Day: 21  Time: 8  Solar radiation: 855
Year: 1980  Month: 5  Day: 22  Time: 8  Solar radiation: 826
Year: 1980  Month: 5  Day: 24  Time: 7  Solar radiation: 611
Year: 1980  Month: 5  Day: 24  Time: 8  Solar radiation: 832
Year: 1980  Month: 5  Day: 27  Time: 8  Solar radiation: 622
Year: 1980  Month: 5  Day: 28  Time: 7  Solar radiation: 818
Year: 1980  Month: 5  Day: 28  Time: 8  Solar radiation: 913
Year: 1980  Month: 5  Day: 29  Time: 7  Solar radiation: 603
Year: 1980  Month: 5  Day: 29  Time: 8  Solar radiation: 743
Year: 1980  Month: 5  Day: 30  Time: 7  Solar radiation: 775
Year: 1980  Month: 5  Day: 30  Time: 8  Solar radiation: 877
Year: 1980  Month: 5  Day: 31  Time: 8  Solar radiation: 867
Year: 1979  Month: 6  Day: 2  Time: 7  Solar radiation: 720
Year: 1979  Month: 6  Day: 2  Time: 8  Solar radiation: 843
Year: 1979  Month: 6  Day: 3  Time: 7  Solar radiation: 717
Year: 1979  Month: 6  Day: 3  Time: 8  Solar radiation: 839
Year: 1979  Month: 6  Day: 4  Time: 7  Solar radiation: 654
Year: 1979  Month: 6  Day: 5  Time: 7  Solar radiation: 673
Year: 1979  Month: 6  Day: 5  Time: 8  Solar radiation: 795
Year: 1979  Month: 6  Day: 6  Time: 7  Solar radiation: 732
Year: 1979  Month: 6  Day: 6  Time: 8  Solar radiation: 848
Year: 1979  Month: 6  Day: 10  Time: 7  Solar radiation: 774
Year: 1979  Month: 6  Day: 10  Time: 8  Solar radiation: 889
Year: 1979  Month: 6  Day: 11  Time: 7  Solar radiation: 755
