                Average Minimum and Maximum Temperatures
                ========================================

                         Maximum Temperatures:
Month:	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	
AvgMax:-0.21	-0.34	6.98	6.91	8.76	11.05	11.76	12.12	12.24	12.64	8.3	15.16	
Time:11	10	11	11	11	11	11	12	12	12	8	12	

                         Minimum Temperatures
Month:	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	
AvgMin:-6.55	-8.72	-1.35	-1.64	0.22	2.05	2.23	2.23	2.42	3.01	1.7	5.0	
Time: 	12	10	9	9	12	11	10	10	10	10	5	9	

=================================================================================================

                           Solar Radiation Analysis
                            ========================
Lines checked: 2202
===============
No. of wrong lines: 39
==================
Wrong Direct Normal Radiation:
=================================
Year: 1990  Month: 3  Day: 21  Time: 8  Solar radiation: 609
Year: 1980  Month: 4  Day: 5  Time: 8  Solar radiation: 631
Year: 1980  Month: 4  Day: 19  Time: 8  Solar radiation: 618
Year: 1980  Month: 4  Day: 22  Time: 8  Solar radiation: 748
Year: 1980  Month: 4  Day: 24  Time: 8  Solar radiation: 783
Year: 1980  Month: 4  Day: 26  Time: 8  Solar radiation: 595
Year: 1995  Month: 5  Day: 1  Time: 8  Solar radiation: 597
Year: 1995  Month: 5  Day: 7  Time: 8  Solar radiation: 596
Year: 1995  Month: 5  Day: 8  Time: 8  Solar radiation: 625
Year: 1995  Month: 5  Day: 13  Time: 8  Solar radiation: 652
Year: 1995  Month: 5  Day: 22  Time: 8  Solar radiation: 613
Year: 1995  Month: 5  Day: 27  Time: 8  Solar radiation: 642
Year: 1995  Month: 5  Day: 31  Time: 7  Solar radiation: 642
Year: 1995  Month: 5  Day: 31  Time: 8  Solar radiation: 772
Year: 1978  Month: 6  Day: 4  Time: 8  Solar radiation: 570
Year: 1978  Month: 6  Day: 6  Time: 8  Solar radiation: 703
Year: 1978  Month: 6  Day: 10  Time: 7  Solar radiation: 612
Year: 1978  Month: 6  Day: 10  Time: 8  Solar radiation: 743
Year: 1978  Month: 6  Day: 14  Time: 7  Solar radiation: 701
Year: 1978  Month: 6  Day: 14  Time: 8  Solar radiation: 826
Year: 1978  Month: 6  Day: 20  Time: 8  Solar radiation: 728
Year: 1978  Month: 6  Day: 30  Time: 8  Solar radiation: 697
Year: 1980  Month: 7  Day: 1  Time: 7  Solar radiation: 631
Year: 1980  Month: 7  Day: 3  Time: 8  Solar radiation: 730
Year: 1980  Month: 7  Day: 4  Time: 8  Solar radiation: 663
Year: 1980  Month: 7  Day: 10  Time: 7  Solar radiation: 573
Year: 1980  Month: 7  Day: 10  Time: 8  Solar radiation: 720
Year: 1980  Month: 7  Day: 12  Time: 8  Solar radiation: 619
Year: 1980  Month: 7  Day: 13  Time: 8  Solar radiation: 767
Year: 1980  Month: 7  Day: 14  Time: 8  Solar radiation: 658
Year: 1985  Month: 8  Day: 2  Time: 7  Solar radiation: 559
Year: 1985  Month: 8  Day: 2  Time: 8  Solar radiation: 743
Year: 1985  Month: 8  Day: 4  Time: 8  Solar radiation: 691
Year: 1985  Month: 8  Day: 5  Time: 8  Solar radiation: 604
Year: 1985  Month: 8  Day: 17  Time: 8  Solar radiation: 713
Year: 1994  Month: 9  Day: 4  Time: 8  Solar radiation: 580
Year: 1994  Month: 9  Day: 10  Time: 8  Solar radiation: 664
Year: 1994  Month: 9  Day: 16  Time: 8  Solar radiation: 599
Year: 1994  Month: 9  Day: 21  Time: 8  Solar radiation: 551
Wrong Global Horizontal Radiation:
==================================
Wrong Diffuse Horizontal Radiation:
====================================
