                Average Minimum and Maximum Temperatures
                ========================================

                         Maximum Temperatures:
Month:	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	
AvgMax:-1.51	0.53	6.35	6.73	5.0	9.04	9.72	10.94	10.35	10.48	10.75	11.07	
Time:13	15	13	13	10	13	13	13	13	13	14	14	

                         Minimum Temperatures
Month:	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	
AvgMin:-11.74	-12.2	-6.52	-6.52	-1.13	-1.95	-2.02	-2.0	-1.99	-2.07	-2.04	-2.02	
Time: 	11	11	10	10	8	10	9	8	9	9	9	9	

=================================================================================================

                           Solar Radiation Analysis
                            ========================
Lines checked: 2620
===============
No. of wrong lines: 104
==================
Wrong Direct Normal Radiation:
=================================
Year: 2005  Month: 3  Day: 31  Time: 8  Solar radiation: 712
Year: 2004  Month: 4  Day: 4  Time: 8  Solar radiation: 720
Year: 2004  Month: 4  Day: 11  Time: 8  Solar radiation: 560
Year: 2004  Month: 4  Day: 12  Time: 8  Solar radiation: 643
Year: 2004  Month: 4  Day: 16  Time: 8  Solar radiation: 584
Year: 2004  Month: 4  Day: 22  Time: 8  Solar radiation: 751
Year: 2004  Month: 4  Day: 23  Time: 8  Solar radiation: 769
Year: 2004  Month: 4  Day: 25  Time: 8  Solar radiation: 772
Year: 2004  Month: 4  Day: 26  Time: 8  Solar radiation: 795
Year: 2004  Month: 4  Day: 27  Time: 8  Solar radiation: 818
Year: 2004  Month: 4  Day: 29  Time: 8  Solar radiation: 815
Year: 2004  Month: 4  Day: 30  Time: 8  Solar radiation: 827
Year: 2004  Month: 5  Day: 1  Time: 8  Solar radiation: 806
Year: 2004  Month: 5  Day: 2  Time: 8  Solar radiation: 795
Year: 2004  Month: 5  Day: 3  Time: 8  Solar radiation: 802
Year: 2004  Month: 5  Day: 4  Time: 7  Solar radiation: 636
Year: 2004  Month: 5  Day: 4  Time: 8  Solar radiation: 808
Year: 2004  Month: 5  Day: 6  Time: 8  Solar radiation: 619
Year: 2004  Month: 5  Day: 8  Time: 8  Solar radiation: 778
Year: 2004  Month: 5  Day: 9  Time: 8  Solar radiation: 806
Year: 2004  Month: 5  Day: 14  Time: 7  Solar radiation: 656
Year: 2004  Month: 5  Day: 14  Time: 8  Solar radiation: 821
Year: 2004  Month: 5  Day: 15  Time: 7  Solar radiation: 678
Year: 2004  Month: 5  Day: 15  Time: 8  Solar radiation: 827
Year: 2004  Month: 5  Day: 25  Time: 7  Solar radiation: 705
Year: 2004  Month: 5  Day: 25  Time: 8  Solar radiation: 836
Year: 2004  Month: 5  Day: 28  Time: 8  Solar radiation: 564
Year: 2004  Month: 5  Day: 29  Time: 8  Solar radiation: 638
Year: 1994  Month: 6  Day: 2  Time: 8  Solar radiation: 842
Year: 1994  Month: 6  Day: 4  Time: 7  Solar radiation: 690
Year: 1994  Month: 6  Day: 4  Time: 8  Solar radiation: 688
Year: 1994  Month: 6  Day: 5  Time: 7  Solar radiation: 606
Year: 1994  Month: 6  Day: 5  Time: 8  Solar radiation: 761
Year: 1994  Month: 6  Day: 10  Time: 8  Solar radiation: 588
Year: 1994  Month: 6  Day: 17  Time: 7  Solar radiation: 688
Year: 1994  Month: 6  Day: 17  Time: 8  Solar radiation: 818
Year: 1994  Month: 6  Day: 18  Time: 8  Solar radiation: 844
Year: 1994  Month: 6  Day: 19  Time: 8  Solar radiation: 830
Year: 1994  Month: 6  Day: 20  Time: 8  Solar radiation: 701
Year: 1994  Month: 6  Day: 22  Time: 8  Solar radiation: 595
Year: 1994  Month: 6  Day: 23  Time: 7  Solar radiation: 733
Year: 1994  Month: 6  Day: 23  Time: 8  Solar radiation: 847
Year: 1994  Month: 6  Day: 24  Time: 7  Solar radiation: 614
Year: 1994  Month: 6  Day: 24  Time: 8  Solar radiation: 759
Year: 1994  Month: 6  Day: 25  Time: 8  Solar radiation: 580
Year: 1994  Month: 6  Day: 26  Time: 7  Solar radiation: 595
Year: 1994  Month: 6  Day: 26  Time: 8  Solar radiation: 743
Year: 1994  Month: 6  Day: 27  Time: 7  Solar radiation: 684
Year: 1994  Month: 6  Day: 27  Time: 8  Solar radiation: 813
Year: 1994  Month: 6  Day: 28  Time: 7  Solar radiation: 567
Year: 1994  Month: 6  Day: 28  Time: 8  Solar radiation: 723
Year: 1994  Month: 6  Day: 29  Time: 7  Solar radiation: 635
Year: 1994  Month: 6  Day: 29  Time: 8  Solar radiation: 775
Year: 1994  Month: 6  Day: 30  Time: 8  Solar radiation: 813
Year: 1994  Month: 7  Day: 1  Time: 8  Solar radiation: 750
Year: 1994  Month: 7  Day: 3  Time: 8  Solar radiation: 754
Year: 1994  Month: 7  Day: 4  Time: 8  Solar radiation: 691
Year: 1994  Month: 7  Day: 7  Time: 8  Solar radiation: 562
Year: 1994  Month: 7  Day: 8  Time: 8  Solar radiation: 601
Year: 1994  Month: 7  Day: 9  Time: 8  Solar radiation: 752
Year: 1994  Month: 7  Day: 11  Time: 7  Solar radiation: 650
Year: 1994  Month: 7  Day: 11  Time: 8  Solar radiation: 795
Year: 1994  Month: 7  Day: 13  Time: 8  Solar radiation: 725
Year: 1994  Month: 7  Day: 15  Time: 8  Solar radiation: 717
Year: 1994  Month: 7  Day: 16  Time: 8  Solar radiation: 812
Year: 1994  Month: 7  Day: 17  Time: 8  Solar radiation: 767
Year: 1994  Month: 7  Day: 20  Time: 7  Solar radiation: 596
Year: 1994  Month: 7  Day: 20  Time: 8  Solar radiation: 757
Year: 1994  Month: 7  Day: 21  Time: 8  Solar radiation: 756
Year: 1994  Month: 7  Day: 22  Time: 8  Solar radiation: 637
Year: 1994  Month: 7  Day: 23  Time: 8  Solar radiation: 558
Year: 1994  Month: 7  Day: 24  Time: 7  Solar radiation: 576
Year: 1994  Month: 7  Day: 24  Time: 8  Solar radiation: 746
Year: 1994  Month: 7  Day: 26  Time: 8  Solar radiation: 689
Year: 1994  Month: 7  Day: 27  Time: 8  Solar radiation: 614
Year: 1994  Month: 7  Day: 29  Time: 8  Solar radiation: 653
Year: 2003  Month: 8  Day: 1  Time: 8  Solar radiation: 605
Year: 2003  Month: 8  Day: 2  Time: 8  Solar radiation: 565
Year: 2003  Month: 8  Day: 4  Time: 8  Solar radiation: 648
Year: 2003  Month: 8  Day: 5  Time: 8  Solar radiation: 748
Year: 2003  Month: 8  Day: 6  Time: 8  Solar radiation: 575
Year: 2003  Month: 8  Day: 7  Time: 8  Solar radiation: 663
Year: 2003  Month: 8  Day: 8  Time: 8  Solar radiation: 663
Year: 2003  Month: 8  Day: 9  Time: 8  Solar radiation: 740
Year: 2003  Month: 8  Day: 10  Time: 8  Solar radiation: 595
Year: 2003  Month: 8  Day: 11  Time: 8  Solar radiation: 749
Year: 2003  Month: 8  Day: 13  Time: 8  Solar radiation: 554
Year: 2003  Month: 8  Day: 23  Time: 8  Solar radiation: 623
Year: 2003  Month: 8  Day: 24  Time: 8  Solar radiation: 743
Year: 2003  Month: 8  Day: 25  Time: 8  Solar radiation: 589
Year: 2003  Month: 8  Day: 31  Time: 8  Solar radiation: 648
Year: 2000  Month: 9  Day: 3  Time: 8  Solar radiation: 616
Year: 2000  Month: 9  Day: 7  Time: 8  Solar radiation: 674
Year: 2000  Month: 9  Day: 8  Time: 8  Solar radiation: 625
Year: 2000  Month: 9  Day: 9  Time: 8  Solar radiation: 655
Year: 2000  Month: 9  Day: 12  Time: 8  Solar radiation: 676
Year: 2000  Month: 9  Day: 13  Time: 8  Solar radiation: 580
Year: 2000  Month: 9  Day: 15  Time: 8  Solar radiation: 660
Year: 2000  Month: 9  Day: 24  Time: 8  Solar radiation: 593
Year: 2000  Month: 9  Day: 25  Time: 8  Solar radiation: 575
Year: 2000  Month: 9  Day: 26  Time: 8  Solar radiation: 583
Year: 2000  Month: 9  Day: 27  Time: 8  Solar radiation: 595
Wrong Global Horizontal Radiation:
==================================
Wrong Diffuse Horizontal Radiation:
====================================
Year: 1994  Month: 6  Day: 3  Time: 8  Solar radiation: 265
Year: 1994  Month: 6  Day: 8  Time: 8  Solar radiation: 282
