                Average Minimum and Maximum Temperatures
                ========================================

                         Maximum Temperatures:
Month:	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	
AvgMax:-2.93	-2.31	-2.04	1.07	-0.55	0.93	5.75	6.76	8.86	7.73	8.05	8.14	
Time:13	11	12	12	12	13	12	12	13	13	13	13	

                         Minimum Temperatures
Month:	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	
AvgMin:-13.52	-11.21	-11.63	-8.45	-9.1	-8.47	-4.44	-4.16	-3.02	-3.33	-3.09	-3.09	
Time: 	12	10	11	10	4	4	9	9	9	10	10	10	

=================================================================================================

                           Solar Radiation Analysis
                            ========================
Lines checked: 2605
===============
No. of wrong lines: 120
==================
Wrong Direct Normal Radiation:
=================================
Year: 1970  Month: 3  Day: 18  Time: 8  Solar radiation: 616
Year: 1963  Month: 4  Day: 2  Time: 8  Solar radiation: 773
Year: 1963  Month: 4  Day: 3  Time: 8  Solar radiation: 703
Year: 1963  Month: 4  Day: 11  Time: 8  Solar radiation: 740
Year: 1963  Month: 4  Day: 12  Time: 8  Solar radiation: 737
Year: 1963  Month: 4  Day: 18  Time: 8  Solar radiation: 588
Year: 1963  Month: 4  Day: 22  Time: 8  Solar radiation: 774
Year: 1963  Month: 4  Day: 23  Time: 7  Solar radiation: 690
Year: 1963  Month: 4  Day: 23  Time: 8  Solar radiation: 780
Year: 1963  Month: 4  Day: 25  Time: 8  Solar radiation: 690
Year: 1963  Month: 4  Day: 26  Time: 8  Solar radiation: 693
Year: 1963  Month: 4  Day: 29  Time: 7  Solar radiation: 578
Year: 1963  Month: 4  Day: 29  Time: 8  Solar radiation: 694
Year: 1963  Month: 5  Day: 2  Time: 7  Solar radiation: 678
Year: 1963  Month: 5  Day: 2  Time: 8  Solar radiation: 802
Year: 1963  Month: 5  Day: 6  Time: 8  Solar radiation: 700
Year: 1963  Month: 5  Day: 8  Time: 8  Solar radiation: 716
Year: 1963  Month: 5  Day: 9  Time: 8  Solar radiation: 718
Year: 1963  Month: 5  Day: 13  Time: 7  Solar radiation: 787
Year: 1963  Month: 5  Day: 13  Time: 8  Solar radiation: 896
Year: 1963  Month: 5  Day: 14  Time: 7  Solar radiation: 788
Year: 1963  Month: 5  Day: 14  Time: 8  Solar radiation: 894
Year: 1963  Month: 5  Day: 16  Time: 8  Solar radiation: 719
Year: 1963  Month: 5  Day: 17  Time: 7  Solar radiation: 712
Year: 1963  Month: 5  Day: 17  Time: 8  Solar radiation: 806
Year: 1963  Month: 5  Day: 19  Time: 6  Solar radiation: 570
Year: 1963  Month: 5  Day: 19  Time: 7  Solar radiation: 797
Year: 1963  Month: 5  Day: 19  Time: 8  Solar radiation: 898
Year: 1963  Month: 5  Day: 20  Time: 8  Solar radiation: 806
Year: 1963  Month: 5  Day: 21  Time: 7  Solar radiation: 805
Year: 1963  Month: 5  Day: 21  Time: 8  Solar radiation: 907
Year: 1963  Month: 5  Day: 22  Time: 7  Solar radiation: 815
Year: 1963  Month: 5  Day: 22  Time: 8  Solar radiation: 911
Year: 1963  Month: 5  Day: 23  Time: 8  Solar radiation: 814
Year: 1963  Month: 5  Day: 28  Time: 7  Solar radiation: 803
Year: 1963  Month: 5  Day: 28  Time: 8  Solar radiation: 896
Year: 1963  Month: 5  Day: 29  Time: 7  Solar radiation: 723
Year: 1963  Month: 5  Day: 29  Time: 8  Solar radiation: 896
Year: 1963  Month: 5  Day: 30  Time: 7  Solar radiation: 645
Year: 1963  Month: 5  Day: 30  Time: 8  Solar radiation: 717
Year: 1962  Month: 6  Day: 5  Time: 8  Solar radiation: 734
Year: 1962  Month: 6  Day: 7  Time: 7  Solar radiation: 574
Year: 1962  Month: 6  Day: 7  Time: 8  Solar radiation: 634
Year: 1962  Month: 6  Day: 8  Time: 7  Solar radiation: 645
Year: 1962  Month: 6  Day: 8  Time: 8  Solar radiation: 716
Year: 1962  Month: 6  Day: 11  Time: 7  Solar radiation: 565
Year: 1962  Month: 6  Day: 11  Time: 8  Solar radiation: 629
Year: 1962  Month: 6  Day: 12  Time: 7  Solar radiation: 729
Year: 1962  Month: 6  Day: 12  Time: 8  Solar radiation: 807
Year: 1962  Month: 6  Day: 16  Time: 8  Solar radiation: 710
Year: 1962  Month: 6  Day: 17  Time: 8  Solar radiation: 703
Year: 1962  Month: 6  Day: 19  Time: 8  Solar radiation: 704
Year: 1962  Month: 6  Day: 21  Time: 8  Solar radiation: 621
Year: 1962  Month: 6  Day: 23  Time: 7  Solar radiation: 645
Year: 1962  Month: 6  Day: 23  Time: 8  Solar radiation: 808
Year: 1962  Month: 6  Day: 24  Time: 8  Solar radiation: 883
Year: 1962  Month: 6  Day: 26  Time: 7  Solar radiation: 793
Year: 1962  Month: 6  Day: 26  Time: 8  Solar radiation: 882
Year: 1962  Month: 6  Day: 27  Time: 8  Solar radiation: 721
Year: 1962  Month: 6  Day: 29  Time: 8  Solar radiation: 704
Year: 1962  Month: 6  Day: 30  Time: 8  Solar radiation: 794
Year: 1988  Month: 7  Day: 6  Time: 7  Solar radiation: 551
Year: 1988  Month: 7  Day: 6  Time: 8  Solar radiation: 616
Year: 1988  Month: 7  Day: 7  Time: 7  Solar radiation: 557
Year: 1988  Month: 7  Day: 7  Time: 8  Solar radiation: 711
Year: 1988  Month: 7  Day: 8  Time: 6  Solar radiation: 597
Year: 1988  Month: 7  Day: 8  Time: 7  Solar radiation: 790
Year: 1988  Month: 7  Day: 8  Time: 8  Solar radiation: 884
Year: 1988  Month: 7  Day: 9  Time: 8  Solar radiation: 698
Year: 1988  Month: 7  Day: 10  Time: 8  Solar radiation: 695
Year: 1988  Month: 7  Day: 13  Time: 7  Solar radiation: 786
Year: 1988  Month: 7  Day: 13  Time: 8  Solar radiation: 883
Year: 1988  Month: 7  Day: 15  Time: 8  Solar radiation: 611
Year: 1988  Month: 7  Day: 16  Time: 7  Solar radiation: 781
Year: 1988  Month: 7  Day: 16  Time: 8  Solar radiation: 879
Year: 1988  Month: 7  Day: 17  Time: 8  Solar radiation: 613
Year: 1988  Month: 7  Day: 19  Time: 7  Solar radiation: 756
Year: 1988  Month: 7  Day: 19  Time: 8  Solar radiation: 860
Year: 1988  Month: 7  Day: 20  Time: 8  Solar radiation: 863
Year: 1988  Month: 7  Day: 21  Time: 7  Solar radiation: 755
Year: 1988  Month: 7  Day: 21  Time: 8  Solar radiation: 864
Year: 1988  Month: 7  Day: 22  Time: 7  Solar radiation: 761
Year: 1988  Month: 7  Day: 22  Time: 8  Solar radiation: 783
Year: 1988  Month: 7  Day: 23  Time: 7  Solar radiation: 681
Year: 1988  Month: 7  Day: 23  Time: 8  Solar radiation: 780
Year: 1988  Month: 7  Day: 24  Time: 7  Solar radiation: 605
Year: 1988  Month: 7  Day: 24  Time: 8  Solar radiation: 782
Year: 1988  Month: 7  Day: 26  Time: 7  Solar radiation: 738
Year: 1988  Month: 7  Day: 26  Time: 8  Solar radiation: 770
Year: 1988  Month: 7  Day: 29  Time: 8  Solar radiation: 846
Year: 1979  Month: 8  Day: 1  Time: 7  Solar radiation: 572
Year: 1979  Month: 8  Day: 1  Time: 8  Solar radiation: 758
Year: 1979  Month: 8  Day: 6  Time: 8  Solar radiation: 839
Year: 1979  Month: 8  Day: 7  Time: 8  Solar radiation: 585
Year: 1979  Month: 8  Day: 9  Time: 7  Solar radiation: 696
