                Average Minimum and Maximum Temperatures
                ========================================

                         Maximum Temperatures:
Month:	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	
AvgMax:19.8	16.32	16.79	19.2	18.5	18.59	18.73	18.43	18.22	18.57	18.68	17.98	
Time:12	12	12	11	11	11	11	11	12	12	12	13	

                         Minimum Temperatures
Month:	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	
AvgMin:4.65	6.87	6.84	10.0	7.44	7.2	7.02	7.23	7.32	7.34	7.34	10.36	
Time: 	10	11	10	11	9	8	8	9	9	9	9	10	

=================================================================================================

                           Solar Radiation Analysis
                            ========================
Lines checked: 2372
===============
No. of wrong lines: 77
==================
Wrong Direct Normal Radiation:
=================================
Year: 1998  Month: 2  Day: 27  Time: 8  Solar radiation: 558
Year: 1991  Month: 3  Day: 8  Time: 8  Solar radiation: 594
Year: 1991  Month: 3  Day: 16  Time: 8  Solar radiation: 551
Year: 1991  Month: 3  Day: 17  Time: 8  Solar radiation: 714
Year: 1991  Month: 3  Day: 18  Time: 8  Solar radiation: 651
Year: 1991  Month: 3  Day: 22  Time: 8  Solar radiation: 601
Year: 1991  Month: 3  Day: 30  Time: 8  Solar radiation: 734
Year: 1991  Month: 3  Day: 31  Time: 8  Solar radiation: 756
Year: 2002  Month: 4  Day: 18  Time: 8  Solar radiation: 737
Year: 2002  Month: 4  Day: 19  Time: 8  Solar radiation: 590
Year: 2002  Month: 4  Day: 21  Time: 8  Solar radiation: 665
Year: 2002  Month: 4  Day: 22  Time: 7  Solar radiation: 560
Year: 2002  Month: 4  Day: 22  Time: 8  Solar radiation: 711
Year: 2002  Month: 4  Day: 23  Time: 7  Solar radiation: 588
Year: 2002  Month: 4  Day: 23  Time: 8  Solar radiation: 763
Year: 2002  Month: 4  Day: 28  Time: 7  Solar radiation: 574
Year: 2002  Month: 4  Day: 28  Time: 8  Solar radiation: 731
Year: 2002  Month: 4  Day: 29  Time: 7  Solar radiation: 591
Year: 2002  Month: 4  Day: 29  Time: 8  Solar radiation: 731
Year: 2000  Month: 5  Day: 12  Time: 8  Solar radiation: 689
Year: 2000  Month: 5  Day: 13  Time: 8  Solar radiation: 724
Year: 2000  Month: 5  Day: 18  Time: 8  Solar radiation: 644
Year: 2000  Month: 5  Day: 27  Time: 7  Solar radiation: 571
Year: 2000  Month: 5  Day: 27  Time: 8  Solar radiation: 691
Year: 2000  Month: 5  Day: 28  Time: 7  Solar radiation: 560
Year: 2000  Month: 5  Day: 28  Time: 8  Solar radiation: 657
Year: 2000  Month: 5  Day: 31  Time: 8  Solar radiation: 617
Year: 2002  Month: 6  Day: 1  Time: 8  Solar radiation: 594
Year: 2002  Month: 6  Day: 4  Time: 8  Solar radiation: 680
Year: 2002  Month: 6  Day: 12  Time: 8  Solar radiation: 628
Year: 2002  Month: 6  Day: 15  Time: 8  Solar radiation: 663
Year: 2002  Month: 6  Day: 22  Time: 8  Solar radiation: 570
Year: 2002  Month: 6  Day: 28  Time: 7  Solar radiation: 564
Year: 2002  Month: 6  Day: 28  Time: 8  Solar radiation: 702
Year: 2002  Month: 7  Day: 1  Time: 8  Solar radiation: 570
Year: 2002  Month: 7  Day: 2  Time: 8  Solar radiation: 604
Year: 2002  Month: 7  Day: 9  Time: 8  Solar radiation: 580
Year: 2002  Month: 7  Day: 15  Time: 8  Solar radiation: 683
Year: 2002  Month: 7  Day: 16  Time: 8  Solar radiation: 619
Year: 2002  Month: 7  Day: 23  Time: 8  Solar radiation: 664
Year: 2002  Month: 7  Day: 24  Time: 8  Solar radiation: 647
Year: 2002  Month: 7  Day: 25  Time: 8  Solar radiation: 652
Year: 2002  Month: 7  Day: 28  Time: 8  Solar radiation: 646
Year: 2002  Month: 7  Day: 29  Time: 8  Solar radiation: 646
Year: 2002  Month: 8  Day: 4  Time: 8  Solar radiation: 639
Year: 2002  Month: 8  Day: 6  Time: 8  Solar radiation: 621
Year: 2002  Month: 8  Day: 7  Time: 8  Solar radiation: 655
Year: 2002  Month: 8  Day: 8  Time: 8  Solar radiation: 683
Year: 2002  Month: 8  Day: 24  Time: 8  Solar radiation: 628
Year: 2002  Month: 8  Day: 25  Time: 8  Solar radiation: 611
Year: 2002  Month: 8  Day: 30  Time: 8  Solar radiation: 666
Year: 2004  Month: 9  Day: 1  Time: 8  Solar radiation: 665
Year: 2004  Month: 9  Day: 4  Time: 8  Solar radiation: 670
Year: 2004  Month: 9  Day: 5  Time: 8  Solar radiation: 652
Year: 2004  Month: 9  Day: 6  Time: 8  Solar radiation: 652
Year: 2004  Month: 9  Day: 7  Time: 8  Solar radiation: 646
Year: 2004  Month: 9  Day: 10  Time: 8  Solar radiation: 634
Year: 2004  Month: 9  Day: 11  Time: 8  Solar radiation: 645
Year: 2004  Month: 9  Day: 12  Time: 8  Solar radiation: 616
Year: 2004  Month: 9  Day: 19  Time: 8  Solar radiation: 602
Year: 2004  Month: 9  Day: 20  Time: 8  Solar radiation: 619
Year: 2004  Month: 9  Day: 21  Time: 8  Solar radiation: 635
Year: 2004  Month: 9  Day: 22  Time: 8  Solar radiation: 612
Year: 2004  Month: 9  Day: 23  Time: 8  Solar radiation: 629
Year: 2004  Month: 9  Day: 24  Time: 8  Solar radiation: 606
Year: 2000  Month: 10  Day: 12  Time: 8  Solar radiation: 639
Year: 2000  Month: 10  Day: 13  Time: 8  Solar radiation: 627
Year: 2000  Month: 10  Day: 14  Time: 8  Solar radiation: 610
Year: 2000  Month: 10  Day: 15  Time: 8  Solar radiation: 626
Year: 2000  Month: 10  Day: 17  Time: 8  Solar radiation: 559
Year: 2000  Month: 10  Day: 25  Time: 8  Solar radiation: 589
Year: 2004  Month: 11  Day: 1  Time: 8  Solar radiation: 618
Year: 2004  Month: 11  Day: 2  Time: 8  Solar radiation: 601
Year: 2004  Month: 11  Day: 3  Time: 8  Solar radiation: 557
Year: 2004  Month: 11  Day: 5  Time: 8  Solar radiation: 555
Year: 2004  Month: 11  Day: 6  Time: 8  Solar radiation: 564
Year: 2004  Month: 11  Day: 14  Time: 8  Solar radiation: 561
Wrong Global Horizontal Radiation:
==================================
Wrong Diffuse Horizontal Radiation:
====================================
