                Average Minimum and Maximum Temperatures
                ========================================

                         Maximum Temperatures:
Month:	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	
AvgMax:11.5	11.28	13.95	13.65	10.5	18.59	18.88	18.98	18.89	19.25	19.48	23.9	
Time:11	12	10	11	8	10	10	10	11	11	11	10	

                         Minimum Temperatures
Month:	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	
AvgMin:3.61	3.43	8.05	7.75	6.3	10.4	10.82	10.92	10.65	11.02	11.22	18.25	
Time: 	11	10	9	9	2	9	8	10	10	10	10	3	

=================================================================================================

                           Solar Radiation Analysis
                            ========================
Lines checked: 2518
===============
No. of wrong lines: 59
==================
Wrong Direct Normal Radiation:
=================================
Year: 1956  Month: 3  Day: 22  Time: 8  Solar radiation: 748
Year: 1969  Month: 4  Day: 1  Time: 8  Solar radiation: 610
Year: 1969  Month: 4  Day: 12  Time: 8  Solar radiation: 551
Year: 1969  Month: 4  Day: 26  Time: 8  Solar radiation: 555
Year: 1954  Month: 5  Day: 2  Time: 8  Solar radiation: 677
Year: 1954  Month: 5  Day: 3  Time: 8  Solar radiation: 686
Year: 1954  Month: 5  Day: 7  Time: 8  Solar radiation: 672
Year: 1954  Month: 5  Day: 11  Time: 8  Solar radiation: 751
Year: 1954  Month: 5  Day: 18  Time: 8  Solar radiation: 680
Year: 1954  Month: 5  Day: 22  Time: 8  Solar radiation: 595
Year: 1954  Month: 5  Day: 23  Time: 8  Solar radiation: 658
Year: 1954  Month: 5  Day: 24  Time: 8  Solar radiation: 657
Year: 1954  Month: 5  Day: 26  Time: 8  Solar radiation: 743
Year: 1954  Month: 5  Day: 27  Time: 8  Solar radiation: 593
Year: 1954  Month: 5  Day: 31  Time: 8  Solar radiation: 685
Year: 1969  Month: 6  Day: 2  Time: 8  Solar radiation: 817
Year: 1969  Month: 6  Day: 11  Time: 8  Solar radiation: 663
Year: 1969  Month: 6  Day: 12  Time: 8  Solar radiation: 616
Year: 1969  Month: 6  Day: 13  Time: 8  Solar radiation: 557
Year: 1969  Month: 6  Day: 14  Time: 8  Solar radiation: 775
Year: 1969  Month: 6  Day: 15  Time: 8  Solar radiation: 623
Year: 1969  Month: 6  Day: 20  Time: 8  Solar radiation: 654
Year: 1969  Month: 6  Day: 25  Time: 8  Solar radiation: 758
Year: 1968  Month: 7  Day: 1  Time: 8  Solar radiation: 590
Year: 1968  Month: 7  Day: 2  Time: 8  Solar radiation: 580
Year: 1968  Month: 7  Day: 17  Time: 8  Solar radiation: 553
Year: 1968  Month: 7  Day: 21  Time: 8  Solar radiation: 552
Year: 1968  Month: 7  Day: 25  Time: 8  Solar radiation: 701
Year: 1971  Month: 8  Day: 2  Time: 8  Solar radiation: 581
Year: 1971  Month: 8  Day: 14  Time: 8  Solar radiation: 637
Year: 1971  Month: 8  Day: 15  Time: 8  Solar radiation: 689
Year: 1971  Month: 8  Day: 19  Time: 8  Solar radiation: 621
Year: 1964  Month: 9  Day: 15  Time: 8  Solar radiation: 575
Year: 1964  Month: 9  Day: 18  Time: 8  Solar radiation: 580
Wrong Global Horizontal Radiation:
==================================
Wrong Diffuse Horizontal Radiation:
====================================
Year: 1969  Month: 4  Day: 16  Time: 8  Solar radiation: 263
Year: 1969  Month: 4  Day: 23  Time: 8  Solar radiation: 253
Year: 1969  Month: 4  Day: 28  Time: 8  Solar radiation: 266
Year: 1954  Month: 5  Day: 6  Time: 8  Solar radiation: 265
Year: 1954  Month: 5  Day: 8  Time: 8  Solar radiation: 294
Year: 1954  Month: 5  Day: 25  Time: 8  Solar radiation: 282
Year: 1969  Month: 6  Day: 1  Time: 8  Solar radiation: 268
Year: 1969  Month: 6  Day: 10  Time: 8  Solar radiation: 258
Year: 1969  Month: 6  Day: 19  Time: 8  Solar radiation: 301
Year: 1969  Month: 6  Day: 23  Time: 8  Solar radiation: 292
Year: 1969  Month: 6  Day: 24  Time: 8  Solar radiation: 304
Year: 1969  Month: 6  Day: 27  Time: 8  Solar radiation: 265
Year: 1969  Month: 6  Day: 28  Time: 8  Solar radiation: 283
Year: 1968  Month: 7  Day: 3  Time: 8  Solar radiation: 255
Year: 1968  Month: 7  Day: 4  Time: 8  Solar radiation: 307
Year: 1968  Month: 7  Day: 7  Time: 8  Solar radiation: 274
Year: 1968  Month: 7  Day: 8  Time: 8  Solar radiation: 280
Year: 1968  Month: 7  Day: 13  Time: 8  Solar radiation: 269
Year: 1968  Month: 7  Day: 15  Time: 8  Solar radiation: 279
Year: 1968  Month: 7  Day: 22  Time: 8  Solar radiation: 275
Year: 1968  Month: 7  Day: 23  Time: 8  Solar radiation: 258
Year: 1968  Month: 7  Day: 24  Time: 8  Solar radiation: 257
Year: 1971  Month: 8  Day: 3  Time: 8  Solar radiation: 254
Year: 1971  Month: 8  Day: 4  Time: 8  Solar radiation: 263
Year: 1971  Month: 8  Day: 12  Time: 8  Solar radiation: 260
