                Average Minimum and Maximum Temperatures
                ========================================

                         Maximum Temperatures:
Month:	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	
AvgMax:-5.2	-4.62	-4.35	-5.19	-4.69	-2.15	-6.15	2.29	5.85	5.96	6.2	7.13	
Time:12	12	12	12	13	14	10	12	12	12	12	12	

                         Minimum Temperatures
Month:	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	
AvgMin:-17.05	-16.34	-16.34	-14.61	-14.82	-12.29	-13.65	-5.65	-2.86	-2.86	-2.25	-1.84	
Time: 	12	10	10	12	11	9	14	13	10	10	10	9	

=================================================================================================

                           Solar Radiation Analysis
                            ========================
Lines checked: 2572
===============
No. of wrong lines: 92
==================
Wrong Direct Normal Radiation:
=================================
Year: 1988  Month: 2  Day: 28  Time: 8  Solar radiation: 655
Year: 1997  Month: 3  Day: 9  Time: 8  Solar radiation: 594
Year: 1997  Month: 3  Day: 19  Time: 8  Solar radiation: 590
Year: 1994  Month: 4  Day: 2  Time: 8  Solar radiation: 700
Year: 1994  Month: 4  Day: 8  Time: 8  Solar radiation: 852
Year: 1994  Month: 4  Day: 15  Time: 7  Solar radiation: 738
Year: 1994  Month: 4  Day: 15  Time: 8  Solar radiation: 853
Year: 1994  Month: 4  Day: 23  Time: 8  Solar radiation: 793
Year: 1996  Month: 5  Day: 2  Time: 8  Solar radiation: 681
Year: 1996  Month: 5  Day: 3  Time: 7  Solar radiation: 648
Year: 1996  Month: 5  Day: 3  Time: 8  Solar radiation: 797
Year: 1996  Month: 5  Day: 7  Time: 7  Solar radiation: 748
Year: 1996  Month: 5  Day: 7  Time: 8  Solar radiation: 839
Year: 1996  Month: 5  Day: 9  Time: 7  Solar radiation: 812
Year: 1996  Month: 5  Day: 9  Time: 8  Solar radiation: 894
Year: 1996  Month: 5  Day: 15  Time: 7  Solar radiation: 659
Year: 1996  Month: 5  Day: 16  Time: 7  Solar radiation: 657
Year: 1996  Month: 5  Day: 16  Time: 8  Solar radiation: 749
Year: 1996  Month: 5  Day: 17  Time: 7  Solar radiation: 602
Year: 1996  Month: 5  Day: 17  Time: 8  Solar radiation: 623
Year: 1996  Month: 5  Day: 22  Time: 8  Solar radiation: 635
Year: 1996  Month: 5  Day: 26  Time: 8  Solar radiation: 577
Year: 1996  Month: 5  Day: 27  Time: 8  Solar radiation: 597
Year: 1996  Month: 5  Day: 31  Time: 7  Solar radiation: 730
Year: 1996  Month: 5  Day: 31  Time: 8  Solar radiation: 883
Year: 1997  Month: 6  Day: 2  Time: 6  Solar radiation: 633
Year: 1997  Month: 6  Day: 2  Time: 7  Solar radiation: 818
Year: 1997  Month: 6  Day: 2  Time: 8  Solar radiation: 888
Year: 1997  Month: 6  Day: 3  Time: 6  Solar radiation: 705
Year: 1997  Month: 6  Day: 4  Time: 7  Solar radiation: 642
Year: 1997  Month: 6  Day: 4  Time: 8  Solar radiation: 667
Year: 1997  Month: 6  Day: 7  Time: 7  Solar radiation: 744
Year: 1997  Month: 6  Day: 7  Time: 8  Solar radiation: 824
Year: 1997  Month: 6  Day: 8  Time: 8  Solar radiation: 719
Year: 1997  Month: 6  Day: 11  Time: 8  Solar radiation: 774
Year: 1997  Month: 6  Day: 14  Time: 8  Solar radiation: 663
Year: 1997  Month: 6  Day: 16  Time: 7  Solar radiation: 608
Year: 1997  Month: 6  Day: 16  Time: 8  Solar radiation: 789
Year: 1997  Month: 6  Day: 24  Time: 7  Solar radiation: 761
Year: 1997  Month: 6  Day: 24  Time: 8  Solar radiation: 837
Year: 1997  Month: 6  Day: 28  Time: 6  Solar radiation: 643
Year: 1997  Month: 6  Day: 28  Time: 7  Solar radiation: 779
Year: 1997  Month: 6  Day: 28  Time: 8  Solar radiation: 850
Year: 1997  Month: 6  Day: 29  Time: 6  Solar radiation: 595
Year: 1997  Month: 6  Day: 29  Time: 7  Solar radiation: 733
Year: 1997  Month: 6  Day: 29  Time: 8  Solar radiation: 651
Year: 1997  Month: 6  Day: 30  Time: 7  Solar radiation: 671
Year: 1997  Month: 6  Day: 30  Time: 8  Solar radiation: 759
Year: 1980  Month: 7  Day: 3  Time: 8  Solar radiation: 563
Year: 1980  Month: 7  Day: 4  Time: 7  Solar radiation: 703
Year: 1980  Month: 7  Day: 4  Time: 8  Solar radiation: 716
Year: 1980  Month: 7  Day: 5  Time: 7  Solar radiation: 651
Year: 1980  Month: 7  Day: 5  Time: 8  Solar radiation: 802
Year: 1980  Month: 7  Day: 7  Time: 7  Solar radiation: 697
Year: 1980  Month: 7  Day: 10  Time: 7  Solar radiation: 696
Year: 1980  Month: 7  Day: 18  Time: 7  Solar radiation: 677
Year: 1980  Month: 7  Day: 18  Time: 8  Solar radiation: 763
Year: 1980  Month: 7  Day: 19  Time: 7  Solar radiation: 747
Year: 1980  Month: 7  Day: 19  Time: 8  Solar radiation: 763
Year: 1980  Month: 7  Day: 21  Time: 8  Solar radiation: 551
Year: 1980  Month: 7  Day: 25  Time: 8  Solar radiation: 593
Year: 2001  Month: 8  Day: 1  Time: 7  Solar radiation: 566
Year: 2001  Month: 8  Day: 1  Time: 8  Solar radiation: 656
Year: 2001  Month: 8  Day: 2  Time: 7  Solar radiation: 686
Year: 2001  Month: 8  Day: 2  Time: 8  Solar radiation: 773
Year: 2001  Month: 8  Day: 4  Time: 8  Solar radiation: 761
Year: 2001  Month: 8  Day: 5  Time: 7  Solar radiation: 586
Year: 2001  Month: 8  Day: 5  Time: 8  Solar radiation: 682
Year: 2001  Month: 8  Day: 6  Time: 8  Solar radiation: 571
Year: 2001  Month: 8  Day: 11  Time: 7  Solar radiation: 564
Year: 2001  Month: 8  Day: 11  Time: 8  Solar radiation: 689
Year: 2001  Month: 8  Day: 12  Time: 7  Solar radiation: 577
Year: 2001  Month: 8  Day: 12  Time: 8  Solar radiation: 615
Year: 2001  Month: 8  Day: 14  Time: 8  Solar radiation: 579
Year: 2001  Month: 8  Day: 15  Time: 8  Solar radiation: 720
Year: 2001  Month: 8  Day: 16  Time: 8  Solar radiation: 616
Year: 2001  Month: 8  Day: 23  Time: 8  Solar radiation: 617
Year: 2001  Month: 8  Day: 25  Time: 7  Solar radiation: 586
Year: 2001  Month: 8  Day: 30  Time: 8  Solar radiation: 656
Year: 1981  Month: 9  Day: 2  Time: 8  Solar radiation: 594
Year: 1981  Month: 9  Day: 10  Time: 7  Solar radiation: 591
Year: 1981  Month: 9  Day: 10  Time: 8  Solar radiation: 783
Year: 1981  Month: 9  Day: 17  Time: 7  Solar radiation: 576
Year: 1981  Month: 9  Day: 17  Time: 8  Solar radiation: 771
Year: 1981  Month: 9  Day: 25  Time: 8  Solar radiation: 567
