                Average Minimum and Maximum Temperatures
                ========================================

                         Maximum Temperatures:
Month:	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	
AvgMax:-19.07	-22.14	-17.16	-15.16	-15.64	-13.25	-12.41	-11.84	-9.19	-9.25	-7.93	-7.88	
Time:12	14	12	12	8	12	12	12	12	12	12	12	

                         Minimum Temperatures
Month:	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	
AvgMin:-27.61	-29.48	-26.75	-24.88	-22.56	-21.52	-21.12	-20.73	-17.86	-17.83	-16.65	-16.65	
Time: 	11	10	10	11	10	11	12	11	11	10	10	10	

=================================================================================================

                           Solar Radiation Analysis
                            ========================
Lines checked: 2489
===============
No. of wrong lines: 83
==================
Wrong Direct Normal Radiation:
=================================
Year: 1986  Month: 3  Day: 25  Time: 8  Solar radiation: 603
Year: 1972  Month: 4  Day: 5  Time: 8  Solar radiation: 756
Year: 1972  Month: 4  Day: 8  Time: 8  Solar radiation: 748
Year: 1972  Month: 4  Day: 12  Time: 8  Solar radiation: 772
Year: 1972  Month: 4  Day: 13  Time: 8  Solar radiation: 672
Year: 1972  Month: 4  Day: 22  Time: 8  Solar radiation: 756
Year: 1972  Month: 4  Day: 23  Time: 8  Solar radiation: 686
Year: 1972  Month: 4  Day: 26  Time: 7  Solar radiation: 592
Year: 1972  Month: 4  Day: 26  Time: 8  Solar radiation: 784
Year: 1972  Month: 4  Day: 27  Time: 8  Solar radiation: 777
Year: 1965  Month: 5  Day: 1  Time: 8  Solar radiation: 832
Year: 1965  Month: 5  Day: 3  Time: 8  Solar radiation: 715
Year: 1965  Month: 5  Day: 6  Time: 7  Solar radiation: 669
Year: 1965  Month: 5  Day: 8  Time: 19  Solar radiation: 645
Year: 1965  Month: 5  Day: 10  Time: 7  Solar radiation: 691
Year: 1965  Month: 5  Day: 10  Time: 8  Solar radiation: 801
Year: 1965  Month: 5  Day: 23  Time: 7  Solar radiation: 756
Year: 1965  Month: 5  Day: 23  Time: 8  Solar radiation: 818
Year: 1989  Month: 6  Day: 7  Time: 19  Solar radiation: 688
Year: 1989  Month: 6  Day: 8  Time: 6  Solar radiation: 645
Year: 1989  Month: 6  Day: 8  Time: 7  Solar radiation: 758
Year: 1989  Month: 6  Day: 8  Time: 8  Solar radiation: 845
Year: 1989  Month: 6  Day: 10  Time: 6  Solar radiation: 611
Year: 1989  Month: 6  Day: 10  Time: 7  Solar radiation: 709
Year: 1989  Month: 6  Day: 10  Time: 8  Solar radiation: 819
Year: 1989  Month: 6  Day: 13  Time: 6  Solar radiation: 645
Year: 1989  Month: 6  Day: 13  Time: 7  Solar radiation: 671
Year: 1989  Month: 6  Day: 13  Time: 8  Solar radiation: 739
Year: 1989  Month: 6  Day: 15  Time: 6  Solar radiation: 593
Year: 1989  Month: 6  Day: 15  Time: 8  Solar radiation: 844
Year: 1989  Month: 6  Day: 19  Time: 19  Solar radiation: 675
Year: 1989  Month: 6  Day: 21  Time: 8  Solar radiation: 632
Year: 1989  Month: 6  Day: 23  Time: 6  Solar radiation: 566
Year: 1989  Month: 6  Day: 23  Time: 7  Solar radiation: 685
Year: 1989  Month: 6  Day: 25  Time: 8  Solar radiation: 655
Year: 1989  Month: 6  Day: 27  Time: 7  Solar radiation: 585
Year: 1989  Month: 6  Day: 28  Time: 6  Solar radiation: 697
Year: 1989  Month: 6  Day: 28  Time: 7  Solar radiation: 781
Year: 1989  Month: 6  Day: 28  Time: 8  Solar radiation: 834
Year: 1984  Month: 7  Day: 1  Time: 7  Solar radiation: 691
Year: 1984  Month: 7  Day: 1  Time: 8  Solar radiation: 741
Year: 1984  Month: 7  Day: 4  Time: 6  Solar radiation: 594
