                Average Minimum and Maximum Temperatures
                ========================================

                         Maximum Temperatures:
Month:	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	
AvgMax:12.4	15.95	17.8	18.19	9.6	16.4	20.6	22.4	23.38	21.44	20.63	20.9	
Time:15	14	14	14	8	12	13	14	14	14	14	14	

                         Minimum Temperatures
Month:	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	
AvgMin:2.67	4.9	5.54	6.02	5.2	6.05	7.0	7.5	7.52	7.75	7.37	7.59	
Time: 	9	9	8	9	4	3	3	3	7	8	8	8	

=================================================================================================

                           Solar Radiation Analysis
                            ========================
Lines checked: 3140
===============
No. of wrong lines: 133
==================
Wrong Direct Normal Radiation:
=================================
Year: 1954  Month: 3  Day: 26  Time: 8  Solar radiation: 652
Year: 1971  Month: 4  Day: 1  Time: 8  Solar radiation: 710
Year: 1971  Month: 4  Day: 2  Time: 8  Solar radiation: 632
Year: 1971  Month: 4  Day: 3  Time: 8  Solar radiation: 718
Year: 1971  Month: 4  Day: 4  Time: 8  Solar radiation: 721
Year: 1971  Month: 4  Day: 5  Time: 8  Solar radiation: 715
Year: 1971  Month: 4  Day: 8  Time: 8  Solar radiation: 676
Year: 1971  Month: 4  Day: 12  Time: 8  Solar radiation: 731
Year: 1971  Month: 4  Day: 13  Time: 8  Solar radiation: 565
Year: 1971  Month: 4  Day: 14  Time: 8  Solar radiation: 686
Year: 1971  Month: 4  Day: 15  Time: 8  Solar radiation: 756
Year: 1971  Month: 4  Day: 18  Time: 8  Solar radiation: 662
Year: 1971  Month: 4  Day: 19  Time: 8  Solar radiation: 663
Year: 1971  Month: 4  Day: 21  Time: 8  Solar radiation: 736
Year: 1971  Month: 4  Day: 23  Time: 8  Solar radiation: 703
Year: 1971  Month: 4  Day: 24  Time: 8  Solar radiation: 739
Year: 1971  Month: 4  Day: 25  Time: 8  Solar radiation: 740
Year: 1971  Month: 4  Day: 27  Time: 8  Solar radiation: 667
Year: 1971  Month: 4  Day: 28  Time: 8  Solar radiation: 708
Year: 1971  Month: 4  Day: 30  Time: 8  Solar radiation: 743
