                Average Minimum and Maximum Temperatures
                ========================================

                         Maximum Temperatures:
Month:	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	
AvgMax:7.94	9.45	12.49	15.97	20.39	16.0	23.0	24.4	24.86	24.5	24.64	25.69	
Time:11	13	14	12	13	8	12	13	13	14	14	14	

                         Minimum Temperatures
Month:	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	
AvgMin:-1.34	-1.58	1.67	6.44	8.84	6.0	10.0	10.8	11.29	11.3	11.64	12.31	
Time: 	8	9	8	10	9	4	8	7	9	7	7	6	

=================================================================================================

                           Solar Radiation Analysis
                            ========================
Lines checked: 2365
===============
No. of wrong lines: 38
==================
Wrong Direct Normal Radiation:
=================================
Year: 1994  Month: 4  Day: 9  Time: 8  Solar radiation: 560
Year: 1998  Month: 5  Day: 1  Time: 8  Solar radiation: 583
Year: 1998  Month: 5  Day: 4  Time: 8  Solar radiation: 575
Year: 1998  Month: 5  Day: 5  Time: 8  Solar radiation: 555
Year: 1998  Month: 5  Day: 7  Time: 8  Solar radiation: 573
Year: 1998  Month: 5  Day: 10  Time: 8  Solar radiation: 597
Year: 1998  Month: 5  Day: 11  Time: 8  Solar radiation: 591
Year: 1998  Month: 5  Day: 13  Time: 8  Solar radiation: 571
Year: 1998  Month: 5  Day: 16  Time: 8  Solar radiation: 601
Year: 1997  Month: 6  Day: 1  Time: 8  Solar radiation: 749
Year: 1997  Month: 6  Day: 6  Time: 8  Solar radiation: 643
Year: 1997  Month: 6  Day: 7  Time: 8  Solar radiation: 709
Year: 1997  Month: 6  Day: 12  Time: 8  Solar radiation: 741
Year: 1997  Month: 6  Day: 13  Time: 8  Solar radiation: 647
Year: 1997  Month: 6  Day: 14  Time: 8  Solar radiation: 723
Year: 1997  Month: 6  Day: 19  Time: 8  Solar radiation: 704
Year: 1997  Month: 6  Day: 20  Time: 8  Solar radiation: 634
Year: 1997  Month: 6  Day: 22  Time: 8  Solar radiation: 617
Year: 1997  Month: 6  Day: 27  Time: 8  Solar radiation: 610
Year: 1997  Month: 6  Day: 28  Time: 8  Solar radiation: 615
Year: 1997  Month: 6  Day: 29  Time: 8  Solar radiation: 592
Year: 1997  Month: 6  Day: 30  Time: 8  Solar radiation: 724
Year: 1997  Month: 7  Day: 1  Time: 8  Solar radiation: 724
Year: 1997  Month: 7  Day: 3  Time: 8  Solar radiation: 615
Year: 1997  Month: 7  Day: 5  Time: 8  Solar radiation: 718
Year: 1997  Month: 7  Day: 6  Time: 8  Solar radiation: 643
Year: 1997  Month: 7  Day: 10  Time: 8  Solar radiation: 668
Year: 1997  Month: 7  Day: 12  Time: 8  Solar radiation: 619
Year: 1997  Month: 7  Day: 13  Time: 8  Solar radiation: 558
Year: 1997  Month: 7  Day: 14  Time: 8  Solar radiation: 671
Year: 1997  Month: 7  Day: 16  Time: 8  Solar radiation: 587
Year: 1997  Month: 7  Day: 20  Time: 8  Solar radiation: 624
Year: 1997  Month: 7  Day: 23  Time: 8  Solar radiation: 651
Year: 1997  Month: 7  Day: 27  Time: 8  Solar radiation: 640
Year: 1997  Month: 8  Day: 9  Time: 8  Solar radiation: 610
Year: 1997  Month: 8  Day: 20  Time: 8  Solar radiation: 561
Year: 1996  Month: 9  Day: 21  Time: 8  Solar radiation: 589
Year: 1997  Month: 10  Day: 15  Time: 8  Solar radiation: 563
Wrong Global Horizontal Radiation:
==================================
Wrong Diffuse Horizontal Radiation:
====================================
