                Average Minimum and Maximum Temperatures
                ========================================

                         Maximum Temperatures:
Month:	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	
AvgMax:11.13	11.84	10.0	13.03	12.08	12.47	12.2	11.65	0.5	6.65	13.0	11.51	
Time:13	13	8	12	14	14	14	14	8	11	11	12	

                         Minimum Temperatures
Month:	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	
AvgMin:-3.74	-3.65	6.5	0.6	-3.17	-2.9	-2.59	-3.06	-3.9	-4.2	-3.79	-5.04	
Time: 	8	8	1	13	8	8	9	9	5	5	7	6	

=================================================================================================

                           Solar Radiation Analysis
                            ========================
Lines checked: 3071
===============
No. of wrong lines: 219
==================
Wrong Direct Normal Radiation:
=================================
Year: 2004  Month: 1  Day: 30  Time: 8  Solar radiation: 699
Year: 1997  Month: 2  Day: 1  Time: 8  Solar radiation: 588
Year: 1997  Month: 2  Day: 4  Time: 8  Solar radiation: 635
Year: 1997  Month: 2  Day: 17  Time: 8  Solar radiation: 658
Year: 1997  Month: 2  Day: 18  Time: 8  Solar radiation: 600
Year: 1997  Month: 2  Day: 22  Time: 8  Solar radiation: 604
Year: 1996  Month: 3  Day: 1  Time: 8  Solar radiation: 698
Year: 1996  Month: 3  Day: 2  Time: 8  Solar radiation: 669
Year: 1996  Month: 3  Day: 7  Time: 8  Solar radiation: 780
Year: 1996  Month: 3  Day: 9  Time: 8  Solar radiation: 689
Year: 1996  Month: 3  Day: 10  Time: 8  Solar radiation: 742
Year: 1996  Month: 3  Day: 12  Time: 8  Solar radiation: 658
Year: 1996  Month: 3  Day: 13  Time: 8  Solar radiation: 613
Year: 1996  Month: 3  Day: 16  Time: 8  Solar radiation: 575
Year: 1996  Month: 3  Day: 18  Time: 8  Solar radiation: 759
Year: 1996  Month: 3  Day: 20  Time: 8  Solar radiation: 598
Year: 1996  Month: 3  Day: 21  Time: 8  Solar radiation: 766
Year: 1996  Month: 3  Day: 23  Time: 8  Solar radiation: 698
Year: 1996  Month: 3  Day: 27  Time: 8  Solar radiation: 730
Year: 1996  Month: 3  Day: 31  Time: 8  Solar radiation: 621
Year: 2002  Month: 4  Day: 1  Time: 8  Solar radiation: 755
Year: 2002  Month: 4  Day: 3  Time: 8  Solar radiation: 696
Year: 2002  Month: 4  Day: 4  Time: 8  Solar radiation: 594
