                Average Minimum and Maximum Temperatures
                ========================================

                         Maximum Temperatures:
Month:	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	
AvgMax:0.43	1.65	2.06	5.0	6.67	7.2	9.6	9.9	10.27	10.79	10.83	11.23	
Time:13	13	13	11	13	13	13	13	13	13	13	13	

                         Minimum Temperatures
Month:	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	
AvgMin:-5.62	-4.96	-4.67	-3.0	-1.33	-1.3	-0.9	-0.71	-0.73	-0.25	-0.21	-0.07	
Time: 	10	12	11	15	7	7	7	7	7	6	6	6	

=================================================================================================

                           Solar Radiation Analysis
                            ========================
Lines checked: 2706
===============
No. of wrong lines: 159
==================
Wrong Direct Normal Radiation:
=================================
Year: 1997  Month: 2  Day: 24  Time: 8  Solar radiation: 601
Year: 2004  Month: 3  Day: 2  Time: 8  Solar radiation: 555
Year: 2004  Month: 3  Day: 9  Time: 8  Solar radiation: 613
Year: 2004  Month: 3  Day: 10  Time: 8  Solar radiation: 617
Year: 2004  Month: 3  Day: 20  Time: 8  Solar radiation: 702
Year: 2004  Month: 3  Day: 21  Time: 8  Solar radiation: 661
Year: 2004  Month: 3  Day: 22  Time: 8  Solar radiation: 712
Year: 2004  Month: 3  Day: 28  Time: 8  Solar radiation: 735
Year: 2004  Month: 3  Day: 29  Time: 8  Solar radiation: 758
Year: 2004  Month: 3  Day: 30  Time: 8  Solar radiation: 760
Year: 1998  Month: 4  Day: 2  Time: 8  Solar radiation: 641
Year: 1998  Month: 4  Day: 3  Time: 8  Solar radiation: 614
Year: 1998  Month: 4  Day: 7  Time: 8  Solar radiation: 675
Year: 1998  Month: 4  Day: 8  Time: 8  Solar radiation: 749
Year: 1998  Month: 4  Day: 12  Time: 7  Solar radiation: 569
Year: 1998  Month: 4  Day: 13  Time: 7  Solar radiation: 614
Year: 1998  Month: 4  Day: 13  Time: 8  Solar radiation: 771
Year: 1998  Month: 4  Day: 17  Time: 8  Solar radiation: 757
Year: 1998  Month: 4  Day: 18  Time: 7  Solar radiation: 636
Year: 1998  Month: 4  Day: 18  Time: 8  Solar radiation: 747
Year: 1998  Month: 4  Day: 20  Time: 7  Solar radiation: 607
Year: 1998  Month: 4  Day: 20  Time: 8  Solar radiation: 737
Year: 1998  Month: 4  Day: 21  Time: 7  Solar radiation: 603
Year: 1998  Month: 4  Day: 21  Time: 8  Solar radiation: 617
Year: 1998  Month: 4  Day: 25  Time: 8  Solar radiation: 774
Year: 1998  Month: 4  Day: 26  Time: 7  Solar radiation: 671
Year: 1998  Month: 4  Day: 26  Time: 8  Solar radiation: 797
Year: 1998  Month: 4  Day: 27  Time: 7  Solar radiation: 628
Year: 1998  Month: 4  Day: 27  Time: 8  Solar radiation: 752
Year: 1998  Month: 4  Day: 28  Time: 7  Solar radiation: 684
Year: 1998  Month: 4  Day: 28  Time: 8  Solar radiation: 793
Year: 1998  Month: 4  Day: 29  Time: 7  Solar radiation: 669
Year: 1998  Month: 4  Day: 29  Time: 8  Solar radiation: 799
Year: 1998  Month: 4  Day: 30  Time: 7  Solar radiation: 681
Year: 1998  Month: 4  Day: 30  Time: 8  Solar radiation: 788
Year: 2002  Month: 5  Day: 1  Time: 8  Solar radiation: 777
Year: 2002  Month: 5  Day: 2  Time: 7  Solar radiation: 662
Year: 2002  Month: 5  Day: 2  Time: 8  Solar radiation: 662
Year: 2002  Month: 5  Day: 3  Time: 8  Solar radiation: 761
Year: 2002  Month: 5  Day: 8  Time: 8  Solar radiation: 693
Year: 2002  Month: 5  Day: 10  Time: 7  Solar radiation: 691
Year: 2002  Month: 5  Day: 10  Time: 8  Solar radiation: 792
Year: 2002  Month: 5  Day: 11  Time: 7  Solar radiation: 681
Year: 2002  Month: 5  Day: 11  Time: 8  Solar radiation: 786
Year: 2002  Month: 5  Day: 12  Time: 7  Solar radiation: 670
Year: 2002  Month: 5  Day: 12  Time: 8  Solar radiation: 758
Year: 2002  Month: 5  Day: 13  Time: 7  Solar radiation: 609
Year: 2002  Month: 5  Day: 13  Time: 8  Solar radiation: 654
Year: 2002  Month: 5  Day: 16  Time: 7  Solar radiation: 684
Year: 2002  Month: 5  Day: 16  Time: 8  Solar radiation: 770
Year: 2002  Month: 5  Day: 24  Time: 7  Solar radiation: 699
Year: 2002  Month: 5  Day: 24  Time: 8  Solar radiation: 778
Year: 2002  Month: 5  Day: 26  Time: 8  Solar radiation: 598
Year: 2002  Month: 5  Day: 31  Time: 6  Solar radiation: 572
Year: 2002  Month: 5  Day: 31  Time: 7  Solar radiation: 718
Year: 2002  Month: 5  Day: 31  Time: 8  Solar radiation: 808
Year: 2002  Month: 6  Day: 2  Time: 6  Solar radiation: 553
Year: 2002  Month: 6  Day: 2  Time: 7  Solar radiation: 707
Year: 2002  Month: 6  Day: 2  Time: 8  Solar radiation: 628
Year: 2002  Month: 6  Day: 3  Time: 6  Solar radiation: 553
Year: 2002  Month: 6  Day: 3  Time: 7  Solar radiation: 707
Year: 2002  Month: 6  Day: 3  Time: 8  Solar radiation: 802
Year: 2002  Month: 6  Day: 4  Time: 8  Solar radiation: 709
Year: 2002  Month: 6  Day: 12  Time: 8  Solar radiation: 692
Year: 2002  Month: 6  Day: 13  Time: 7  Solar radiation: 629
Year: 2002  Month: 6  Day: 13  Time: 8  Solar radiation: 791
Year: 2002  Month: 6  Day: 14  Time: 7  Solar radiation: 663
Year: 2002  Month: 6  Day: 14  Time: 8  Solar radiation: 750
Year: 2002  Month: 6  Day: 15  Time: 7  Solar radiation: 640
Year: 2002  Month: 6  Day: 15  Time: 8  Solar radiation: 750
Year: 2002  Month: 6  Day: 16  Time: 8  Solar radiation: 663
Year: 2002  Month: 6  Day: 20  Time: 7  Solar radiation: 702
Year: 2002  Month: 6  Day: 20  Time: 8  Solar radiation: 779
Year: 2002  Month: 6  Day: 22  Time: 7  Solar radiation: 617
Year: 2002  Month: 6  Day: 22  Time: 8  Solar radiation: 732
Year: 2002  Month: 6  Day: 24  Time: 6  Solar radiation: 560
Year: 2002  Month: 6  Day: 24  Time: 7  Solar radiation: 696
Year: 2002  Month: 6  Day: 24  Time: 8  Solar radiation: 564
Year: 2002  Month: 6  Day: 25  Time: 6  Solar radiation: 586
Year: 2002  Month: 6  Day: 25  Time: 7  Solar radiation: 735
Year: 2002  Month: 6  Day: 25  Time: 8  Solar radiation: 785
Year: 2002  Month: 6  Day: 26  Time: 6  Solar radiation: 585
Year: 2002  Month: 6  Day: 26  Time: 7  Solar radiation: 735
Year: 2002  Month: 6  Day: 26  Time: 8  Solar radiation: 808
Year: 2002  Month: 7  Day: 2  Time: 7  Solar radiation: 711
Year: 2002  Month: 7  Day: 2  Time: 8  Solar radiation: 656
Year: 2002  Month: 7  Day: 4  Time: 8  Solar radiation: 708
Year: 2002  Month: 7  Day: 5  Time: 7  Solar radiation: 705
Year: 2002  Month: 7  Day: 5  Time: 8  Solar radiation: 795
Year: 2002  Month: 7  Day: 6  Time: 7  Solar radiation: 687
