                Average Minimum and Maximum Temperatures
                ========================================

                         Maximum Temperatures:
Month:	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	
AvgMax:8.98	11.1	13.74	14.2	14.88	15.21	15.49	15.39	15.74	16.08	16.58	17.13	
Time:13	13	13	13	14	15	15	15	15	15	14	14	

                         Minimum Temperatures
Month:	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	
AvgMin:2.26	3.37	6.19	6.26	4.3	3.72	4.08	3.84	3.88	3.93	4.16	4.27	
Time: 	11	9	7	8	7	8	7	8	8	8	8	8	

=================================================================================================

                           Solar Radiation Analysis
                            ========================
Lines checked: 2771
===============
No. of wrong lines: 75
==================
Wrong Direct Normal Radiation:
=================================
Year: 2003  Month: 3  Day: 30  Time: 8  Solar radiation: 555
Year: 1998  Month: 4  Day: 13  Time: 8  Solar radiation: 586
Year: 1998  Month: 4  Day: 17  Time: 8  Solar radiation: 590
Year: 1998  Month: 4  Day: 18  Time: 8  Solar radiation: 636
Year: 1998  Month: 4  Day: 19  Time: 8  Solar radiation: 670
Year: 1998  Month: 4  Day: 20  Time: 8  Solar radiation: 682
Year: 1998  Month: 4  Day: 21  Time: 8  Solar radiation: 689
Year: 1998  Month: 4  Day: 26  Time: 8  Solar radiation: 609
Year: 1998  Month: 4  Day: 27  Time: 8  Solar radiation: 598
Year: 1998  Month: 4  Day: 28  Time: 8  Solar radiation: 638
Year: 2002  Month: 5  Day: 3  Time: 8  Solar radiation: 579
Year: 2002  Month: 5  Day: 4  Time: 8  Solar radiation: 619
Year: 2002  Month: 5  Day: 7  Time: 8  Solar radiation: 597
Year: 2002  Month: 5  Day: 8  Time: 7  Solar radiation: 564
Year: 2002  Month: 5  Day: 8  Time: 8  Solar radiation: 706
Year: 2002  Month: 5  Day: 11  Time: 8  Solar radiation: 701
Year: 2002  Month: 5  Day: 12  Time: 7  Solar radiation: 580
Year: 2002  Month: 5  Day: 12  Time: 8  Solar radiation: 616
Year: 2002  Month: 5  Day: 15  Time: 8  Solar radiation: 691
Year: 2002  Month: 5  Day: 16  Time: 7  Solar radiation: 567
Year: 2002  Month: 5  Day: 16  Time: 8  Solar radiation: 635
Year: 2002  Month: 5  Day: 23  Time: 8  Solar radiation: 688
Year: 2002  Month: 5  Day: 31  Time: 7  Solar radiation: 553
Year: 2002  Month: 5  Day: 31  Time: 8  Solar radiation: 683
Year: 2002  Month: 6  Day: 1  Time: 8  Solar radiation: 678
Year: 2002  Month: 6  Day: 2  Time: 7  Solar radiation: 587
Year: 2002  Month: 6  Day: 2  Time: 8  Solar radiation: 706
Year: 2002  Month: 6  Day: 6  Time: 8  Solar radiation: 632
Year: 2002  Month: 6  Day: 7  Time: 8  Solar radiation: 603
Year: 2002  Month: 6  Day: 9  Time: 8  Solar radiation: 655
Year: 2002  Month: 6  Day: 10  Time: 8  Solar radiation: 650
Year: 2002  Month: 6  Day: 11  Time: 7  Solar radiation: 605
Year: 2002  Month: 6  Day: 11  Time: 8  Solar radiation: 753
Year: 2002  Month: 6  Day: 12  Time: 7  Solar radiation: 566
Year: 2002  Month: 6  Day: 12  Time: 8  Solar radiation: 719
Year: 2002  Month: 6  Day: 13  Time: 8  Solar radiation: 707
Year: 2002  Month: 6  Day: 19  Time: 8  Solar radiation: 575
Year: 2002  Month: 6  Day: 20  Time: 7  Solar radiation: 577
Year: 2002  Month: 6  Day: 20  Time: 8  Solar radiation: 701
Year: 2002  Month: 6  Day: 25  Time: 8  Solar radiation: 712
Year: 2002  Month: 7  Day: 1  Time: 7  Solar radiation: 558
Year: 2002  Month: 7  Day: 1  Time: 8  Solar radiation: 608
Year: 2002  Month: 7  Day: 2  Time: 8  Solar radiation: 734
Year: 2002  Month: 7  Day: 5  Time: 7  Solar radiation: 611
Year: 2002  Month: 7  Day: 5  Time: 8  Solar radiation: 705
Year: 2002  Month: 7  Day: 8  Time: 8  Solar radiation: 653
Year: 2002  Month: 7  Day: 9  Time: 8  Solar radiation: 687
Year: 2002  Month: 7  Day: 10  Time: 8  Solar radiation: 664
Year: 2002  Month: 7  Day: 11  Time: 8  Solar radiation: 704
Year: 2002  Month: 7  Day: 12  Time: 8  Solar radiation: 686
Year: 2002  Month: 7  Day: 15  Time: 8  Solar radiation: 571
Year: 2002  Month: 7  Day: 16  Time: 8  Solar radiation: 651
Year: 2002  Month: 7  Day: 20  Time: 7  Solar radiation: 558
Year: 2002  Month: 7  Day: 20  Time: 8  Solar radiation: 639
Year: 2002  Month: 7  Day: 21  Time: 8  Solar radiation: 593
Year: 2002  Month: 7  Day: 22  Time: 8  Solar radiation: 604
Year: 2002  Month: 7  Day: 27  Time: 8  Solar radiation: 608
Year: 2002  Month: 7  Day: 28  Time: 8  Solar radiation: 596
Year: 2002  Month: 7  Day: 31  Time: 8  Solar radiation: 635
Year: 2001  Month: 8  Day: 5  Time: 8  Solar radiation: 667
Year: 2001  Month: 8  Day: 7  Time: 8  Solar radiation: 604
Year: 2001  Month: 8  Day: 20  Time: 8  Solar radiation: 670
Year: 2001  Month: 8  Day: 24  Time: 8  Solar radiation: 612
Year: 2001  Month: 8  Day: 26  Time: 8  Solar radiation: 566
Year: 2001  Month: 8  Day: 27  Time: 8  Solar radiation: 676
Year: 2001  Month: 9  Day: 1  Time: 8  Solar radiation: 623
Year: 2001  Month: 9  Day: 3  Time: 8  Solar radiation: 621
Year: 2001  Month: 9  Day: 8  Time: 8  Solar radiation: 600
Year: 2001  Month: 9  Day: 9  Time: 8  Solar radiation: 649
Year: 2001  Month: 9  Day: 10  Time: 8  Solar radiation: 599
Year: 2001  Month: 9  Day: 11  Time: 8  Solar radiation: 608
Year: 2001  Month: 9  Day: 22  Time: 8  Solar radiation: 563
Year: 2001  Month: 9  Day: 28  Time: 8  Solar radiation: 570
Year: 1994  Month: 10  Day: 3  Time: 8  Solar radiation: 630
Year: 1994  Month: 10  Day: 4  Time: 8  Solar radiation: 607
Wrong Global Horizontal Radiation:
==================================
Wrong Diffuse Horizontal Radiation:
====================================
