                Average Minimum and Maximum Temperatures
                ========================================

                         Maximum Temperatures:
Month:	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	
AvgMax:-4.33	1.27	7.42	10.03	11.87	5.0	10.3	11.5	12.3	13.56	14.15	14.68	
Time:12	15	15	14	15	8	12	14	14	15	15	15	

                         Minimum Temperatures
Month:	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	
AvgMin:-11.92	-7.53	-2.76	-1.69	0.15	0.0	0.0	1.93	2.56	3.05	3.23	3.61	
Time: 	11	10	7	8	7	6	5	8	7	6	6	6	

=================================================================================================

                           Solar Radiation Analysis
                            ========================
Lines checked: 2694
===============
No. of wrong lines: 55
==================
Wrong Direct Normal Radiation:
=================================
Year: 1971  Month: 4  Day: 18  Time: 8  Solar radiation: 740
Year: 1975  Month: 5  Day: 1  Time: 8  Solar radiation: 849
Year: 1975  Month: 5  Day: 2  Time: 8  Solar radiation: 658
Year: 1975  Month: 5  Day: 8  Time: 8  Solar radiation: 844
Year: 1975  Month: 5  Day: 10  Time: 8  Solar radiation: 843
Year: 1975  Month: 5  Day: 12  Time: 8  Solar radiation: 558
Year: 1975  Month: 5  Day: 13  Time: 8  Solar radiation: 938
Year: 1975  Month: 5  Day: 20  Time: 7  Solar radiation: 626
Year: 1975  Month: 5  Day: 20  Time: 8  Solar radiation: 572
Year: 1975  Month: 5  Day: 21  Time: 8  Solar radiation: 948
Year: 1975  Month: 5  Day: 25  Time: 8  Solar radiation: 762
Year: 1975  Month: 5  Day: 26  Time: 7  Solar radiation: 711
Year: 1975  Month: 5  Day: 26  Time: 8  Solar radiation: 757
Year: 1975  Month: 5  Day: 27  Time: 8  Solar radiation: 854
Year: 1975  Month: 5  Day: 28  Time: 8  Solar radiation: 849
Year: 1975  Month: 5  Day: 30  Time: 8  Solar radiation: 658
Year: 1990  Month: 6  Day: 4  Time: 8  Solar radiation: 566
Year: 1990  Month: 6  Day: 5  Time: 7  Solar radiation: 713
Year: 1990  Month: 6  Day: 5  Time: 8  Solar radiation: 851
