                Average Minimum and Maximum Temperatures
                ========================================

                         Maximum Temperatures:
Month:	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	
AvgMax:0.35	2.91	4.19	4.05	6.44	8.97	12.09	13.78	14.68	14.64	13.07	12.75	
Time:12	13	14	13	13	13	13	13	14	14	14	14	

                         Minimum Temperatures
Month:	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	
AvgMin:-9.23	-9.99	-6.72	-6.76	-3.48	-3.37	-1.84	-0.81	-0.26	-0.4	-0.66	-0.73	
Time: 	11	12	10	11	9	8	7	7	6	7	8	8	

=================================================================================================

                           Solar Radiation Analysis
                            ========================
Lines checked: 3037
===============
No. of wrong lines: 97
==================
Wrong Direct Normal Radiation:
=================================
Year: 1977  Month: 3  Day: 25  Time: 8  Solar radiation: 608
Year: 1976  Month: 4  Day: 5  Time: 8  Solar radiation: 562
Year: 1976  Month: 4  Day: 6  Time: 8  Solar radiation: 584
Year: 1976  Month: 4  Day: 8  Time: 8  Solar radiation: 724
Year: 1976  Month: 4  Day: 10  Time: 8  Solar radiation: 665
Year: 1976  Month: 4  Day: 12  Time: 8  Solar radiation: 669
Year: 1976  Month: 4  Day: 14  Time: 8  Solar radiation: 791
Year: 1976  Month: 4  Day: 19  Time: 8  Solar radiation: 654
Year: 1976  Month: 4  Day: 21  Time: 8  Solar radiation: 702
Year: 1976  Month: 4  Day: 23  Time: 8  Solar radiation: 555
Year: 1976  Month: 4  Day: 24  Time: 8  Solar radiation: 684
Year: 1976  Month: 4  Day: 29  Time: 7  Solar radiation: 572
Year: 1976  Month: 4  Day: 29  Time: 8  Solar radiation: 774
Year: 1976  Month: 4  Day: 30  Time: 7  Solar radiation: 642
Year: 1976  Month: 4  Day: 30  Time: 8  Solar radiation: 805
Year: 2005  Month: 5  Day: 2  Time: 8  Solar radiation: 714
Year: 2005  Month: 5  Day: 4  Time: 8  Solar radiation: 597
Year: 2005  Month: 5  Day: 14  Time: 8  Solar radiation: 658
Year: 2005  Month: 5  Day: 18  Time: 7  Solar radiation: 594
Year: 2005  Month: 5  Day: 18  Time: 8  Solar radiation: 569
Year: 2005  Month: 5  Day: 23  Time: 7  Solar radiation: 642
Year: 2005  Month: 5  Day: 23  Time: 8  Solar radiation: 776
Year: 2005  Month: 5  Day: 26  Time: 7  Solar radiation: 649
Year: 2005  Month: 5  Day: 26  Time: 8  Solar radiation: 776
Year: 2005  Month: 5  Day: 27  Time: 8  Solar radiation: 657
Year: 2005  Month: 5  Day: 28  Time: 7  Solar radiation: 640
Year: 2005  Month: 5  Day: 28  Time: 8  Solar radiation: 754
Year: 2005  Month: 5  Day: 29  Time: 8  Solar radiation: 651
Year: 2005  Month: 5  Day: 30  Time: 7  Solar radiation: 657
Year: 2005  Month: 5  Day: 30  Time: 8  Solar radiation: 732
Year: 1996  Month: 6  Day: 2  Time: 8  Solar radiation: 558
Year: 1996  Month: 6  Day: 6  Time: 7  Solar radiation: 614
Year: 1996  Month: 6  Day: 6  Time: 8  Solar radiation: 749
