                Average Minimum and Maximum Temperatures
                ========================================

                         Maximum Temperatures:
Month:	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	
AvgMax:-3.63	1.1	-1.12	9.19	2.1	12.71	13.12	14.2	16.28	16.28	15.8	15.43	
Time:13	13	11	12	8	12	12	12	12	13	12	12	

                         Minimum Temperatures
Month:	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	
AvgMin:-13.35	-9.45	-4.53	-0.94	-4.1	1.2	1.19	1.64	3.61	4.33	4.34	3.97	
Time: 	12	8	7	10	6	9	8	8	8	8	8	8	

=================================================================================================

                           Solar Radiation Analysis
                            ========================
Lines checked: 2681
===============
No. of wrong lines: 61
==================
Wrong Direct Normal Radiation:
=================================
Year: 1976  Month: 3  Day: 6  Time: 8  Solar radiation: 554
Year: 1968  Month: 4  Day: 1  Time: 8  Solar radiation: 702
Year: 1968  Month: 4  Day: 9  Time: 8  Solar radiation: 750
Year: 1968  Month: 4  Day: 10  Time: 8  Solar radiation: 667
Year: 1968  Month: 4  Day: 11  Time: 8  Solar radiation: 614
Year: 1968  Month: 4  Day: 17  Time: 8  Solar radiation: 700
Year: 1968  Month: 4  Day: 21  Time: 8  Solar radiation: 702
Year: 1968  Month: 4  Day: 24  Time: 8  Solar radiation: 737
Year: 1968  Month: 4  Day: 26  Time: 8  Solar radiation: 645
Year: 1986  Month: 5  Day: 3  Time: 8  Solar radiation: 599
Year: 1986  Month: 5  Day: 12  Time: 8  Solar radiation: 667
Year: 1986  Month: 5  Day: 19  Time: 7  Solar radiation: 582
Year: 1986  Month: 5  Day: 19  Time: 8  Solar radiation: 732
Year: 1986  Month: 5  Day: 20  Time: 8  Solar radiation: 686
Year: 1986  Month: 5  Day: 21  Time: 7  Solar radiation: 611
Year: 1986  Month: 5  Day: 21  Time: 8  Solar radiation: 763
Year: 1986  Month: 5  Day: 22  Time: 7  Solar radiation: 658
Year: 1986  Month: 5  Day: 22  Time: 8  Solar radiation: 797
Year: 1986  Month: 5  Day: 30  Time: 7  Solar radiation: 612
Year: 1986  Month: 5  Day: 30  Time: 8  Solar radiation: 775
Year: 1986  Month: 5  Day: 31  Time: 7  Solar radiation: 581
Year: 1986  Month: 5  Day: 31  Time: 8  Solar radiation: 733
Year: 1966  Month: 6  Day: 10  Time: 7  Solar radiation: 616
Year: 1966  Month: 6  Day: 10  Time: 8  Solar radiation: 751
Year: 1966  Month: 6  Day: 14  Time: 8  Solar radiation: 609
Year: 1966  Month: 6  Day: 16  Time: 7  Solar radiation: 655
Year: 1966  Month: 6  Day: 16  Time: 8  Solar radiation: 778
Year: 1966  Month: 6  Day: 18  Time: 7  Solar radiation: 619
Year: 1966  Month: 6  Day: 18  Time: 8  Solar radiation: 749
Year: 1966  Month: 6  Day: 19  Time: 7  Solar radiation: 577
Year: 1966  Month: 6  Day: 19  Time: 8  Solar radiation: 642
Year: 1966  Month: 6  Day: 23  Time: 8  Solar radiation: 656
Year: 1966  Month: 6  Day: 25  Time: 7  Solar radiation: 592
Year: 1966  Month: 6  Day: 25  Time: 8  Solar radiation: 674
Year: 1966  Month: 6  Day: 29  Time: 8  Solar radiation: 633
Year: 1966  Month: 6  Day: 30  Time: 8  Solar radiation: 664
Year: 1970  Month: 7  Day: 5  Time: 7  Solar radiation: 579
Year: 1970  Month: 7  Day: 5  Time: 8  Solar radiation: 723
Year: 1970  Month: 7  Day: 8  Time: 8  Solar radiation: 590
Year: 1970  Month: 7  Day: 16  Time: 7  Solar radiation: 591
Year: 1970  Month: 7  Day: 16  Time: 8  Solar radiation: 739
Year: 1970  Month: 7  Day: 21  Time: 8  Solar radiation: 568
Year: 1970  Month: 7  Day: 22  Time: 8  Solar radiation: 647
Year: 1970  Month: 7  Day: 24  Time: 7  Solar radiation: 565
Year: 1970  Month: 7  Day: 24  Time: 8  Solar radiation: 648
Year: 1970  Month: 7  Day: 25  Time: 8  Solar radiation: 688
Year: 1965  Month: 8  Day: 2  Time: 8  Solar radiation: 593
Year: 1965  Month: 8  Day: 5  Time: 8  Solar radiation: 692
Year: 1965  Month: 8  Day: 11  Time: 8  Solar radiation: 638
Year: 1965  Month: 8  Day: 12  Time: 8  Solar radiation: 634
Year: 1965  Month: 8  Day: 13  Time: 8  Solar radiation: 645
Year: 1965  Month: 8  Day: 14  Time: 8  Solar radiation: 625
Year: 1965  Month: 8  Day: 17  Time: 8  Solar radiation: 683
Year: 1965  Month: 8  Day: 27  Time: 8  Solar radiation: 572
Year: 1965  Month: 8  Day: 28  Time: 8  Solar radiation: 664
Year: 1962  Month: 9  Day: 5  Time: 8  Solar radiation: 624
Year: 1962  Month: 9  Day: 11  Time: 8  Solar radiation: 707
Year: 1962  Month: 9  Day: 17  Time: 8  Solar radiation: 603
Year: 1962  Month: 9  Day: 18  Time: 8  Solar radiation: 656
Year: 1962  Month: 9  Day: 28  Time: 8  Solar radiation: 554
Year: 1968  Month: 10  Day: 4  Time: 8  Solar radiation: 587
Wrong Global Horizontal Radiation:
==================================
Wrong Diffuse Horizontal Radiation:
====================================
