                Average Minimum and Maximum Temperatures
                ========================================

                         Maximum Temperatures:
Month:	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	
AvgMax:-1.44	-1.03	-1.07	9.2	10.64	14.04	15.44	16.09	16.26	16.58	20.55	21.87	
Time:12	13	7	11	13	14	14	14	14	14	12	12	

                         Minimum Temperatures
Month:	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	
AvgMin:-11.14	-9.78	-4.62	-0.94	-2.31	1.91	2.71	3.4	3.5	4.3	8.35	9.27	
Time: 	11	9	7	9	9	7	7	7	7	7	5	5	

=================================================================================================

                           Solar Radiation Analysis
                            ========================
Lines checked: 2444
===============
No. of wrong lines: 60
==================
Wrong Direct Normal Radiation:
=================================
Year: 1976  Month: 3  Day: 6  Time: 8  Solar radiation: 554
Year: 1994  Month: 4  Day: 7  Time: 8  Solar radiation: 559
Year: 1994  Month: 4  Day: 16  Time: 8  Solar radiation: 602
Year: 1994  Month: 4  Day: 18  Time: 8  Solar radiation: 690
Year: 1994  Month: 4  Day: 22  Time: 8  Solar radiation: 658
Year: 1994  Month: 4  Day: 23  Time: 8  Solar radiation: 654
Year: 1980  Month: 5  Day: 2  Time: 8  Solar radiation: 602
Year: 1980  Month: 5  Day: 3  Time: 7  Solar radiation: 627
Year: 1980  Month: 5  Day: 3  Time: 8  Solar radiation: 714
Year: 1980  Month: 5  Day: 4  Time: 8  Solar radiation: 623
Year: 1980  Month: 5  Day: 6  Time: 8  Solar radiation: 733
Year: 1980  Month: 5  Day: 9  Time: 8  Solar radiation: 653
Year: 1980  Month: 5  Day: 14  Time: 8  Solar radiation: 668
Year: 1980  Month: 5  Day: 15  Time: 8  Solar radiation: 581
Year: 1980  Month: 5  Day: 21  Time: 8  Solar radiation: 644
Year: 1980  Month: 5  Day: 22  Time: 7  Solar radiation: 567
Year: 1980  Month: 5  Day: 22  Time: 8  Solar radiation: 724
Year: 1980  Month: 5  Day: 25  Time: 7  Solar radiation: 563
Year: 1980  Month: 5  Day: 25  Time: 8  Solar radiation: 714
Year: 1980  Month: 5  Day: 26  Time: 8  Solar radiation: 687
Year: 1980  Month: 5  Day: 28  Time: 8  Solar radiation: 729
Year: 1980  Month: 5  Day: 31  Time: 7  Solar radiation: 590
Year: 1980  Month: 5  Day: 31  Time: 8  Solar radiation: 741
Year: 1978  Month: 6  Day: 2  Time: 8  Solar radiation: 648
Year: 1978  Month: 6  Day: 3  Time: 8  Solar radiation: 683
Year: 1978  Month: 6  Day: 4  Time: 8  Solar radiation: 568
Year: 1978  Month: 6  Day: 8  Time: 8  Solar radiation: 685
Year: 1978  Month: 6  Day: 9  Time: 8  Solar radiation: 683
Year: 1978  Month: 6  Day: 10  Time: 7  Solar radiation: 559
Year: 1978  Month: 6  Day: 10  Time: 8  Solar radiation: 706
Year: 1978  Month: 6  Day: 13  Time: 8  Solar radiation: 678
Year: 1978  Month: 6  Day: 18  Time: 8  Solar radiation: 706
Year: 1978  Month: 6  Day: 21  Time: 7  Solar radiation: 647
Year: 1978  Month: 6  Day: 21  Time: 8  Solar radiation: 768
Year: 1978  Month: 6  Day: 28  Time: 8  Solar radiation: 743
Year: 2003  Month: 7  Day: 2  Time: 8  Solar radiation: 644
Year: 2003  Month: 7  Day: 3  Time: 8  Solar radiation: 582
Year: 2003  Month: 7  Day: 5  Time: 8  Solar radiation: 626
Year: 2003  Month: 7  Day: 12  Time: 8  Solar radiation: 614
Year: 2003  Month: 7  Day: 13  Time: 8  Solar radiation: 552
Year: 2003  Month: 7  Day: 14  Time: 8  Solar radiation: 559
Year: 2003  Month: 7  Day: 17  Time: 8  Solar radiation: 553
Year: 2003  Month: 7  Day: 20  Time: 8  Solar radiation: 578
Year: 2003  Month: 7  Day: 23  Time: 8  Solar radiation: 579
Year: 2003  Month: 7  Day: 24  Time: 8  Solar radiation: 623
Year: 2003  Month: 7  Day: 29  Time: 8  Solar radiation: 574
Year: 1990  Month: 8  Day: 1  Time: 8  Solar radiation: 615
Year: 1990  Month: 8  Day: 5  Time: 8  Solar radiation: 739
Year: 1990  Month: 8  Day: 8  Time: 8  Solar radiation: 564
Year: 1990  Month: 8  Day: 13  Time: 8  Solar radiation: 654
Year: 1990  Month: 8  Day: 17  Time: 8  Solar radiation: 594
Year: 1990  Month: 8  Day: 18  Time: 8  Solar radiation: 572
Year: 1990  Month: 8  Day: 30  Time: 8  Solar radiation: 620
Year: 1980  Month: 9  Day: 2  Time: 8  Solar radiation: 699
Year: 1980  Month: 9  Day: 8  Time: 8  Solar radiation: 615
Year: 1980  Month: 9  Day: 10  Time: 8  Solar radiation: 626
Year: 1980  Month: 9  Day: 17  Time: 8  Solar radiation: 687
Year: 1980  Month: 9  Day: 18  Time: 8  Solar radiation: 648
Year: 1980  Month: 9  Day: 19  Time: 8  Solar radiation: 560
Year: 1980  Month: 10  Day: 6  Time: 8  Solar radiation: 637
Wrong Global Horizontal Radiation:
==================================
Wrong Diffuse Horizontal Radiation:
====================================
