                Average Minimum and Maximum Temperatures
                ========================================

                         Maximum Temperatures:
Month:	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	
AvgMax:-8.55	-3.86	0.25	1.86	3.9	6.68	7.52	7.79	6.12	6.38	6.97	8.27	
Time:14	12	12	12	11	12	12	12	12	12	13	12	

                         Minimum Temperatures
Month:	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	
AvgMin:-17.37	-12.66	-7.56	-7.37	-5.0	-4.1	-3.42	-2.83	-3.38	-3.42	-2.73	-1.41	
Time: 	12	11	10	10	3	7	6	9	8	8	7	8	

=================================================================================================

                           Solar Radiation Analysis
                            ========================
Lines checked: 2598
===============
No. of wrong lines: 81
==================
Wrong Direct Normal Radiation:
=================================
Year: 1990  Month: 3  Day: 24  Time: 8  Solar radiation: 604
Year: 2004  Month: 4  Day: 2  Time: 8  Solar radiation: 631
Year: 2004  Month: 4  Day: 5  Time: 8  Solar radiation: 653
Year: 2004  Month: 4  Day: 6  Time: 8  Solar radiation: 632
Year: 2004  Month: 4  Day: 9  Time: 8  Solar radiation: 654
Year: 2004  Month: 4  Day: 12  Time: 8  Solar radiation: 677
Year: 2004  Month: 4  Day: 13  Time: 8  Solar radiation: 682
Year: 2004  Month: 4  Day: 15  Time: 8  Solar radiation: 561
Year: 2004  Month: 4  Day: 24  Time: 8  Solar radiation: 730
Year: 2004  Month: 4  Day: 28  Time: 7  Solar radiation: 580
Year: 2004  Month: 4  Day: 28  Time: 8  Solar radiation: 747
Year: 2004  Month: 4  Day: 30  Time: 7  Solar radiation: 551
Year: 2004  Month: 4  Day: 30  Time: 8  Solar radiation: 591
Year: 1978  Month: 5  Day: 1  Time: 8  Solar radiation: 782
Year: 1978  Month: 5  Day: 2  Time: 7  Solar radiation: 601
Year: 1978  Month: 5  Day: 3  Time: 8  Solar radiation: 714
Year: 1978  Month: 5  Day: 6  Time: 7  Solar radiation: 692
Year: 1978  Month: 5  Day: 6  Time: 8  Solar radiation: 822
Year: 1978  Month: 5  Day: 7  Time: 8  Solar radiation: 635
Year: 1978  Month: 5  Day: 16  Time: 8  Solar radiation: 689
Year: 1978  Month: 5  Day: 17  Time: 7  Solar radiation: 710
Year: 1978  Month: 5  Day: 17  Time: 8  Solar radiation: 820
Year: 1978  Month: 5  Day: 18  Time: 7  Solar radiation: 717
Year: 1978  Month: 5  Day: 18  Time: 8  Solar radiation: 824
Year: 1978  Month: 5  Day: 21  Time: 7  Solar radiation: 716
Year: 1978  Month: 5  Day: 21  Time: 8  Solar radiation: 823
Year: 1978  Month: 5  Day: 22  Time: 8  Solar radiation: 561
Year: 2001  Month: 6  Day: 3  Time: 7  Solar radiation: 607
Year: 2001  Month: 6  Day: 3  Time: 8  Solar radiation: 720
Year: 2001  Month: 6  Day: 4  Time: 7  Solar radiation: 594
Year: 2001  Month: 6  Day: 4  Time: 8  Solar radiation: 714
Year: 2001  Month: 6  Day: 11  Time: 7  Solar radiation: 569
Year: 2001  Month: 6  Day: 11  Time: 8  Solar radiation: 603
Year: 2001  Month: 6  Day: 12  Time: 7  Solar radiation: 568
Year: 2001  Month: 6  Day: 12  Time: 8  Solar radiation: 695
Year: 2001  Month: 6  Day: 16  Time: 7  Solar radiation: 568
Year: 2001  Month: 6  Day: 16  Time: 8  Solar radiation: 670
Year: 2001  Month: 6  Day: 19  Time: 8  Solar radiation: 701
Year: 2001  Month: 6  Day: 20  Time: 7  Solar radiation: 575
Year: 2001  Month: 6  Day: 20  Time: 8  Solar radiation: 683
Year: 2001  Month: 6  Day: 22  Time: 7  Solar radiation: 582
Year: 2001  Month: 6  Day: 22  Time: 8  Solar radiation: 714
Year: 2001  Month: 6  Day: 23  Time: 7  Solar radiation: 563
Year: 2001  Month: 6  Day: 23  Time: 8  Solar radiation: 683
Year: 2001  Month: 6  Day: 28  Time: 8  Solar radiation: 554
Year: 2001  Month: 6  Day: 30  Time: 7  Solar radiation: 557
Year: 2001  Month: 6  Day: 30  Time: 8  Solar radiation: 683
Year: 1991  Month: 7  Day: 5  Time: 7  Solar radiation: 641
Year: 1991  Month: 7  Day: 5  Time: 8  Solar radiation: 728
Year: 1991  Month: 7  Day: 6  Time: 7  Solar radiation: 717
Year: 1991  Month: 7  Day: 6  Time: 8  Solar radiation: 819
Year: 1991  Month: 7  Day: 8  Time: 8  Solar radiation: 579
Year: 1991  Month: 7  Day: 10  Time: 8  Solar radiation: 627
Year: 1991  Month: 7  Day: 11  Time: 7  Solar radiation: 569
Year: 1991  Month: 7  Day: 11  Time: 8  Solar radiation: 756
Year: 1991  Month: 7  Day: 14  Time: 7  Solar radiation: 605
Year: 1991  Month: 7  Day: 14  Time: 8  Solar radiation: 735
Year: 1991  Month: 7  Day: 15  Time: 8  Solar radiation: 590
Year: 1991  Month: 7  Day: 17  Time: 7  Solar radiation: 596
Year: 1991  Month: 7  Day: 17  Time: 8  Solar radiation: 721
Year: 1991  Month: 7  Day: 19  Time: 8  Solar radiation: 704
Year: 1991  Month: 7  Day: 23  Time: 8  Solar radiation: 768
Year: 1991  Month: 7  Day: 24  Time: 7  Solar radiation: 558
Year: 1991  Month: 7  Day: 26  Time: 7  Solar radiation: 625
Year: 1991  Month: 7  Day: 26  Time: 8  Solar radiation: 760
Year: 1991  Month: 7  Day: 30  Time: 8  Solar radiation: 638
Year: 2002  Month: 8  Day: 2  Time: 8  Solar radiation: 671
Year: 2002  Month: 8  Day: 5  Time: 8  Solar radiation: 553
Year: 2002  Month: 8  Day: 8  Time: 8  Solar radiation: 660
Year: 2002  Month: 8  Day: 11  Time: 8  Solar radiation: 593
Year: 2002  Month: 8  Day: 13  Time: 8  Solar radiation: 581
Year: 2002  Month: 8  Day: 16  Time: 8  Solar radiation: 669
Year: 2002  Month: 8  Day: 19  Time: 8  Solar radiation: 639
Year: 2002  Month: 8  Day: 20  Time: 8  Solar radiation: 596
Year: 2002  Month: 8  Day: 24  Time: 8  Solar radiation: 585
Year: 2002  Month: 8  Day: 25  Time: 8  Solar radiation: 604
Year: 1988  Month: 9  Day: 5  Time: 8  Solar radiation: 676
Year: 1988  Month: 9  Day: 9  Time: 8  Solar radiation: 739
Year: 1988  Month: 9  Day: 13  Time: 8  Solar radiation: 612
Year: 1988  Month: 9  Day: 23  Time: 8  Solar radiation: 658
Wrong Global Horizontal Radiation:
==================================
Wrong Diffuse Horizontal Radiation:
====================================
Year: 1991  Month: 7  Day: 22  Time: 8  Solar radiation: 256
