                Average Minimum and Maximum Temperatures
                ========================================

                         Maximum Temperatures:
Month:	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	
AvgMax:14.73	17.92	18.58	21.76	19.74	19.76	20.52	20.71	20.93	21.17	20.03	20.07	
Time:15	14	14	13	14	14	14	14	14	14	14	14	

                         Minimum Temperatures
Month:	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	
AvgMin:-0.83	0.26	1.58	4.1	4.69	4.53	4.83	5.72	5.67	5.56	5.09	5.09	
Time: 	10	7	8	5	7	7	7	8	7	8	7	7	

=================================================================================================

                           Solar Radiation Analysis
                            ========================
Lines checked: 2978
===============
No. of wrong lines: 123
==================
Wrong Direct Normal Radiation:
=================================
Year: 1981  Month: 2  Day: 25  Time: 8  Solar radiation: 665
Year: 1975  Month: 3  Day: 5  Time: 8  Solar radiation: 720
Year: 1975  Month: 3  Day: 18  Time: 8  Solar radiation: 639
Year: 1975  Month: 3  Day: 19  Time: 8  Solar radiation: 675
Year: 1975  Month: 3  Day: 20  Time: 8  Solar radiation: 649
Year: 1975  Month: 3  Day: 24  Time: 8  Solar radiation: 614
Year: 1975  Month: 3  Day: 25  Time: 8  Solar radiation: 664
Year: 1975  Month: 3  Day: 27  Time: 8  Solar radiation: 629
Year: 1975  Month: 3  Day: 30  Time: 8  Solar radiation: 575
Year: 1975  Month: 3  Day: 31  Time: 8  Solar radiation: 746
Year: 1980  Month: 4  Day: 4  Time: 8  Solar radiation: 563
Year: 1980  Month: 4  Day: 5  Time: 8  Solar radiation: 776
Year: 1980  Month: 4  Day: 10  Time: 8  Solar radiation: 732
Year: 1980  Month: 4  Day: 13  Time: 8  Solar radiation: 700
Year: 1980  Month: 4  Day: 14  Time: 8  Solar radiation: 838
Year: 1980  Month: 4  Day: 15  Time: 7  Solar radiation: 648
Year: 1980  Month: 4  Day: 15  Time: 8  Solar radiation: 863
Year: 1980  Month: 4  Day: 16  Time: 8  Solar radiation: 753
Year: 1980  Month: 4  Day: 18  Time: 8  Solar radiation: 668
Year: 1980  Month: 4  Day: 19  Time: 8  Solar radiation: 776
Year: 1980  Month: 4  Day: 28  Time: 8  Solar radiation: 755
Year: 1980  Month: 4  Day: 29  Time: 8  Solar radiation: 771
Year: 1980  Month: 5  Day: 2  Time: 8  Solar radiation: 740
Year: 1980  Month: 5  Day: 4  Time: 7  Solar radiation: 579
Year: 1980  Month: 5  Day: 4  Time: 8  Solar radiation: 778
Year: 1980  Month: 5  Day: 5  Time: 7  Solar radiation: 611
Year: 1980  Month: 5  Day: 5  Time: 8  Solar radiation: 783
Year: 1980  Month: 5  Day: 6  Time: 8  Solar radiation: 753
Year: 1980  Month: 5  Day: 8  Time: 8  Solar radiation: 793
Year: 1980  Month: 5  Day: 10  Time: 8  Solar radiation: 819
Year: 1980  Month: 5  Day: 12  Time: 8  Solar radiation: 908
Year: 1980  Month: 5  Day: 13  Time: 8  Solar radiation: 675
Year: 1980  Month: 5  Day: 14  Time: 7  Solar radiation: 576
Year: 1980  Month: 5  Day: 14  Time: 8  Solar radiation: 768
Year: 1980  Month: 5  Day: 15  Time: 8  Solar radiation: 677
Year: 1980  Month: 5  Day: 16  Time: 7  Solar radiation: 589
Year: 1980  Month: 5  Day: 16  Time: 8  Solar radiation: 766
Year: 1980  Month: 5  Day: 17  Time: 8  Solar radiation: 785
Year: 1980  Month: 5  Day: 19  Time: 8  Solar radiation: 677
Year: 1980  Month: 5  Day: 20  Time: 8  Solar radiation: 689
Year: 1980  Month: 5  Day: 21  Time: 8  Solar radiation: 708
Year: 1980  Month: 5  Day: 22  Time: 8  Solar radiation: 741
Year: 1980  Month: 5  Day: 25  Time: 8  Solar radiation: 843
Year: 1980  Month: 5  Day: 27  Time: 8  Solar radiation: 622
Year: 1980  Month: 5  Day: 28  Time: 8  Solar radiation: 820
Year: 1980  Month: 5  Day: 30  Time: 8  Solar radiation: 717
Year: 1980  Month: 5  Day: 31  Time: 7  Solar radiation: 698
Year: 1980  Month: 5  Day: 31  Time: 8  Solar radiation: 874
Year: 1971  Month: 6  Day: 4  Time: 8  Solar radiation: 873
Year: 1971  Month: 6  Day: 8  Time: 8  Solar radiation: 732
Year: 1971  Month: 6  Day: 11  Time: 8  Solar radiation: 734
Year: 1971  Month: 6  Day: 15  Time: 8  Solar radiation: 668
Year: 1971  Month: 6  Day: 16  Time: 8  Solar radiation: 663
Year: 1971  Month: 6  Day: 17  Time: 8  Solar radiation: 668
Year: 1971  Month: 6  Day: 18  Time: 8  Solar radiation: 662
Year: 1971  Month: 6  Day: 19  Time: 8  Solar radiation: 617
Year: 1971  Month: 6  Day: 22  Time: 8  Solar radiation: 711
Year: 1971  Month: 6  Day: 23  Time: 8  Solar radiation: 835
Year: 1971  Month: 6  Day: 24  Time: 8  Solar radiation: 770
Year: 1971  Month: 6  Day: 25  Time: 8  Solar radiation: 702
Year: 1971  Month: 6  Day: 29  Time: 8  Solar radiation: 665
Year: 1970  Month: 7  Day: 2  Time: 8  Solar radiation: 604
Year: 1970  Month: 7  Day: 3  Time: 8  Solar radiation: 650
Year: 1970  Month: 7  Day: 4  Time: 8  Solar radiation: 702
Year: 1970  Month: 7  Day: 5  Time: 8  Solar radiation: 650
Year: 1970  Month: 7  Day: 6  Time: 8  Solar radiation: 640
Year: 1970  Month: 7  Day: 9  Time: 8  Solar radiation: 606
Year: 1970  Month: 7  Day: 10  Time: 8  Solar radiation: 614
Year: 1970  Month: 7  Day: 11  Time: 8  Solar radiation: 603
Year: 1970  Month: 7  Day: 13  Time: 7  Solar radiation: 628
Year: 1970  Month: 7  Day: 13  Time: 8  Solar radiation: 564
Year: 1970  Month: 7  Day: 14  Time: 8  Solar radiation: 698
Year: 1970  Month: 7  Day: 15  Time: 8  Solar radiation: 605
Year: 1970  Month: 7  Day: 16  Time: 8  Solar radiation: 686
Year: 1970  Month: 7  Day: 17  Time: 8  Solar radiation: 667
Year: 1970  Month: 7  Day: 18  Time: 8  Solar radiation: 634
Year: 1970  Month: 7  Day: 19  Time: 8  Solar radiation: 619
Year: 1970  Month: 7  Day: 23  Time: 8  Solar radiation: 655
Year: 1970  Month: 7  Day: 26  Time: 8  Solar radiation: 646
Year: 1970  Month: 7  Day: 30  Time: 8  Solar radiation: 664
Year: 1970  Month: 7  Day: 31  Time: 8  Solar radiation: 625
Year: 1987  Month: 8  Day: 1  Time: 8  Solar radiation: 717
Year: 1987  Month: 8  Day: 2  Time: 8  Solar radiation: 661
Year: 1987  Month: 8  Day: 6  Time: 8  Solar radiation: 743
Year: 1987  Month: 8  Day: 13  Time: 8  Solar radiation: 646
Year: 1987  Month: 8  Day: 18  Time: 8  Solar radiation: 575
Year: 1987  Month: 8  Day: 21  Time: 8  Solar radiation: 784
Year: 1987  Month: 8  Day: 27  Time: 8  Solar radiation: 722
Year: 1987  Month: 8  Day: 28  Time: 8  Solar radiation: 630
Year: 1987  Month: 8  Day: 30  Time: 8  Solar radiation: 711
Year: 1987  Month: 8  Day: 31  Time: 8  Solar radiation: 734
Year: 1989  Month: 9  Day: 3  Time: 8  Solar radiation: 794
Year: 1989  Month: 9  Day: 4  Time: 8  Solar radiation: 560
Year: 1989  Month: 9  Day: 7  Time: 8  Solar radiation: 712
Year: 1989  Month: 9  Day: 8  Time: 8  Solar radiation: 723
Year: 1989  Month: 9  Day: 11  Time: 8  Solar radiation: 778
Year: 1989  Month: 9  Day: 15  Time: 8  Solar radiation: 790
Year: 1989  Month: 9  Day: 16  Time: 8  Solar radiation: 771
Year: 1989  Month: 9  Day: 18  Time: 8  Solar radiation: 778
Year: 1989  Month: 9  Day: 20  Time: 8  Solar radiation: 753
Year: 1989  Month: 9  Day: 21  Time: 8  Solar radiation: 625
Year: 1989  Month: 9  Day: 24  Time: 8  Solar radiation: 805
Year: 1989  Month: 9  Day: 25  Time: 8  Solar radiation: 787
Year: 1989  Month: 9  Day: 26  Time: 8  Solar radiation: 644
Year: 1989  Month: 9  Day: 27  Time: 8  Solar radiation: 708
Year: 1989  Month: 9  Day: 28  Time: 8  Solar radiation: 804
Year: 1989  Month: 9  Day: 29  Time: 8  Solar radiation: 780
Year: 1989  Month: 9  Day: 30  Time: 8  Solar radiation: 788
Year: 1967  Month: 10  Day: 1  Time: 8  Solar radiation: 632
Year: 1967  Month: 10  Day: 6  Time: 8  Solar radiation: 678
Year: 1967  Month: 10  Day: 8  Time: 8  Solar radiation: 618
Year: 1967  Month: 10  Day: 9  Time: 8  Solar radiation: 618
Year: 1967  Month: 10  Day: 18  Time: 8  Solar radiation: 648
Year: 1967  Month: 10  Day: 19  Time: 8  Solar radiation: 605
Year: 1967  Month: 10  Day: 20  Time: 8  Solar radiation: 600
Year: 1967  Month: 10  Day: 21  Time: 8  Solar radiation: 596
Year: 1967  Month: 10  Day: 28  Time: 8  Solar radiation: 639
Year: 1985  Month: 11  Day: 2  Time: 8  Solar radiation: 707
Year: 1985  Month: 11  Day: 3  Time: 8  Solar radiation: 575
Year: 1985  Month: 11  Day: 4  Time: 8  Solar radiation: 685
Year: 1985  Month: 11  Day: 6  Time: 8  Solar radiation: 614
Year: 1985  Month: 11  Day: 8  Time: 8  Solar radiation: 664
Wrong Global Horizontal Radiation:
==================================
Wrong Diffuse Horizontal Radiation:
====================================
Year: 1971  Month: 6  Day: 21  Time: 8  Solar radiation: 266
