                Average Minimum and Maximum Temperatures
                ========================================

                         Maximum Temperatures:
Month:	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	
AvgMax:-7.18	-4.67	4.47	5.12	0.6	6.95	10.3	10.22	13.08	11.26	10.98	13.13	
Time:13	13	13	13	8	11	13	14	14	14	14	14	

                         Minimum Temperatures
Month:	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	
AvgMin:-17.98	-15.38	-5.45	-5.25	-4.4	-3.85	-3.73	-3.42	-1.61	-2.51	-2.78	-1.56	
Time: 	11	9	8	9	6	5	9	8	10	10	10	9	

=================================================================================================

                           Solar Radiation Analysis
                            ========================
Lines checked: 2641
===============
No. of wrong lines: 59
==================
Wrong Direct Normal Radiation:
=================================
Year: 1988  Month: 3  Day: 30  Time: 8  Solar radiation: 699
Year: 2004  Month: 4  Day: 1  Time: 8  Solar radiation: 579
Year: 2004  Month: 4  Day: 2  Time: 8  Solar radiation: 591
Year: 2004  Month: 4  Day: 4  Time: 8  Solar radiation: 608
Year: 2004  Month: 4  Day: 5  Time: 8  Solar radiation: 594
Year: 2004  Month: 4  Day: 9  Time: 8  Solar radiation: 621
Year: 2004  Month: 4  Day: 12  Time: 8  Solar radiation: 657
Year: 2004  Month: 4  Day: 13  Time: 8  Solar radiation: 662
Year: 2004  Month: 4  Day: 16  Time: 8  Solar radiation: 660
Year: 2004  Month: 4  Day: 17  Time: 8  Solar radiation: 665
Year: 2004  Month: 4  Day: 27  Time: 8  Solar radiation: 697
Year: 2004  Month: 4  Day: 28  Time: 8  Solar radiation: 709
Year: 1989  Month: 5  Day: 3  Time: 7  Solar radiation: 691
Year: 1989  Month: 5  Day: 3  Time: 8  Solar radiation: 778
Year: 1989  Month: 5  Day: 7  Time: 7  Solar radiation: 580
Year: 1989  Month: 5  Day: 7  Time: 8  Solar radiation: 727
Year: 1989  Month: 5  Day: 9  Time: 8  Solar radiation: 588
Year: 1989  Month: 5  Day: 11  Time: 7  Solar radiation: 623
Year: 1989  Month: 5  Day: 11  Time: 8  Solar radiation: 747
Year: 1989  Month: 5  Day: 12  Time: 8  Solar radiation: 828
Year: 1989  Month: 5  Day: 13  Time: 7  Solar radiation: 613
Year: 1989  Month: 5  Day: 15  Time: 8  Solar radiation: 784
Year: 1989  Month: 5  Day: 16  Time: 8  Solar radiation: 763
Year: 1989  Month: 5  Day: 17  Time: 8  Solar radiation: 692
Year: 1989  Month: 5  Day: 21  Time: 7  Solar radiation: 555
Year: 1989  Month: 5  Day: 21  Time: 8  Solar radiation: 716
Year: 1989  Month: 5  Day: 23  Time: 8  Solar radiation: 570
Year: 1989  Month: 5  Day: 27  Time: 7  Solar radiation: 655
Year: 1989  Month: 5  Day: 27  Time: 8  Solar radiation: 778
Year: 1986  Month: 6  Day: 2  Time: 7  Solar radiation: 625
Year: 1986  Month: 6  Day: 2  Time: 8  Solar radiation: 754
Year: 1986  Month: 6  Day: 3  Time: 8  Solar radiation: 605
Year: 1986  Month: 6  Day: 8  Time: 7  Solar radiation: 623
Year: 1986  Month: 6  Day: 8  Time: 8  Solar radiation: 742
Year: 1986  Month: 6  Day: 9  Time: 7  Solar radiation: 678
Year: 1986  Month: 6  Day: 9  Time: 8  Solar radiation: 815
Year: 1986  Month: 6  Day: 17  Time: 7  Solar radiation: 683
Year: 1986  Month: 6  Day: 17  Time: 8  Solar radiation: 795
Year: 1995  Month: 7  Day: 2  Time: 7  Solar radiation: 560
Year: 1995  Month: 7  Day: 2  Time: 8  Solar radiation: 696
Year: 1995  Month: 7  Day: 13  Time: 8  Solar radiation: 611
Year: 1995  Month: 7  Day: 18  Time: 7  Solar radiation: 577
Year: 1995  Month: 7  Day: 18  Time: 8  Solar radiation: 715
Year: 1995  Month: 7  Day: 21  Time: 7  Solar radiation: 602
Year: 1995  Month: 7  Day: 21  Time: 8  Solar radiation: 735
Year: 1995  Month: 7  Day: 23  Time: 7  Solar radiation: 558
Year: 1995  Month: 7  Day: 23  Time: 8  Solar radiation: 702
Year: 1995  Month: 7  Day: 26  Time: 8  Solar radiation: 750
Year: 1995  Month: 7  Day: 29  Time: 8  Solar radiation: 630
Year: 1989  Month: 8  Day: 1  Time: 8  Solar radiation: 632
Year: 1989  Month: 8  Day: 2  Time: 7  Solar radiation: 626
Year: 1989  Month: 8  Day: 2  Time: 8  Solar radiation: 763
Year: 1989  Month: 8  Day: 7  Time: 8  Solar radiation: 736
Year: 1989  Month: 8  Day: 10  Time: 8  Solar radiation: 688
Year: 1989  Month: 8  Day: 24  Time: 8  Solar radiation: 693
Year: 1989  Month: 8  Day: 29  Time: 8  Solar radiation: 688
Year: 1989  Month: 8  Day: 30  Time: 8  Solar radiation: 685
Year: 1996  Month: 9  Day: 6  Time: 8  Solar radiation: 673
Year: 1981  Month: 10  Day: 2  Time: 8  Solar radiation: 660
Wrong Global Horizontal Radiation:
==================================
Wrong Diffuse Horizontal Radiation:
====================================
