                Average Minimum and Maximum Temperatures
                ========================================

                         Maximum Temperatures:
Month:	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	
AvgMax:1.81	4.01	4.29	0.2	7.75	8.28	8.62	8.83	8.42	8.46	8.63	11.8	
Time:13	13	14	8	14	13	13	13	13	13	13	12	

                         Minimum Temperatures
Month:	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	
AvgMin:-11.54	-3.85	-3.79	-2.2	-0.69	-1.81	-1.91	-2.07	-2.47	-2.7	-2.84	2.33	
Time: 	10	10	10	4	10	9	8	8	9	8	8	2	

=================================================================================================

                           Solar Radiation Analysis
                            ========================
Lines checked: 2962
===============
No. of wrong lines: 239
==================
Wrong Direct Normal Radiation:
=================================
Year: 1998  Month: 2  Day: 27  Time: 8  Solar radiation: 674
Year: 1980  Month: 3  Day: 1  Time: 8  Solar radiation: 577
Year: 1980  Month: 3  Day: 10  Time: 8  Solar radiation: 803
Year: 1980  Month: 3  Day: 17  Time: 8  Solar radiation: 739
Year: 1980  Month: 3  Day: 19  Time: 8  Solar radiation: 721
Year: 1980  Month: 3  Day: 23  Time: 8  Solar radiation: 666
Year: 1980  Month: 3  Day: 25  Time: 8  Solar radiation: 842
Year: 1980  Month: 3  Day: 29  Time: 8  Solar radiation: 832
Year: 2004  Month: 4  Day: 4  Time: 7  Solar radiation: 630
Year: 2004  Month: 4  Day: 4  Time: 8  Solar radiation: 804
Year: 2004  Month: 4  Day: 5  Time: 8  Solar radiation: 811
Year: 2004  Month: 4  Day: 8  Time: 8  Solar radiation: 769
Year: 2004  Month: 4  Day: 9  Time: 7  Solar radiation: 656
Year: 2004  Month: 4  Day: 9  Time: 8  Solar radiation: 798
Year: 2004  Month: 4  Day: 10  Time: 8  Solar radiation: 787
Year: 2004  Month: 4  Day: 11  Time: 7  Solar radiation: 662
Year: 2004  Month: 4  Day: 11  Time: 8  Solar radiation: 794
Year: 2004  Month: 4  Day: 12  Time: 7  Solar radiation: 669
Year: 2004  Month: 4  Day: 12  Time: 8  Solar radiation: 761
Year: 2004  Month: 4  Day: 13  Time: 8  Solar radiation: 671
Year: 2004  Month: 4  Day: 23  Time: 7  Solar radiation: 707
Year: 2004  Month: 4  Day: 23  Time: 8  Solar radiation: 848
Year: 2004  Month: 4  Day: 24  Time: 7  Solar radiation: 687
Year: 2004  Month: 4  Day: 24  Time: 8  Solar radiation: 734
Year: 2004  Month: 4  Day: 25  Time: 7  Solar radiation: 694
Year: 2004  Month: 4  Day: 25  Time: 8  Solar radiation: 688
Year: 2004  Month: 4  Day: 26  Time: 7  Solar radiation: 701
Year: 2004  Month: 4  Day: 26  Time: 8  Solar radiation: 809
Year: 2004  Month: 4  Day: 27  Time: 7  Solar radiation: 658
Year: 2004  Month: 4  Day: 27  Time: 8  Solar radiation: 764
Year: 2004  Month: 4  Day: 30  Time: 7  Solar radiation: 706
Year: 2004  Month: 4  Day: 30  Time: 8  Solar radiation: 840
Year: 1981  Month: 5  Day: 1  Time: 7  Solar radiation: 624
Year: 1981  Month: 5  Day: 1  Time: 8  Solar radiation: 869
Year: 1981  Month: 5  Day: 3  Time: 8  Solar radiation: 765
Year: 1981  Month: 5  Day: 4  Time: 7  Solar radiation: 785
Year: 1981  Month: 5  Day: 4  Time: 8  Solar radiation: 889
Year: 1981  Month: 5  Day: 7  Time: 7  Solar radiation: 790
Year: 1981  Month: 5  Day: 7  Time: 8  Solar radiation: 886
Year: 1981  Month: 5  Day: 9  Time: 7  Solar radiation: 673
Year: 1981  Month: 5  Day: 9  Time: 8  Solar radiation: 815
Year: 1981  Month: 5  Day: 10  Time: 7  Solar radiation: 589
Year: 1981  Month: 5  Day: 10  Time: 8  Solar radiation: 731
Year: 1981  Month: 5  Day: 11  Time: 7  Solar radiation: 716
Year: 1981  Month: 5  Day: 11  Time: 8  Solar radiation: 768
Year: 1981  Month: 5  Day: 12  Time: 7  Solar radiation: 773
Year: 1981  Month: 5  Day: 12  Time: 8  Solar radiation: 814
Year: 1981  Month: 5  Day: 13  Time: 8  Solar radiation: 646
Year: 1981  Month: 5  Day: 17  Time: 7  Solar radiation: 588
Year: 1981  Month: 5  Day: 17  Time: 8  Solar radiation: 711
Year: 1981  Month: 5  Day: 18  Time: 7  Solar radiation: 632
Year: 1981  Month: 5  Day: 18  Time: 8  Solar radiation: 630
Year: 1981  Month: 5  Day: 22  Time: 6  Solar radiation: 609
Year: 1981  Month: 5  Day: 22  Time: 8  Solar radiation: 871
Year: 1981  Month: 5  Day: 23  Time: 6  Solar radiation: 595
Year: 1981  Month: 5  Day: 23  Time: 7  Solar radiation: 611
Year: 1981  Month: 5  Day: 23  Time: 8  Solar radiation: 770
Year: 1981  Month: 5  Day: 27  Time: 8  Solar radiation: 634
Year: 1981  Month: 5  Day: 28  Time: 7  Solar radiation: 810
Year: 1981  Month: 5  Day: 28  Time: 8  Solar radiation: 897
Year: 1981  Month: 5  Day: 29  Time: 7  Solar radiation: 756
Year: 1981  Month: 5  Day: 29  Time: 8  Solar radiation: 848
Year: 1981  Month: 5  Day: 31  Time: 7  Solar radiation: 726
Year: 1981  Month: 5  Day: 31  Time: 8  Solar radiation: 850
Year: 2004  Month: 6  Day: 1  Time: 7  Solar radiation: 797
Year: 2004  Month: 6  Day: 1  Time: 8  Solar radiation: 864
Year: 2004  Month: 6  Day: 2  Time: 6  Solar radiation: 615
Year: 2004  Month: 6  Day: 2  Time: 7  Solar radiation: 775
Year: 2004  Month: 6  Day: 2  Time: 8  Solar radiation: 835
Year: 2004  Month: 6  Day: 3  Time: 8  Solar radiation: 609
Year: 2004  Month: 6  Day: 4  Time: 6  Solar radiation: 560
Year: 2004  Month: 6  Day: 4  Time: 7  Solar radiation: 764
Year: 2004  Month: 6  Day: 4  Time: 8  Solar radiation: 865
Year: 2004  Month: 6  Day: 5  Time: 8  Solar radiation: 737
Year: 2004  Month: 6  Day: 6  Time: 7  Solar radiation: 792
Year: 2004  Month: 6  Day: 6  Time: 8  Solar radiation: 876
Year: 2004  Month: 6  Day: 7  Time: 7  Solar radiation: 753
Year: 2004  Month: 6  Day: 7  Time: 8  Solar radiation: 847
Year: 2004  Month: 6  Day: 8  Time: 8  Solar radiation: 795
Year: 2004  Month: 6  Day: 9  Time: 7  Solar radiation: 787
Year: 2004  Month: 6  Day: 9  Time: 8  Solar radiation: 859
Year: 2004  Month: 6  Day: 12  Time: 8  Solar radiation: 754
Year: 2004  Month: 6  Day: 13  Time: 6  Solar radiation: 587
Year: 2004  Month: 6  Day: 13  Time: 7  Solar radiation: 792
Year: 2004  Month: 6  Day: 13  Time: 8  Solar radiation: 847
Year: 2004  Month: 6  Day: 14  Time: 8  Solar radiation: 656
Year: 2004  Month: 6  Day: 15  Time: 7  Solar radiation: 770
Year: 2004  Month: 6  Day: 15  Time: 8  Solar radiation: 737
Year: 2004  Month: 6  Day: 16  Time: 7  Solar radiation: 713
Year: 2004  Month: 6  Day: 16  Time: 8  Solar radiation: 836
Year: 2004  Month: 6  Day: 17  Time: 8  Solar radiation: 836
Year: 2004  Month: 6  Day: 18  Time: 8  Solar radiation: 830
Year: 2004  Month: 6  Day: 19  Time: 6  Solar radiation: 622
Year: 2004  Month: 6  Day: 19  Time: 7  Solar radiation: 775
Year: 2004  Month: 6  Day: 19  Time: 8  Solar radiation: 853
Year: 2004  Month: 6  Day: 20  Time: 6  Solar radiation: 621
Year: 2004  Month: 6  Day: 20  Time: 7  Solar radiation: 747
Year: 2004  Month: 6  Day: 20  Time: 8  Solar radiation: 835
Year: 2004  Month: 6  Day: 21  Time: 8  Solar radiation: 870
Year: 2004  Month: 6  Day: 22  Time: 7  Solar radiation: 780
Year: 2004  Month: 6  Day: 22  Time: 8  Solar radiation: 858
Year: 2004  Month: 6  Day: 23  Time: 7  Solar radiation: 707
Year: 2004  Month: 6  Day: 23  Time: 8  Solar radiation: 806
Year: 2004  Month: 6  Day: 26  Time: 7  Solar radiation: 606
Year: 2004  Month: 6  Day: 26  Time: 8  Solar radiation: 748
Year: 2004  Month: 6  Day: 28  Time: 6  Solar radiation: 617
Year: 2004  Month: 6  Day: 28  Time: 7  Solar radiation: 723
Year: 2004  Month: 6  Day: 28  Time: 8  Solar radiation: 626
Year: 2004  Month: 6  Day: 29  Time: 8  Solar radiation: 777
Year: 2004  Month: 6  Day: 30  Time: 7  Solar radiation: 711
Year: 1977  Month: 7  Day: 1  Time: 7  Solar radiation: 568
Year: 1977  Month: 7  Day: 1  Time: 8  Solar radiation: 610
Year: 1977  Month: 7  Day: 3  Time: 7  Solar radiation: 605
Year: 1977  Month: 7  Day: 3  Time: 8  Solar radiation: 721
Year: 1977  Month: 7  Day: 4  Time: 7  Solar radiation: 622
Year: 1977  Month: 7  Day: 4  Time: 8  Solar radiation: 618
Year: 1977  Month: 7  Day: 5  Time: 7  Solar radiation: 668
Year: 1977  Month: 7  Day: 5  Time: 8  Solar radiation: 792
Year: 1977  Month: 7  Day: 6  Time: 7  Solar radiation: 614
Year: 1977  Month: 7  Day: 6  Time: 8  Solar radiation: 741
Year: 1977  Month: 7  Day: 7  Time: 6  Solar radiation: 617
Year: 1977  Month: 7  Day: 7  Time: 7  Solar radiation: 798
Year: 1977  Month: 7  Day: 7  Time: 8  Solar radiation: 885
Year: 1977  Month: 7  Day: 8  Time: 6  Solar radiation: 632
Year: 1977  Month: 7  Day: 8  Time: 7  Solar radiation: 802
Year: 1977  Month: 7  Day: 8  Time: 8  Solar radiation: 886
Year: 1977  Month: 7  Day: 9  Time: 7  Solar radiation: 729
Year: 1977  Month: 7  Day: 9  Time: 8  Solar radiation: 832
Year: 1977  Month: 7  Day: 10  Time: 6  Solar radiation: 603
Year: 1977  Month: 7  Day: 10  Time: 7  Solar radiation: 794
Year: 1977  Month: 7  Day: 10  Time: 8  Solar radiation: 876
Year: 1977  Month: 7  Day: 11  Time: 7  Solar radiation: 562
Year: 1977  Month: 7  Day: 11  Time: 8  Solar radiation: 696
Year: 1977  Month: 7  Day: 12  Time: 6  Solar radiation: 572
Year: 1977  Month: 7  Day: 12  Time: 7  Solar radiation: 775
Year: 1977  Month: 7  Day: 12  Time: 8  Solar radiation: 869
Year: 1977  Month: 7  Day: 13  Time: 8  Solar radiation: 840
Year: 1977  Month: 7  Day: 14  Time: 7  Solar radiation: 640
Year: 1977  Month: 7  Day: 14  Time: 8  Solar radiation: 764
Year: 1977  Month: 7  Day: 15  Time: 6  Solar radiation: 622
Year: 1977  Month: 7  Day: 15  Time: 7  Solar radiation: 811
Year: 1977  Month: 7  Day: 15  Time: 8  Solar radiation: 902
Year: 1977  Month: 7  Day: 16  Time: 7  Solar radiation: 750
Year: 1977  Month: 7  Day: 16  Time: 8  Solar radiation: 851
Year: 1977  Month: 7  Day: 17  Time: 7  Solar radiation: 554
Year: 1977  Month: 7  Day: 17  Time: 8  Solar radiation: 648
Year: 1977  Month: 7  Day: 18  Time: 7  Solar radiation: 565
Year: 1977  Month: 7  Day: 18  Time: 8  Solar radiation: 603
Year: 1977  Month: 7  Day: 23  Time: 8  Solar radiation: 608
Year: 1977  Month: 7  Day: 25  Time: 7  Solar radiation: 609
Year: 1977  Month: 7  Day: 25  Time: 8  Solar radiation: 741
Year: 1977  Month: 7  Day: 26  Time: 7  Solar radiation: 710
Year: 1977  Month: 7  Day: 26  Time: 8  Solar radiation: 831
Year: 1977  Month: 7  Day: 28  Time: 6  Solar radiation: 572
Year: 1977  Month: 7  Day: 28  Time: 7  Solar radiation: 790
Year: 1977  Month: 7  Day: 28  Time: 8  Solar radiation: 879
Year: 1977  Month: 7  Day: 29  Time: 7  Solar radiation: 681
Year: 1977  Month: 7  Day: 29  Time: 8  Solar radiation: 806
Year: 1977  Month: 7  Day: 30  Time: 6  Solar radiation: 579
Year: 1977  Month: 7  Day: 30  Time: 7  Solar radiation: 801
Year: 1977  Month: 7  Day: 30  Time: 8  Solar radiation: 898
Year: 1977  Month: 7  Day: 31  Time: 7  Solar radiation: 672
Year: 1977  Month: 7  Day: 31  Time: 8  Solar radiation: 785
Year: 1980  Month: 8  Day: 1  Time: 8  Solar radiation: 620
Year: 1980  Month: 8  Day: 2  Time: 7  Solar radiation: 659
Year: 1980  Month: 8  Day: 2  Time: 8  Solar radiation: 794
Year: 1980  Month: 8  Day: 3  Time: 7  Solar radiation: 702
Year: 1980  Month: 8  Day: 3  Time: 8  Solar radiation: 827
Year: 1980  Month: 8  Day: 4  Time: 7  Solar radiation: 749
Year: 1980  Month: 8  Day: 4  Time: 8  Solar radiation: 863
Year: 1980  Month: 8  Day: 5  Time: 7  Solar radiation: 741
Year: 1980  Month: 8  Day: 5  Time: 8  Solar radiation: 855
Year: 1980  Month: 8  Day: 6  Time: 7  Solar radiation: 778
Year: 1980  Month: 8  Day: 6  Time: 8  Solar radiation: 881
Year: 1980  Month: 8  Day: 7  Time: 8  Solar radiation: 694
Year: 1980  Month: 8  Day: 9  Time: 7  Solar radiation: 754
Year: 1980  Month: 8  Day: 9  Time: 8  Solar radiation: 871
Year: 1980  Month: 8  Day: 10  Time: 7  Solar radiation: 689
Year: 1980  Month: 8  Day: 10  Time: 8  Solar radiation: 819
Year: 1980  Month: 8  Day: 11  Time: 8  Solar radiation: 729
Year: 1980  Month: 8  Day: 12  Time: 8  Solar radiation: 683
Year: 1980  Month: 8  Day: 13  Time: 7  Solar radiation: 605
Year: 1980  Month: 8  Day: 13  Time: 8  Solar radiation: 596
Year: 1980  Month: 8  Day: 14  Time: 7  Solar radiation: 603
Year: 1980  Month: 8  Day: 14  Time: 8  Solar radiation: 605
Year: 1980  Month: 8  Day: 16  Time: 7  Solar radiation: 685
Year: 1980  Month: 8  Day: 16  Time: 8  Solar radiation: 822
Year: 1980  Month: 8  Day: 17  Time: 7  Solar radiation: 611
Year: 1980  Month: 8  Day: 17  Time: 8  Solar radiation: 767
Year: 1980  Month: 8  Day: 20  Time: 7  Solar radiation: 767
Year: 1980  Month: 8  Day: 20  Time: 8  Solar radiation: 878
Year: 1980  Month: 8  Day: 21  Time: 7  Solar radiation: 759
Year: 1980  Month: 8  Day: 21  Time: 8  Solar radiation: 881
Year: 1980  Month: 8  Day: 23  Time: 8  Solar radiation: 691
Year: 1980  Month: 8  Day: 24  Time: 7  Solar radiation: 754
Year: 1980  Month: 8  Day: 24  Time: 8  Solar radiation: 722
Year: 1980  Month: 8  Day: 26  Time: 8  Solar radiation: 561
Year: 1980  Month: 8  Day: 27  Time: 8  Solar radiation: 646
Year: 1980  Month: 8  Day: 28  Time: 7  Solar radiation: 746
Year: 1980  Month: 8  Day: 28  Time: 8  Solar radiation: 878
Year: 1980  Month: 8  Day: 29  Time: 7  Solar radiation: 684
Year: 1980  Month: 8  Day: 29  Time: 8  Solar radiation: 831
Year: 1980  Month: 8  Day: 31  Time: 8  Solar radiation: 562
Year: 1996  Month: 9  Day: 1  Time: 7  Solar radiation: 574
Year: 1996  Month: 9  Day: 1  Time: 8  Solar radiation: 638
Year: 1996  Month: 9  Day: 2  Time: 7  Solar radiation: 722
Year: 1996  Month: 9  Day: 2  Time: 8  Solar radiation: 865
Year: 1996  Month: 9  Day: 7  Time: 7  Solar radiation: 584
Year: 1996  Month: 9  Day: 7  Time: 8  Solar radiation: 774
Year: 1996  Month: 9  Day: 9  Time: 7  Solar radiation: 736
Year: 1996  Month: 9  Day: 9  Time: 8  Solar radiation: 879
Year: 1996  Month: 9  Day: 10  Time: 7  Solar radiation: 577
Year: 1996  Month: 9  Day: 10  Time: 8  Solar radiation: 768
Year: 1996  Month: 9  Day: 11  Time: 8  Solar radiation: 815
Year: 1996  Month: 9  Day: 12  Time: 8  Solar radiation: 625
Year: 1996  Month: 9  Day: 13  Time: 7  Solar radiation: 715
Year: 1996  Month: 9  Day: 13  Time: 8  Solar radiation: 871
Year: 1996  Month: 9  Day: 14  Time: 8  Solar radiation: 658
Year: 1996  Month: 9  Day: 16  Time: 8  Solar radiation: 858
Year: 1996  Month: 9  Day: 17  Time: 8  Solar radiation: 619
Year: 1996  Month: 9  Day: 21  Time: 7  Solar radiation: 564
Year: 1996  Month: 9  Day: 21  Time: 8  Solar radiation: 777
Year: 1996  Month: 9  Day: 22  Time: 7  Solar radiation: 554
Year: 1996  Month: 9  Day: 22  Time: 8  Solar radiation: 772
Year: 1996  Month: 9  Day: 23  Time: 8  Solar radiation: 583
Year: 1996  Month: 9  Day: 24  Time: 8  Solar radiation: 812
Year: 1996  Month: 9  Day: 25  Time: 8  Solar radiation: 861
Year: 1996  Month: 9  Day: 26  Time: 8  Solar radiation: 745
Year: 1996  Month: 9  Day: 29  Time: 7  Solar radiation: 656
Year: 1996  Month: 9  Day: 29  Time: 8  Solar radiation: 854
Year: 1996  Month: 9  Day: 30  Time: 8  Solar radiation: 700
Year: 1985  Month: 10  Day: 1  Time: 8  Solar radiation: 775
Year: 1985  Month: 10  Day: 3  Time: 8  Solar radiation: 644
Year: 1985  Month: 10  Day: 4  Time: 8  Solar radiation: 747
Year: 1985  Month: 10  Day: 5  Time: 8  Solar radiation: 686
Year: 1985  Month: 10  Day: 9  Time: 8  Solar radiation: 597
Year: 1985  Month: 10  Day: 10  Time: 8  Solar radiation: 787
Year: 1985  Month: 10  Day: 11  Time: 8  Solar radiation: 754
Year: 1985  Month: 10  Day: 13  Time: 8  Solar radiation: 673
Year: 1985  Month: 10  Day: 14  Time: 8  Solar radiation: 766
Year: 1985  Month: 10  Day: 15  Time: 8  Solar radiation: 796
Year: 1985  Month: 10  Day: 16  Time: 8  Solar radiation: 787
Year: 1985  Month: 10  Day: 17  Time: 8  Solar radiation: 723
Year: 1985  Month: 10  Day: 18  Time: 8  Solar radiation: 768
Year: 1985  Month: 10  Day: 19  Time: 8  Solar radiation: 709
Year: 1985  Month: 10  Day: 24  Time: 8  Solar radiation: 779
Year: 1985  Month: 10  Day: 26  Time: 8  Solar radiation: 697
Year: 1985  Month: 10  Day: 27  Time: 8  Solar radiation: 720
Year: 1985  Month: 10  Day: 29  Time: 8  Solar radiation: 698
Year: 1996  Month: 11  Day: 6  Time: 8  Solar radiation: 758
Year: 1996  Month: 11  Day: 7  Time: 8  Solar radiation: 569
Year: 1996  Month: 11  Day: 11  Time: 8  Solar radiation: 715
Wrong Global Horizontal Radiation:
==================================
Wrong Diffuse Horizontal Radiation:
====================================
Year: 1981  Month: 5  Day: 26  Time: 8  Solar radiation: 266
Year: 2004  Month: 6  Day: 11  Time: 8  Solar radiation: 253
Year: 2004  Month: 6  Day: 24  Time: 8  Solar radiation: 254
Year: 2004  Month: 6  Day: 25  Time: 8  Solar radiation: 252
Year: 2004  Month: 6  Day: 27  Time: 8  Solar radiation: 262
