                Average Minimum and Maximum Temperatures
                ========================================

                         Maximum Temperatures:
Month:	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	
AvgMax:-8.79	-6.24	2.58	2.79	4.24	7.82	10.48	11.0	11.3	11.51	11.98	12.48	
Time:13	12	13	13	10	11	11	11	11	12	12	12	

                         Minimum Temperatures
Month:	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	
AvgMin:-17.98	-17.18	-5.66	-5.66	-5.48	-2.52	-1.54	-0.51	-0.49	-0.24	0.04	0.41	
Time: 	11	10	11	11	12	12	10	10	10	10	10	10	

=================================================================================================

                           Solar Radiation Analysis
                            ========================
Lines checked: 2923
===============
No. of wrong lines: 64
==================
Wrong Direct Normal Radiation:
=================================
Year: 1988  Month: 3  Day: 31  Time: 8  Solar radiation: 555
Year: 1968  Month: 4  Day: 5  Time: 8  Solar radiation: 707
Year: 1968  Month: 4  Day: 10  Time: 8  Solar radiation: 662
Year: 1968  Month: 4  Day: 15  Time: 8  Solar radiation: 653
Year: 1968  Month: 4  Day: 24  Time: 8  Solar radiation: 630
Year: 1968  Month: 4  Day: 26  Time: 8  Solar radiation: 648
Year: 1968  Month: 4  Day: 28  Time: 8  Solar radiation: 631
Year: 1968  Month: 4  Day: 29  Time: 8  Solar radiation: 698
Year: 1968  Month: 4  Day: 30  Time: 8  Solar radiation: 553
Year: 1969  Month: 5  Day: 6  Time: 8  Solar radiation: 700
Year: 1969  Month: 5  Day: 8  Time: 8  Solar radiation: 664
Year: 1969  Month: 5  Day: 10  Time: 8  Solar radiation: 560
Year: 1969  Month: 5  Day: 11  Time: 8  Solar radiation: 670
Year: 1969  Month: 5  Day: 14  Time: 8  Solar radiation: 686
Year: 1969  Month: 5  Day: 17  Time: 7  Solar radiation: 592
Year: 1969  Month: 5  Day: 17  Time: 8  Solar radiation: 743
Year: 1969  Month: 5  Day: 20  Time: 8  Solar radiation: 572
Year: 1969  Month: 5  Day: 24  Time: 8  Solar radiation: 598
Year: 1969  Month: 5  Day: 25  Time: 8  Solar radiation: 620
Year: 1969  Month: 5  Day: 26  Time: 7  Solar radiation: 617
Year: 1969  Month: 5  Day: 26  Time: 8  Solar radiation: 770
Year: 1969  Month: 5  Day: 27  Time: 8  Solar radiation: 582
Year: 1969  Month: 5  Day: 29  Time: 7  Solar radiation: 652
Year: 1969  Month: 5  Day: 29  Time: 8  Solar radiation: 769
Year: 1978  Month: 6  Day: 4  Time: 8  Solar radiation: 626
Year: 1978  Month: 6  Day: 5  Time: 7  Solar radiation: 571
Year: 1978  Month: 6  Day: 5  Time: 8  Solar radiation: 691
Year: 1978  Month: 6  Day: 6  Time: 8  Solar radiation: 687
Year: 1978  Month: 6  Day: 7  Time: 8  Solar radiation: 670
Year: 1978  Month: 6  Day: 8  Time: 7  Solar radiation: 631
Year: 1978  Month: 6  Day: 8  Time: 8  Solar radiation: 770
Year: 1978  Month: 6  Day: 9  Time: 8  Solar radiation: 653
Year: 1978  Month: 6  Day: 12  Time: 8  Solar radiation: 798
Year: 1978  Month: 6  Day: 16  Time: 8  Solar radiation: 634
Year: 1978  Month: 6  Day: 18  Time: 7  Solar radiation: 603
Year: 1978  Month: 6  Day: 18  Time: 8  Solar radiation: 734
Year: 1978  Month: 6  Day: 19  Time: 7  Solar radiation: 593
Year: 1978  Month: 6  Day: 20  Time: 8  Solar radiation: 556
Year: 1978  Month: 6  Day: 21  Time: 7  Solar radiation: 626
Year: 1978  Month: 6  Day: 21  Time: 8  Solar radiation: 752
Year: 1978  Month: 6  Day: 26  Time: 8  Solar radiation: 651
Year: 1978  Month: 6  Day: 27  Time: 7  Solar radiation: 640
Year: 1978  Month: 6  Day: 27  Time: 8  Solar radiation: 792
Year: 1978  Month: 6  Day: 28  Time: 8  Solar radiation: 656
Year: 1990  Month: 7  Day: 6  Time: 8  Solar radiation: 598
Year: 1990  Month: 7  Day: 9  Time: 8  Solar radiation: 601
Year: 1990  Month: 7  Day: 12  Time: 8  Solar radiation: 718
Year: 1990  Month: 7  Day: 13  Time: 7  Solar radiation: 585
Year: 1990  Month: 7  Day: 13  Time: 8  Solar radiation: 731
Year: 1990  Month: 7  Day: 14  Time: 8  Solar radiation: 743
Year: 1990  Month: 7  Day: 23  Time: 8  Solar radiation: 624
Year: 1990  Month: 7  Day: 24  Time: 8  Solar radiation: 647
Year: 1990  Month: 7  Day: 28  Time: 8  Solar radiation: 602
Year: 1968  Month: 8  Day: 1  Time: 8  Solar radiation: 667
Year: 1968  Month: 8  Day: 2  Time: 8  Solar radiation: 623
Year: 1968  Month: 8  Day: 5  Time: 8  Solar radiation: 687
Year: 1968  Month: 8  Day: 14  Time: 8  Solar radiation: 608
Year: 1968  Month: 8  Day: 20  Time: 8  Solar radiation: 583
Year: 1968  Month: 8  Day: 21  Time: 8  Solar radiation: 677
Year: 1968  Month: 8  Day: 26  Time: 8  Solar radiation: 695
Year: 1970  Month: 9  Day: 10  Time: 8  Solar radiation: 612
Year: 1970  Month: 9  Day: 23  Time: 8  Solar radiation: 601
Year: 1970  Month: 9  Day: 30  Time: 8  Solar radiation: 588
Year: 1974  Month: 10  Day: 2  Time: 8  Solar radiation: 621
Wrong Global Horizontal Radiation:
==================================
Wrong Diffuse Horizontal Radiation:
====================================
