                Average Minimum and Maximum Temperatures
                ========================================

                         Maximum Temperatures:
Month:	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	
AvgMax:-10.87	-6.91	-4.18	-1.89	2.09	3.34	3.89	4.25	4.51	5.58	5.53	5.68	
Time:12	12	14	14	15	15	15	15	15	15	14	14	

                         Minimum Temperatures
Month:	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	
AvgMin:-21.77	-18.67	-17.7	-15.6	-10.28	-9.11	-8.72	-8.4	-8.09	-7.17	-7.12	-7.12	
Time: 	10	11	8	8	4	7	6	6	6	7	7	7	

=================================================================================================

                           Solar Radiation Analysis
                            ========================
Lines checked: 2595
===============
No. of wrong lines: 102
==================
Wrong Direct Normal Radiation:
=================================
Year: 1976  Month: 3  Day: 26  Time: 8  Solar radiation: 566
Year: 1975  Month: 4  Day: 12  Time: 8  Solar radiation: 810
Year: 1975  Month: 4  Day: 15  Time: 8  Solar radiation: 829
Year: 1975  Month: 4  Day: 16  Time: 8  Solar radiation: 581
Year: 1975  Month: 4  Day: 17  Time: 8  Solar radiation: 750
Year: 1975  Month: 4  Day: 18  Time: 8  Solar radiation: 838
Year: 1975  Month: 4  Day: 21  Time: 8  Solar radiation: 767
Year: 1975  Month: 4  Day: 22  Time: 7  Solar radiation: 647
Year: 1975  Month: 4  Day: 22  Time: 8  Solar radiation: 763
Year: 1975  Month: 4  Day: 23  Time: 8  Solar radiation: 599
Year: 1986  Month: 5  Day: 2  Time: 7  Solar radiation: 766
Year: 1986  Month: 5  Day: 2  Time: 8  Solar radiation: 610
Year: 1986  Month: 5  Day: 6  Time: 7  Solar radiation: 709
Year: 1986  Month: 5  Day: 6  Time: 8  Solar radiation: 793
Year: 1986  Month: 5  Day: 11  Time: 7  Solar radiation: 705
Year: 1986  Month: 5  Day: 11  Time: 8  Solar radiation: 699
Year: 1986  Month: 5  Day: 12  Time: 7  Solar radiation: 717
Year: 1986  Month: 5  Day: 12  Time: 8  Solar radiation: 796
Year: 1986  Month: 5  Day: 14  Time: 8  Solar radiation: 625
Year: 1986  Month: 5  Day: 18  Time: 7  Solar radiation: 641
Year: 1986  Month: 5  Day: 18  Time: 8  Solar radiation: 618
Year: 1986  Month: 5  Day: 19  Time: 7  Solar radiation: 716
Year: 1986  Month: 5  Day: 19  Time: 8  Solar radiation: 788
Year: 1986  Month: 5  Day: 20  Time: 8  Solar radiation: 618
Year: 1986  Month: 5  Day: 26  Time: 7  Solar radiation: 712
Year: 1986  Month: 5  Day: 26  Time: 8  Solar radiation: 780
Year: 1986  Month: 5  Day: 27  Time: 7  Solar radiation: 716
Year: 1986  Month: 5  Day: 27  Time: 8  Solar radiation: 783
Year: 1986  Month: 5  Day: 28  Time: 7  Solar radiation: 810
Year: 1986  Month: 5  Day: 28  Time: 8  Solar radiation: 792
Year: 1977  Month: 6  Day: 3  Time: 6  Solar radiation: 564
Year: 1977  Month: 6  Day: 3  Time: 7  Solar radiation: 747
Year: 1977  Month: 6  Day: 3  Time: 8  Solar radiation: 811
Year: 1977  Month: 6  Day: 4  Time: 6  Solar radiation: 634
Year: 1977  Month: 6  Day: 4  Time: 7  Solar radiation: 824
