                Average Minimum and Maximum Temperatures
                ========================================

                         Maximum Temperatures:
Month:	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	
AvgMax:12.91	15.75	16.47	18.15	18.7	20.1	21.33	22.71	22.93	19.12	21.36	22.14	
Time:13	14	13	13	11	13	14	14	14	14	14	14	

                         Minimum Temperatures
Month:	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	
AvgMin:1.5	4.6	5.13	6.17	8.35	8.22	8.26	12.01	12.24	11.5	12.33	12.74	
Time: 	12	8	8	9	6	13	11	9	9	4	5	5	

=================================================================================================

                           Solar Radiation Analysis
                            ========================
Lines checked: 2840
===============
No. of wrong lines: 78
==================
Wrong Direct Normal Radiation:
=================================
Year: 1962  Month: 3  Day: 23  Time: 8  Solar radiation: 652
Year: 1966  Month: 4  Day: 2  Time: 8  Solar radiation: 669
Year: 1966  Month: 5  Day: 5  Time: 8  Solar radiation: 600
Year: 1966  Month: 5  Day: 9  Time: 8  Solar radiation: 715
Year: 1966  Month: 5  Day: 13  Time: 8  Solar radiation: 624
Year: 1966  Month: 5  Day: 14  Time: 8  Solar radiation: 555
Year: 1966  Month: 5  Day: 28  Time: 8  Solar radiation: 716
Year: 1966  Month: 5  Day: 30  Time: 8  Solar radiation: 566
Year: 1959  Month: 6  Day: 7  Time: 8  Solar radiation: 578
Year: 1959  Month: 6  Day: 14  Time: 8  Solar radiation: 654
Year: 1959  Month: 6  Day: 16  Time: 8  Solar radiation: 722
Year: 1959  Month: 6  Day: 29  Time: 8  Solar radiation: 739
Year: 1965  Month: 7  Day: 1  Time: 8  Solar radiation: 598
Year: 1965  Month: 7  Day: 5  Time: 8  Solar radiation: 656
Year: 1965  Month: 7  Day: 6  Time: 8  Solar radiation: 661
Year: 1965  Month: 7  Day: 8  Time: 8  Solar radiation: 618
Year: 1965  Month: 7  Day: 11  Time: 8  Solar radiation: 606
Year: 1965  Month: 7  Day: 12  Time: 8  Solar radiation: 601
Year: 1965  Month: 7  Day: 13  Time: 8  Solar radiation: 768
Year: 1965  Month: 7  Day: 16  Time: 8  Solar radiation: 640
Year: 1965  Month: 7  Day: 18  Time: 8  Solar radiation: 583
Year: 1965  Month: 7  Day: 20  Time: 8  Solar radiation: 699
Year: 1965  Month: 7  Day: 27  Time: 8  Solar radiation: 597
Year: 1965  Month: 7  Day: 30  Time: 8  Solar radiation: 569
Year: 1955  Month: 8  Day: 2  Time: 8  Solar radiation: 708
Year: 1955  Month: 8  Day: 6  Time: 8  Solar radiation: 643
Year: 1955  Month: 8  Day: 7  Time: 8  Solar radiation: 672
Year: 1955  Month: 8  Day: 8  Time: 8  Solar radiation: 720
Year: 1955  Month: 8  Day: 13  Time: 8  Solar radiation: 742
Year: 1955  Month: 8  Day: 14  Time: 8  Solar radiation: 583
Year: 1955  Month: 8  Day: 15  Time: 8  Solar radiation: 753
Year: 1955  Month: 8  Day: 21  Time: 8  Solar radiation: 707
Year: 1955  Month: 8  Day: 23  Time: 8  Solar radiation: 557
Year: 1955  Month: 8  Day: 25  Time: 8  Solar radiation: 622
Year: 1957  Month: 9  Day: 1  Time: 8  Solar radiation: 776
Year: 1957  Month: 9  Day: 4  Time: 8  Solar radiation: 613
Year: 1957  Month: 9  Day: 12  Time: 8  Solar radiation: 739
Year: 1968  Month: 10  Day: 25  Time: 8  Solar radiation: 579
Year: 1968  Month: 10  Day: 26  Time: 8  Solar radiation: 588
Wrong Global Horizontal Radiation:
==================================
Wrong Diffuse Horizontal Radiation:
====================================
Year: 1966  Month: 4  Day: 5  Time: 8  Solar radiation: 278
Year: 1966  Month: 4  Day: 7  Time: 8  Solar radiation: 263
Year: 1966  Month: 4  Day: 27  Time: 8  Solar radiation: 268
Year: 1966  Month: 5  Day: 7  Time: 8  Solar radiation: 259
Year: 1966  Month: 5  Day: 8  Time: 8  Solar radiation: 268
Year: 1966  Month: 5  Day: 22  Time: 8  Solar radiation: 294
Year: 1966  Month: 5  Day: 23  Time: 8  Solar radiation: 291
Year: 1966  Month: 5  Day: 25  Time: 8  Solar radiation: 263
Year: 1966  Month: 5  Day: 26  Time: 8  Solar radiation: 283
Year: 1966  Month: 5  Day: 29  Time: 8  Solar radiation: 290
Year: 1966  Month: 5  Day: 31  Time: 8  Solar radiation: 310
Year: 1959  Month: 6  Day: 3  Time: 8  Solar radiation: 275
Year: 1959  Month: 6  Day: 6  Time: 8  Solar radiation: 290
Year: 1959  Month: 6  Day: 8  Time: 8  Solar radiation: 259
Year: 1959  Month: 6  Day: 13  Time: 8  Solar radiation: 320
Year: 1959  Month: 6  Day: 14  Time: 8  Solar radiation: 274
Year: 1959  Month: 6  Day: 15  Time: 8  Solar radiation: 303
Year: 1959  Month: 6  Day: 17  Time: 8  Solar radiation: 284
Year: 1959  Month: 6  Day: 18  Time: 8  Solar radiation: 329
Year: 1959  Month: 6  Day: 21  Time: 8  Solar radiation: 269
Year: 1959  Month: 6  Day: 24  Time: 8  Solar radiation: 274
Year: 1965  Month: 7  Day: 2  Time: 8  Solar radiation: 322
Year: 1965  Month: 7  Day: 3  Time: 8  Solar radiation: 309
Year: 1965  Month: 7  Day: 4  Time: 8  Solar radiation: 271
Year: 1965  Month: 7  Day: 8  Time: 8  Solar radiation: 252
Year: 1965  Month: 7  Day: 11  Time: 8  Solar radiation: 251
Year: 1965  Month: 7  Day: 14  Time: 8  Solar radiation: 312
Year: 1965  Month: 7  Day: 17  Time: 8  Solar radiation: 303
Year: 1965  Month: 7  Day: 19  Time: 8  Solar radiation: 313
Year: 1965  Month: 7  Day: 23  Time: 8  Solar radiation: 311
Year: 1965  Month: 7  Day: 24  Time: 8  Solar radiation: 271
Year: 1965  Month: 7  Day: 25  Time: 8  Solar radiation: 257
Year: 1965  Month: 7  Day: 31  Time: 8  Solar radiation: 277
Year: 1955  Month: 8  Day: 1  Time: 8  Solar radiation: 308
Year: 1955  Month: 8  Day: 3  Time: 8  Solar radiation: 274
Year: 1955  Month: 8  Day: 14  Time: 8  Solar radiation: 272
Year: 1955  Month: 8  Day: 16  Time: 8  Solar radiation: 268
Year: 1955  Month: 8  Day: 17  Time: 8  Solar radiation: 281
Year: 1955  Month: 8  Day: 18  Time: 8  Solar radiation: 268
Year: 1955  Month: 8  Day: 19  Time: 8  Solar radiation: 257
Year: 1955  Month: 8  Day: 22  Time: 8  Solar radiation: 282
Year: 1955  Month: 8  Day: 26  Time: 8  Solar radiation: 266
Year: 1955  Month: 8  Day: 27  Time: 8  Solar radiation: 271
