                Average Minimum and Maximum Temperatures
                ========================================

                         Maximum Temperatures:
Month:	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	
AvgMax:4.36	4.54	5.38	0.15	1.04	5.16	6.08	7.4	8.27	8.44	8.54	8.53	
Time:13	11	12	11	12	12	13	13	13	13	13	13	

                         Minimum Temperatures
Month:	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	
AvgMin:-11.45	-6.23	-5.72	-9.78	-9.3	-6.45	-5.91	-5.24	-4.64	-4.63	-4.58	-4.54	
Time: 	9	7	7	13	12	10	10	9	10	11	10	10	

=================================================================================================

                           Solar Radiation Analysis
                            ========================
Lines checked: 2855
===============
No. of wrong lines: 188
==================
Wrong Direct Normal Radiation:
=================================
Year: 1990  Month: 2  Day: 23  Time: 8  Solar radiation: 685
Year: 1971  Month: 3  Day: 4  Time: 8  Solar radiation: 686
Year: 1971  Month: 3  Day: 7  Time: 8  Solar radiation: 661
Year: 1971  Month: 3  Day: 11  Time: 8  Solar radiation: 641
Year: 1971  Month: 3  Day: 12  Time: 8  Solar radiation: 692
Year: 1971  Month: 3  Day: 13  Time: 8  Solar radiation: 724
Year: 1971  Month: 3  Day: 15  Time: 8  Solar radiation: 771
Year: 1971  Month: 3  Day: 16  Time: 8  Solar radiation: 797
Year: 1971  Month: 3  Day: 19  Time: 8  Solar radiation: 823
Year: 1971  Month: 3  Day: 20  Time: 8  Solar radiation: 701
Year: 1971  Month: 3  Day: 29  Time: 8  Solar radiation: 737
Year: 1971  Month: 3  Day: 30  Time: 7  Solar radiation: 593
Year: 1971  Month: 3  Day: 30  Time: 8  Solar radiation: 816
Year: 1974  Month: 4  Day: 1  Time: 8  Solar radiation: 830
Year: 1974  Month: 4  Day: 4  Time: 8  Solar radiation: 736
Year: 1974  Month: 4  Day: 5  Time: 7  Solar radiation: 647
Year: 1974  Month: 4  Day: 5  Time: 8  Solar radiation: 847
Year: 1974  Month: 4  Day: 8  Time: 8  Solar radiation: 635
Year: 1974  Month: 4  Day: 10  Time: 7  Solar radiation: 554
Year: 1974  Month: 4  Day: 10  Time: 8  Solar radiation: 824
Year: 1974  Month: 4  Day: 14  Time: 7  Solar radiation: 709
Year: 1974  Month: 4  Day: 14  Time: 8  Solar radiation: 861
Year: 1974  Month: 4  Day: 15  Time: 7  Solar radiation: 659
Year: 1974  Month: 4  Day: 15  Time: 8  Solar radiation: 815
Year: 1974  Month: 4  Day: 16  Time: 7  Solar radiation: 673
Year: 1974  Month: 4  Day: 16  Time: 8  Solar radiation: 836
Year: 1974  Month: 4  Day: 18  Time: 7  Solar radiation: 643
Year: 1974  Month: 4  Day: 18  Time: 8  Solar radiation: 799
Year: 1974  Month: 4  Day: 20  Time: 8  Solar radiation: 858
Year: 1974  Month: 4  Day: 21  Time: 8  Solar radiation: 632
Year: 1974  Month: 4  Day: 22  Time: 7  Solar radiation: 654
Year: 1974  Month: 4  Day: 22  Time: 8  Solar radiation: 808
Year: 1974  Month: 4  Day: 28  Time: 7  Solar radiation: 742
Year: 1974  Month: 4  Day: 28  Time: 8  Solar radiation: 868
Year: 1974  Month: 4  Day: 29  Time: 7  Solar radiation: 656
Year: 1974  Month: 4  Day: 29  Time: 8  Solar radiation: 788
Year: 1974  Month: 4  Day: 30  Time: 8  Solar radiation: 768
Year: 1979  Month: 5  Day: 4  Time: 7  Solar radiation: 742
Year: 1979  Month: 5  Day: 4  Time: 8  Solar radiation: 859
Year: 1979  Month: 5  Day: 5  Time: 8  Solar radiation: 737
Year: 1979  Month: 5  Day: 7  Time: 7  Solar radiation: 705
Year: 1979  Month: 5  Day: 7  Time: 8  Solar radiation: 827
Year: 1979  Month: 5  Day: 11  Time: 7  Solar radiation: 665
Year: 1979  Month: 5  Day: 11  Time: 8  Solar radiation: 793
Year: 1979  Month: 5  Day: 13  Time: 7  Solar radiation: 766
Year: 1979  Month: 5  Day: 13  Time: 8  Solar radiation: 846
Year: 1979  Month: 5  Day: 14  Time: 7  Solar radiation: 715
Year: 1979  Month: 5  Day: 14  Time: 8  Solar radiation: 820
Year: 1979  Month: 5  Day: 15  Time: 7  Solar radiation: 707
Year: 1979  Month: 5  Day: 15  Time: 8  Solar radiation: 800
Year: 1979  Month: 5  Day: 17  Time: 8  Solar radiation: 581
Year: 1979  Month: 5  Day: 18  Time: 8  Solar radiation: 785
Year: 1979  Month: 5  Day: 22  Time: 7  Solar radiation: 715
Year: 1979  Month: 5  Day: 22  Time: 8  Solar radiation: 813
Year: 1979  Month: 5  Day: 24  Time: 7  Solar radiation: 770
Year: 1979  Month: 5  Day: 24  Time: 8  Solar radiation: 862
Year: 1979  Month: 5  Day: 26  Time: 7  Solar radiation: 706
Year: 1979  Month: 5  Day: 26  Time: 8  Solar radiation: 824
Year: 1979  Month: 5  Day: 27  Time: 7  Solar radiation: 775
Year: 1979  Month: 5  Day: 27  Time: 8  Solar radiation: 865
Year: 1979  Month: 5  Day: 28  Time: 8  Solar radiation: 708
Year: 1979  Month: 5  Day: 29  Time: 8  Solar radiation: 719
Year: 1979  Month: 6  Day: 1  Time: 8  Solar radiation: 641
Year: 1979  Month: 6  Day: 3  Time: 7  Solar radiation: 724
Year: 1979  Month: 6  Day: 3  Time: 8  Solar radiation: 822
Year: 1979  Month: 6  Day: 4  Time: 7  Solar radiation: 770
Year: 1979  Month: 6  Day: 4  Time: 8  Solar radiation: 858
Year: 1979  Month: 6  Day: 5  Time: 7  Solar radiation: 583
Year: 1979  Month: 6  Day: 6  Time: 7  Solar radiation: 733
Year: 1979  Month: 6  Day: 6  Time: 8  Solar radiation: 829
Year: 1979  Month: 6  Day: 10  Time: 7  Solar radiation: 728
Year: 1979  Month: 6  Day: 10  Time: 8  Solar radiation: 826
Year: 1979  Month: 6  Day: 11  Time: 7  Solar radiation: 778
Year: 1979  Month: 6  Day: 11  Time: 8  Solar radiation: 863
Year: 1979  Month: 6  Day: 12  Time: 6  Solar radiation: 563
Year: 1979  Month: 6  Day: 12  Time: 7  Solar radiation: 752
Year: 1979  Month: 6  Day: 12  Time: 8  Solar radiation: 842
Year: 1979  Month: 6  Day: 13  Time: 7  Solar radiation: 713
Year: 1979  Month: 6  Day: 13  Time: 8  Solar radiation: 811
Year: 1979  Month: 6  Day: 15  Time: 8  Solar radiation: 659
Year: 1979  Month: 6  Day: 16  Time: 8  Solar radiation: 754
Year: 1979  Month: 6  Day: 20  Time: 6  Solar radiation: 551
Year: 1979  Month: 6  Day: 20  Time: 7  Solar radiation: 746
Year: 1979  Month: 6  Day: 20  Time: 8  Solar radiation: 840
Year: 1979  Month: 6  Day: 21  Time: 6  Solar radiation: 563
Year: 1979  Month: 6  Day: 21  Time: 7  Solar radiation: 755
Year: 1979  Month: 6  Day: 21  Time: 8  Solar radiation: 843
Year: 1979  Month: 6  Day: 26  Time: 7  Solar radiation: 567
Year: 1979  Month: 6  Day: 26  Time: 8  Solar radiation: 756
Year: 1979  Month: 6  Day: 27  Time: 8  Solar radiation: 705
Year: 1979  Month: 6  Day: 28  Time: 8  Solar radiation: 593
Year: 1979  Month: 6  Day: 29  Time: 6  Solar radiation: 565
Year: 1979  Month: 6  Day: 29  Time: 7  Solar radiation: 750
Year: 1979  Month: 6  Day: 29  Time: 8  Solar radiation: 846
Year: 1979  Month: 6  Day: 30  Time: 8  Solar radiation: 604
Year: 1977  Month: 7  Day: 1  Time: 7  Solar radiation: 711
Year: 1977  Month: 7  Day: 1  Time: 8  Solar radiation: 806
Year: 1977  Month: 7  Day: 2  Time: 7  Solar radiation: 665
Year: 1977  Month: 7  Day: 2  Time: 8  Solar radiation: 777
Year: 1977  Month: 7  Day: 3  Time: 8  Solar radiation: 827
Year: 1977  Month: 7  Day: 4  Time: 7  Solar radiation: 756
Year: 1977  Month: 7  Day: 4  Time: 8  Solar radiation: 854
Year: 1977  Month: 7  Day: 5  Time: 7  Solar radiation: 723
Year: 1977  Month: 7  Day: 5  Time: 8  Solar radiation: 803
Year: 1977  Month: 7  Day: 6  Time: 7  Solar radiation: 750
Year: 1977  Month: 7  Day: 6  Time: 8  Solar radiation: 726
Year: 1977  Month: 7  Day: 9  Time: 7  Solar radiation: 728
Year: 1977  Month: 7  Day: 9  Time: 8  Solar radiation: 795
Year: 1977  Month: 7  Day: 12  Time: 8  Solar radiation: 782
Year: 1977  Month: 7  Day: 13  Time: 7  Solar radiation: 624
Year: 1977  Month: 7  Day: 13  Time: 8  Solar radiation: 624
Year: 1977  Month: 7  Day: 14  Time: 8  Solar radiation: 586
Year: 1977  Month: 7  Day: 16  Time: 8  Solar radiation: 686
Year: 1977  Month: 7  Day: 17  Time: 8  Solar radiation: 551
Year: 1977  Month: 7  Day: 18  Time: 7  Solar radiation: 735
Year: 1977  Month: 7  Day: 18  Time: 8  Solar radiation: 837
Year: 1977  Month: 7  Day: 19  Time: 8  Solar radiation: 694
Year: 1977  Month: 7  Day: 24  Time: 7  Solar radiation: 579
Year: 1977  Month: 7  Day: 24  Time: 8  Solar radiation: 710
Year: 1977  Month: 7  Day: 29  Time: 7  Solar radiation: 586
Year: 1977  Month: 7  Day: 29  Time: 8  Solar radiation: 722
Year: 1977  Month: 7  Day: 30  Time: 7  Solar radiation: 631
Year: 1977  Month: 7  Day: 30  Time: 8  Solar radiation: 799
Year: 1978  Month: 8  Day: 5  Time: 7  Solar radiation: 574
Year: 1978  Month: 8  Day: 6  Time: 7  Solar radiation: 699
Year: 1978  Month: 8  Day: 6  Time: 8  Solar radiation: 819
Year: 1978  Month: 8  Day: 8  Time: 7  Solar radiation: 575
Year: 1978  Month: 8  Day: 8  Time: 8  Solar radiation: 723
Year: 1978  Month: 8  Day: 10  Time: 7  Solar radiation: 597
Year: 1978  Month: 8  Day: 10  Time: 8  Solar radiation: 742
Year: 1978  Month: 8  Day: 11  Time: 8  Solar radiation: 671
Year: 1978  Month: 8  Day: 12  Time: 8  Solar radiation: 665
Year: 1978  Month: 8  Day: 13  Time: 8  Solar radiation: 709
Year: 1978  Month: 8  Day: 15  Time: 7  Solar radiation: 637
Year: 1978  Month: 8  Day: 15  Time: 8  Solar radiation: 782
Year: 1978  Month: 8  Day: 16  Time: 7  Solar radiation: 682
Year: 1978  Month: 8  Day: 16  Time: 8  Solar radiation: 822
Year: 1978  Month: 8  Day: 17  Time: 8  Solar radiation: 629
Year: 1978  Month: 8  Day: 18  Time: 8  Solar radiation: 774
Year: 1978  Month: 8  Day: 19  Time: 8  Solar radiation: 611
Year: 1978  Month: 8  Day: 21  Time: 7  Solar radiation: 575
Year: 1978  Month: 8  Day: 21  Time: 8  Solar radiation: 660
Year: 1978  Month: 8  Day: 23  Time: 8  Solar radiation: 741
Year: 1978  Month: 8  Day: 27  Time: 8  Solar radiation: 640
Year: 1978  Month: 8  Day: 28  Time: 7  Solar radiation: 665
Year: 1978  Month: 8  Day: 28  Time: 8  Solar radiation: 802
Year: 1978  Month: 8  Day: 30  Time: 8  Solar radiation: 672
Year: 1978  Month: 8  Day: 31  Time: 7  Solar radiation: 651
Year: 1978  Month: 8  Day: 31  Time: 8  Solar radiation: 804
Year: 1988  Month: 9  Day: 3  Time: 8  Solar radiation: 764
Year: 1988  Month: 9  Day: 4  Time: 7  Solar radiation: 570
Year: 1988  Month: 9  Day: 4  Time: 8  Solar radiation: 763
Year: 1988  Month: 9  Day: 5  Time: 7  Solar radiation: 624
Year: 1988  Month: 9  Day: 5  Time: 8  Solar radiation: 803
Year: 1988  Month: 9  Day: 9  Time: 7  Solar radiation: 615
Year: 1988  Month: 9  Day: 9  Time: 8  Solar radiation: 799
Year: 1988  Month: 9  Day: 10  Time: 8  Solar radiation: 833
Year: 1988  Month: 9  Day: 11  Time: 8  Solar radiation: 653
Year: 1988  Month: 9  Day: 16  Time: 8  Solar radiation: 795
Year: 1988  Month: 9  Day: 17  Time: 8  Solar radiation: 725
Year: 1988  Month: 9  Day: 18  Time: 8  Solar radiation: 762
Year: 1988  Month: 9  Day: 19  Time: 8  Solar radiation: 826
Year: 1988  Month: 9  Day: 20  Time: 8  Solar radiation: 723
Year: 1988  Month: 9  Day: 22  Time: 8  Solar radiation: 737
Year: 1988  Month: 9  Day: 24  Time: 8  Solar radiation: 761
Year: 1988  Month: 9  Day: 25  Time: 8  Solar radiation: 772
Year: 1988  Month: 9  Day: 26  Time: 8  Solar radiation: 730
Year: 1971  Month: 10  Day: 1  Time: 8  Solar radiation: 589
Year: 1971  Month: 10  Day: 2  Time: 8  Solar radiation: 737
Year: 1971  Month: 10  Day: 3  Time: 8  Solar radiation: 664
Year: 1971  Month: 10  Day: 4  Time: 8  Solar radiation: 780
Year: 1971  Month: 10  Day: 5  Time: 8  Solar radiation: 756
Year: 1971  Month: 10  Day: 6  Time: 8  Solar radiation: 646
Year: 1971  Month: 10  Day: 7  Time: 8  Solar radiation: 795
Year: 1971  Month: 10  Day: 8  Time: 8  Solar radiation: 607
Year: 1971  Month: 10  Day: 9  Time: 8  Solar radiation: 766
Year: 1971  Month: 10  Day: 10  Time: 8  Solar radiation: 792
Year: 1971  Month: 10  Day: 11  Time: 8  Solar radiation: 635
Year: 1971  Month: 10  Day: 12  Time: 8  Solar radiation: 774
Year: 1971  Month: 10  Day: 13  Time: 8  Solar radiation: 723
Year: 1971  Month: 10  Day: 14  Time: 8  Solar radiation: 727
Year: 1971  Month: 10  Day: 19  Time: 8  Solar radiation: 682
Year: 1971  Month: 10  Day: 20  Time: 8  Solar radiation: 669
Year: 1971  Month: 10  Day: 23  Time: 8  Solar radiation: 623
Year: 1977  Month: 11  Day: 2  Time: 8  Solar radiation: 621
Year: 1977  Month: 11  Day: 3  Time: 8  Solar radiation: 698
Year: 1977  Month: 11  Day: 9  Time: 8  Solar radiation: 706
Year: 1977  Month: 11  Day: 11  Time: 8  Solar radiation: 703
Wrong Global Horizontal Radiation:
==================================
Wrong Diffuse Horizontal Radiation:
====================================
