                Average Minimum and Maximum Temperatures
                ========================================

                         Maximum Temperatures:
Month:	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	
AvgMax:-13.89	-9.93	-5.51	-5.2	1.19	1.2	2.45	2.67	3.13	3.19	3.34	3.48	
Time:13	14	15	15	13	13	13	13	13	13	13	14	

                         Minimum Temperatures
Month:	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	
AvgMin:-22.56	-21.69	-18.32	-18.32	-9.31	-9.48	-8.8	-8.6	-7.57	-7.57	-7.39	-7.39	
Time: 	10	8	10	10	11	11	9	9	10	10	10	10	

=================================================================================================

                           Solar Radiation Analysis
                            ========================
Lines checked: 2739
===============
No. of wrong lines: 53
==================
Wrong Direct Normal Radiation:
=================================
Year: 1986  Month: 3  Day: 31  Time: 8  Solar radiation: 607
Year: 1968  Month: 4  Day: 19  Time: 8  Solar radiation: 731
Year: 1968  Month: 4  Day: 20  Time: 8  Solar radiation: 619
Year: 1968  Month: 4  Day: 24  Time: 8  Solar radiation: 683
Year: 1968  Month: 4  Day: 25  Time: 8  Solar radiation: 566
Year: 1968  Month: 4  Day: 29  Time: 7  Solar radiation: 606
Year: 1968  Month: 4  Day: 29  Time: 8  Solar radiation: 739
Year: 1968  Month: 4  Day: 30  Time: 8  Solar radiation: 561
Year: 1978  Month: 5  Day: 6  Time: 7  Solar radiation: 633
Year: 1978  Month: 5  Day: 6  Time: 8  Solar radiation: 726
Year: 1978  Month: 5  Day: 8  Time: 8  Solar radiation: 728
Year: 1978  Month: 5  Day: 10  Time: 7  Solar radiation: 684
Year: 1978  Month: 5  Day: 10  Time: 8  Solar radiation: 775
Year: 1978  Month: 5  Day: 11  Time: 7  Solar radiation: 573
Year: 1978  Month: 5  Day: 11  Time: 8  Solar radiation: 696
Year: 1978  Month: 5  Day: 14  Time: 7  Solar radiation: 622
Year: 1978  Month: 5  Day: 15  Time: 8  Solar radiation: 751
Year: 1978  Month: 5  Day: 20  Time: 7  Solar radiation: 680
Year: 1978  Month: 5  Day: 20  Time: 8  Solar radiation: 705
Year: 1978  Month: 5  Day: 21  Time: 7  Solar radiation: 555
Year: 1978  Month: 5  Day: 21  Time: 8  Solar radiation: 667
Year: 1978  Month: 5  Day: 23  Time: 8  Solar radiation: 592
Year: 1978  Month: 5  Day: 27  Time: 7  Solar radiation: 554
Year: 1978  Month: 5  Day: 27  Time: 8  Solar radiation: 608
Year: 1972  Month: 6  Day: 3  Time: 8  Solar radiation: 644
Year: 1972  Month: 6  Day: 7  Time: 7  Solar radiation: 584
Year: 1972  Month: 6  Day: 8  Time: 6  Solar radiation: 594
Year: 1972  Month: 6  Day: 8  Time: 7  Solar radiation: 721
Year: 1972  Month: 6  Day: 8  Time: 8  Solar radiation: 802
Year: 1972  Month: 6  Day: 10  Time: 8  Solar radiation: 614
Year: 1972  Month: 6  Day: 11  Time: 8  Solar radiation: 596
Year: 1972  Month: 6  Day: 17  Time: 8  Solar radiation: 560
Year: 1972  Month: 6  Day: 19  Time: 7  Solar radiation: 758
Year: 1972  Month: 6  Day: 19  Time: 8  Solar radiation: 680
Year: 1972  Month: 6  Day: 25  Time: 8  Solar radiation: 626
Year: 1972  Month: 6  Day: 26  Time: 6  Solar radiation: 583
Year: 1972  Month: 6  Day: 26  Time: 7  Solar radiation: 716
Year: 1972  Month: 6  Day: 26  Time: 8  Solar radiation: 813
Year: 1986  Month: 7  Day: 3  Time: 8  Solar radiation: 667
Year: 1986  Month: 7  Day: 3  Time: 19  Solar radiation: 635
Year: 1986  Month: 7  Day: 4  Time: 8  Solar radiation: 654
Year: 1986  Month: 7  Day: 15  Time: 8  Solar radiation: 798
Year: 1986  Month: 7  Day: 17  Time: 8  Solar radiation: 564
Year: 1986  Month: 7  Day: 18  Time: 7  Solar radiation: 568
Year: 1986  Month: 7  Day: 18  Time: 8  Solar radiation: 661
Year: 1986  Month: 7  Day: 22  Time: 7  Solar radiation: 688
Year: 1986  Month: 7  Day: 22  Time: 8  Solar radiation: 780
Year: 1986  Month: 7  Day: 27  Time: 7  Solar radiation: 696
Year: 1986  Month: 7  Day: 27  Time: 8  Solar radiation: 788
Year: 1986  Month: 7  Day: 28  Time: 7  Solar radiation: 646
Year: 1961  Month: 8  Day: 12  Time: 8  Solar radiation: 599
Year: 1961  Month: 8  Day: 16  Time: 8  Solar radiation: 565
Year: 1985  Month: 9  Day: 5  Time: 8  Solar radiation: 623
Wrong Global Horizontal Radiation:
==================================
Wrong Diffuse Horizontal Radiation:
====================================
