                Average Minimum and Maximum Temperatures
                ========================================

                         Maximum Temperatures:
Month:	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	
AvgMax:-1.77	4.25	-1.92	-2.19	5.8	17.6	13.84	13.49	13.59	13.88	14.01	7.52	
Time:11	13	12	12	8	12	14	14	14	14	13	13	

                         Minimum Temperatures
Month:	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	
AvgMin:-12.66	-8.82	-11.75	-12.19	-1.7	1.35	1.34	1.05	1.05	1.2	1.69	-4.27	
Time: 	10	8	11	11	1	3	9	10	10	9	11	6	

=================================================================================================

                           Solar Radiation Analysis
                            ========================
Lines checked: 2646
===============
No. of wrong lines: 123
==================
Wrong Direct Normal Radiation:
=================================
Year: 1996  Month: 3  Day: 26  Time: 8  Solar radiation: 624
Year: 1991  Month: 4  Day: 1  Time: 8  Solar radiation: 651
Year: 1991  Month: 4  Day: 2  Time: 8  Solar radiation: 759
Year: 1991  Month: 4  Day: 21  Time: 8  Solar radiation: 761
Year: 1991  Month: 4  Day: 22  Time: 7  Solar radiation: 672
Year: 1991  Month: 4  Day: 22  Time: 8  Solar radiation: 819
Year: 1991  Month: 4  Day: 24  Time: 8  Solar radiation: 580
Year: 1991  Month: 5  Day: 6  Time: 8  Solar radiation: 598
Year: 1991  Month: 5  Day: 14  Time: 8  Solar radiation: 706
Year: 1991  Month: 5  Day: 21  Time: 8  Solar radiation: 803
Year: 1991  Month: 5  Day: 23  Time: 8  Solar radiation: 775
Year: 1991  Month: 5  Day: 25  Time: 8  Solar radiation: 731
Year: 1991  Month: 5  Day: 29  Time: 8  Solar radiation: 779
Year: 1991  Month: 5  Day: 30  Time: 8  Solar radiation: 856
Year: 1991  Month: 5  Day: 31  Time: 8  Solar radiation: 630
Year: 2000  Month: 6  Day: 2  Time: 7  Solar radiation: 710
Year: 2000  Month: 6  Day: 2  Time: 8  Solar radiation: 767
Year: 2000  Month: 6  Day: 5  Time: 7  Solar radiation: 697
Year: 2000  Month: 6  Day: 5  Time: 8  Solar radiation: 761
Year: 2000  Month: 6  Day: 6  Time: 8  Solar radiation: 761
Year: 2000  Month: 6  Day: 7  Time: 7  Solar radiation: 609
Year: 2000  Month: 6  Day: 7  Time: 8  Solar radiation: 755
Year: 2000  Month: 6  Day: 8  Time: 8  Solar radiation: 656
Year: 2000  Month: 6  Day: 10  Time: 8  Solar radiation: 755
Year: 2000  Month: 6  Day: 11  Time: 7  Solar radiation: 652
Year: 2000  Month: 6  Day: 11  Time: 8  Solar radiation: 712
Year: 2000  Month: 6  Day: 12  Time: 7  Solar radiation: 646
Year: 2000  Month: 6  Day: 12  Time: 8  Solar radiation: 693
Year: 2000  Month: 6  Day: 14  Time: 7  Solar radiation: 690
Year: 2000  Month: 6  Day: 14  Time: 8  Solar radiation: 779
Year: 2000  Month: 6  Day: 18  Time: 7  Solar radiation: 696
Year: 2000  Month: 6  Day: 18  Time: 8  Solar radiation: 773
Year: 2000  Month: 6  Day: 21  Time: 7  Solar radiation: 703
Year: 2000  Month: 6  Day: 21  Time: 8  Solar radiation: 785
Year: 2000  Month: 6  Day: 22  Time: 8  Solar radiation: 558
Year: 2000  Month: 6  Day: 23  Time: 7  Solar radiation: 634
Year: 2000  Month: 6  Day: 23  Time: 8  Solar radiation: 761
Year: 2000  Month: 6  Day: 24  Time: 7  Solar radiation: 684
Year: 2000  Month: 6  Day: 24  Time: 8  Solar radiation: 773
Year: 2000  Month: 6  Day: 27  Time: 7  Solar radiation: 654
Year: 2000  Month: 6  Day: 27  Time: 8  Solar radiation: 773
Year: 2000  Month: 6  Day: 28  Time: 7  Solar radiation: 660
Year: 2000  Month: 6  Day: 28  Time: 8  Solar radiation: 669
