                Average Minimum and Maximum Temperatures
                ========================================

                         Maximum Temperatures:
Month:	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	
AvgMax:-2.06	1.2	9.43	9.75	13.66	14.53	16.18	17.13	15.74	15.63	16.09	16.98	
Time:13	14	12	12	14	14	14	14	14	14	14	14	

                         Minimum Temperatures
Month:	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	
AvgMin:-14.14	-10.47	-2.56	-2.56	5.44	4.82	3.89	3.89	2.67	2.55	2.83	3.73	
Time: 	9	10	9	9	13	12	11	10	10	10	10	10	

=================================================================================================

                           Solar Radiation Analysis
                            ========================
Lines checked: 2750
===============
No. of wrong lines: 59
==================
Wrong Direct Normal Radiation:
=================================
Year: 1976  Month: 3  Day: 31  Time: 8  Solar radiation: 551
Year: 1986  Month: 4  Day: 5  Time: 8  Solar radiation: 595
Year: 1986  Month: 4  Day: 6  Time: 8  Solar radiation: 692
Year: 1986  Month: 4  Day: 9  Time: 8  Solar radiation: 670
Year: 1986  Month: 4  Day: 11  Time: 8  Solar radiation: 630
Year: 1986  Month: 4  Day: 21  Time: 8  Solar radiation: 562
Year: 1986  Month: 4  Day: 22  Time: 8  Solar radiation: 653
Year: 1986  Month: 4  Day: 23  Time: 8  Solar radiation: 725
Year: 1986  Month: 4  Day: 28  Time: 8  Solar radiation: 687
Year: 1980  Month: 5  Day: 1  Time: 8  Solar radiation: 584
Year: 1980  Month: 5  Day: 4  Time: 8  Solar radiation: 723
Year: 1980  Month: 5  Day: 5  Time: 8  Solar radiation: 679
Year: 1980  Month: 5  Day: 6  Time: 7  Solar radiation: 552
Year: 1980  Month: 5  Day: 6  Time: 8  Solar radiation: 761
Year: 1980  Month: 5  Day: 8  Time: 8  Solar radiation: 722
Year: 1980  Month: 5  Day: 19  Time: 8  Solar radiation: 593
Year: 1980  Month: 5  Day: 21  Time: 7  Solar radiation: 558
Year: 1980  Month: 5  Day: 21  Time: 8  Solar radiation: 728
Year: 1980  Month: 5  Day: 22  Time: 7  Solar radiation: 572
Year: 1980  Month: 5  Day: 22  Time: 8  Solar radiation: 746
Year: 1980  Month: 5  Day: 23  Time: 7  Solar radiation: 553
Year: 1980  Month: 5  Day: 23  Time: 8  Solar radiation: 730
Year: 1980  Month: 5  Day: 30  Time: 8  Solar radiation: 671
Year: 1980  Month: 6  Day: 3  Time: 8  Solar radiation: 617
Year: 1980  Month: 6  Day: 5  Time: 8  Solar radiation: 611
Year: 1980  Month: 6  Day: 8  Time: 8  Solar radiation: 632
Year: 1980  Month: 6  Day: 9  Time: 8  Solar radiation: 713
Year: 1980  Month: 6  Day: 10  Time: 7  Solar radiation: 580
Year: 1980  Month: 6  Day: 10  Time: 8  Solar radiation: 746
Year: 1980  Month: 6  Day: 11  Time: 7  Solar radiation: 568
Year: 1980  Month: 6  Day: 11  Time: 8  Solar radiation: 724
Year: 1980  Month: 6  Day: 14  Time: 7  Solar radiation: 553
Year: 1980  Month: 6  Day: 14  Time: 8  Solar radiation: 686
Year: 1980  Month: 6  Day: 23  Time: 8  Solar radiation: 643
Year: 1980  Month: 6  Day: 24  Time: 8  Solar radiation: 571
Year: 1980  Month: 6  Day: 26  Time: 8  Solar radiation: 708
Year: 1980  Month: 6  Day: 27  Time: 8  Solar radiation: 694
Year: 1980  Month: 6  Day: 28  Time: 8  Solar radiation: 772
Year: 1980  Month: 6  Day: 29  Time: 8  Solar radiation: 762
Year: 1991  Month: 7  Day: 4  Time: 8  Solar radiation: 601
Year: 1991  Month: 7  Day: 5  Time: 8  Solar radiation: 700
Year: 1991  Month: 7  Day: 14  Time: 8  Solar radiation: 580
Year: 1991  Month: 7  Day: 15  Time: 8  Solar radiation: 707
Year: 1991  Month: 7  Day: 16  Time: 8  Solar radiation: 708
Year: 1991  Month: 7  Day: 17  Time: 8  Solar radiation: 695
Year: 1991  Month: 7  Day: 18  Time: 8  Solar radiation: 574
Year: 1991  Month: 7  Day: 26  Time: 8  Solar radiation: 626
Year: 1991  Month: 7  Day: 31  Time: 8  Solar radiation: 553
Year: 1979  Month: 8  Day: 1  Time: 8  Solar radiation: 680
Year: 1979  Month: 8  Day: 3  Time: 8  Solar radiation: 683
Year: 1979  Month: 8  Day: 7  Time: 8  Solar radiation: 620
Year: 1979  Month: 8  Day: 12  Time: 8  Solar radiation: 678
Year: 1979  Month: 8  Day: 22  Time: 8  Solar radiation: 685
Year: 1979  Month: 8  Day: 23  Time: 8  Solar radiation: 568
Year: 1988  Month: 9  Day: 3  Time: 8  Solar radiation: 688
Year: 1988  Month: 9  Day: 4  Time: 8  Solar radiation: 616
Year: 1988  Month: 9  Day: 6  Time: 8  Solar radiation: 689
Year: 1988  Month: 9  Day: 9  Time: 8  Solar radiation: 635
Year: 1988  Month: 9  Day: 10  Time: 8  Solar radiation: 586
Wrong Global Horizontal Radiation:
==================================
Wrong Diffuse Horizontal Radiation:
====================================
