                Average Minimum and Maximum Temperatures
                ========================================

                         Maximum Temperatures:
Month:	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	
AvgMax:17.35	17.55	18.93	17.08	17.73	18.91	19.18	19.43	17.2	19.23	19.48	19.69	
Time:12	13	13	12	13	12	12	12	11	11	12	12	

                         Minimum Temperatures
Month:	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	
AvgMin:8.75	7.2	8.18	6.19	6.62	9.2	9.49	9.65	9.1	9.81	9.76	9.8	
Time: 	8	9	10	7	7	8	8	8	4	10	9	8	

=================================================================================================

                           Solar Radiation Analysis
                            ========================
Lines checked: 2323
===============
No. of wrong lines: 37
==================
Wrong Direct Normal Radiation:
=================================
Year: 1995  Month: 2  Day: 21  Time: 8  Solar radiation: 638
Year: 2005  Month: 3  Day: 12  Time: 8  Solar radiation: 563
Year: 2005  Month: 3  Day: 13  Time: 8  Solar radiation: 588
Year: 2005  Month: 3  Day: 29  Time: 8  Solar radiation: 646
Year: 2005  Month: 3  Day: 30  Time: 8  Solar radiation: 633
Year: 1996  Month: 4  Day: 2  Time: 8  Solar radiation: 741
Year: 1996  Month: 4  Day: 7  Time: 8  Solar radiation: 674
Year: 1996  Month: 4  Day: 8  Time: 8  Solar radiation: 604
Year: 1996  Month: 4  Day: 10  Time: 8  Solar radiation: 577
Year: 1996  Month: 4  Day: 24  Time: 8  Solar radiation: 797
Year: 1996  Month: 4  Day: 25  Time: 8  Solar radiation: 657
Year: 1996  Month: 4  Day: 30  Time: 8  Solar radiation: 696
Year: 1994  Month: 5  Day: 6  Time: 7  Solar radiation: 583
Year: 1994  Month: 5  Day: 6  Time: 8  Solar radiation: 755
Year: 1994  Month: 5  Day: 19  Time: 8  Solar radiation: 606
Year: 1994  Month: 5  Day: 20  Time: 8  Solar radiation: 642
Year: 1994  Month: 5  Day: 21  Time: 8  Solar radiation: 639
Year: 1994  Month: 5  Day: 24  Time: 8  Solar radiation: 588
Year: 1994  Month: 5  Day: 25  Time: 8  Solar radiation: 583
Year: 1994  Month: 5  Day: 29  Time: 8  Solar radiation: 599
Year: 1994  Month: 5  Day: 31  Time: 8  Solar radiation: 628
Year: 1994  Month: 6  Day: 8  Time: 8  Solar radiation: 601
Year: 1994  Month: 6  Day: 18  Time: 8  Solar radiation: 597
Year: 1996  Month: 10  Day: 8  Time: 8  Solar radiation: 553
Year: 1996  Month: 10  Day: 11  Time: 8  Solar radiation: 627
Year: 1996  Month: 10  Day: 12  Time: 8  Solar radiation: 653
Year: 1996  Month: 10  Day: 13  Time: 8  Solar radiation: 583
Year: 1996  Month: 10  Day: 14  Time: 8  Solar radiation: 637
Year: 1996  Month: 10  Day: 15  Time: 8  Solar radiation: 586
Year: 1996  Month: 10  Day: 21  Time: 8  Solar radiation: 620
Year: 1997  Month: 11  Day: 4  Time: 8  Solar radiation: 623
Year: 1997  Month: 11  Day: 17  Time: 8  Solar radiation: 554
Wrong Global Horizontal Radiation:
==================================
Wrong Diffuse Horizontal Radiation:
====================================
Year: 1996  Month: 4  Day: 17  Time: 8  Solar radiation: 271
Year: 1994  Month: 5  Day: 12  Time: 8  Solar radiation: 289
Year: 1994  Month: 5  Day: 16  Time: 8  Solar radiation: 262
Year: 1994  Month: 6  Day: 3  Time: 8  Solar radiation: 274
Year: 1994  Month: 6  Day: 19  Time: 8  Solar radiation: 251
