                Average Minimum and Maximum Temperatures
                ========================================

                         Maximum Temperatures:
Month:	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	
AvgMax:-11.48	-6.72	-0.08	1.34	-1.6	11.57	11.76	12.44	12.49	12.53	14.88	14.69	
Time:12	13	14	14	8	13	13	13	13	13	12	12	

                         Minimum Temperatures
Month:	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	
AvgMin:-23.21	-18.02	-9.75	-8.69	-5.5	1.03	0.46	1.36	1.37	1.41	3.4	3.66	
Time: 	9	10	9	9	5	6	7	8	8	8	7	6	

=================================================================================================

                           Solar Radiation Analysis
                            ========================
Lines checked: 3010
===============
No. of wrong lines: 79
==================
Wrong Direct Normal Radiation:
=================================
Year: 1982  Month: 3  Day: 26  Time: 8  Solar radiation: 589
Year: 1991  Month: 4  Day: 1  Time: 8  Solar radiation: 609
Year: 1991  Month: 4  Day: 18  Time: 8  Solar radiation: 566
Year: 1991  Month: 4  Day: 21  Time: 8  Solar radiation: 658
Year: 1991  Month: 4  Day: 27  Time: 8  Solar radiation: 565
Year: 1991  Month: 4  Day: 29  Time: 8  Solar radiation: 591
Year: 1999  Month: 5  Day: 8  Time: 8  Solar radiation: 629
Year: 1999  Month: 5  Day: 9  Time: 8  Solar radiation: 658
Year: 1999  Month: 5  Day: 10  Time: 7  Solar radiation: 552
Year: 1999  Month: 5  Day: 10  Time: 8  Solar radiation: 686
Year: 1999  Month: 5  Day: 15  Time: 8  Solar radiation: 735
Year: 1999  Month: 5  Day: 16  Time: 8  Solar radiation: 571
Year: 1999  Month: 5  Day: 18  Time: 7  Solar radiation: 551
Year: 1999  Month: 5  Day: 18  Time: 8  Solar radiation: 709
Year: 1999  Month: 5  Day: 20  Time: 8  Solar radiation: 567
Year: 1973  Month: 6  Day: 1  Time: 8  Solar radiation: 614
Year: 1973  Month: 6  Day: 2  Time: 8  Solar radiation: 604
Year: 1973  Month: 6  Day: 7  Time: 8  Solar radiation: 729
Year: 1973  Month: 6  Day: 8  Time: 8  Solar radiation: 569
Year: 1973  Month: 6  Day: 23  Time: 7  Solar radiation: 589
