                Average Minimum and Maximum Temperatures
                ========================================

                         Maximum Temperatures:
Month:	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	
AvgMax:-0.76	1.67	5.3	6.27	15.0	16.53	16.66	16.87	16.85	16.41	15.96	16.52	
Time:13	14	12	12	13	13	13	14	14	14	14	14	

                         Minimum Temperatures
Month:	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	
AvgMin:-9.18	-6.3	-4.2	-2.74	6.31	6.39	6.36	6.43	5.71	5.17	5.04	5.69	
Time: 	10	10	9	9	11	10	9	9	9	10	9	8	

=================================================================================================

                           Solar Radiation Analysis
                            ========================
Lines checked: 2887
===============
No. of wrong lines: 46
==================
Wrong Direct Normal Radiation:
=================================
Year: 1980  Month: 3  Day: 24  Time: 8  Solar radiation: 558
Year: 1981  Month: 4  Day: 7  Time: 8  Solar radiation: 598
Year: 1981  Month: 4  Day: 9  Time: 8  Solar radiation: 590
Year: 1981  Month: 4  Day: 10  Time: 8  Solar radiation: 679
Year: 1981  Month: 4  Day: 13  Time: 8  Solar radiation: 604
Year: 1981  Month: 4  Day: 19  Time: 8  Solar radiation: 669
Year: 1981  Month: 4  Day: 21  Time: 8  Solar radiation: 644
Year: 1981  Month: 4  Day: 27  Time: 8  Solar radiation: 598
Year: 1985  Month: 5  Day: 4  Time: 8  Solar radiation: 699
Year: 1985  Month: 5  Day: 14  Time: 8  Solar radiation: 560
Year: 1985  Month: 5  Day: 20  Time: 8  Solar radiation: 648
Year: 1985  Month: 5  Day: 22  Time: 8  Solar radiation: 710
Year: 1985  Month: 5  Day: 27  Time: 8  Solar radiation: 624
Year: 1963  Month: 6  Day: 3  Time: 8  Solar radiation: 640
Year: 1963  Month: 6  Day: 8  Time: 8  Solar radiation: 581
Year: 1963  Month: 6  Day: 16  Time: 8  Solar radiation: 568
Year: 1963  Month: 6  Day: 17  Time: 7  Solar radiation: 620
Year: 1963  Month: 6  Day: 17  Time: 8  Solar radiation: 749
Year: 1963  Month: 6  Day: 19  Time: 7  Solar radiation: 576
Year: 1963  Month: 6  Day: 19  Time: 8  Solar radiation: 729
Year: 1963  Month: 6  Day: 23  Time: 7  Solar radiation: 613
Year: 1963  Month: 6  Day: 23  Time: 8  Solar radiation: 747
Year: 1963  Month: 6  Day: 25  Time: 8  Solar radiation: 625
Year: 1963  Month: 6  Day: 26  Time: 8  Solar radiation: 557
Year: 1963  Month: 6  Day: 27  Time: 7  Solar radiation: 578
Year: 1963  Month: 6  Day: 27  Time: 8  Solar radiation: 705
Year: 1987  Month: 7  Day: 17  Time: 7  Solar radiation: 553
Year: 1987  Month: 7  Day: 17  Time: 8  Solar radiation: 684
Year: 1987  Month: 7  Day: 21  Time: 7  Solar radiation: 587
Year: 1987  Month: 7  Day: 21  Time: 8  Solar radiation: 730
Year: 1987  Month: 7  Day: 27  Time: 8  Solar radiation: 600
Year: 1987  Month: 7  Day: 29  Time: 8  Solar radiation: 647
Year: 1975  Month: 8  Day: 9  Time: 8  Solar radiation: 597
Year: 1975  Month: 8  Day: 10  Time: 8  Solar radiation: 585
Year: 1975  Month: 8  Day: 13  Time: 8  Solar radiation: 646
Year: 1975  Month: 8  Day: 19  Time: 8  Solar radiation: 566
Year: 1975  Month: 8  Day: 23  Time: 8  Solar radiation: 657
Year: 1974  Month: 9  Day: 1  Time: 8  Solar radiation: 724
Year: 1974  Month: 9  Day: 5  Time: 8  Solar radiation: 577
Year: 1974  Month: 9  Day: 16  Time: 8  Solar radiation: 630
Year: 1974  Month: 9  Day: 24  Time: 8  Solar radiation: 701
Year: 1974  Month: 9  Day: 27  Time: 8  Solar radiation: 586
Year: 1967  Month: 10  Day: 3  Time: 8  Solar radiation: 664
Year: 1967  Month: 10  Day: 23  Time: 8  Solar radiation: 608
Wrong Global Horizontal Radiation:
==================================
Wrong Diffuse Horizontal Radiation:
====================================
Year: 1963  Month: 6  Day: 9  Time: 8  Solar radiation: 253
Year: 1963  Month: 6  Day: 14  Time: 8  Solar radiation: 264
