                Average Minimum and Maximum Temperatures
                ========================================

                         Maximum Temperatures:
Month:	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	
AvgMax:0.35	3.13	8.14	9.65	10.22	13.0	13.11	15.39	15.45	15.67	15.81	16.31	
Time:12	15	12	13	11	13	13	13	13	13	13	13	

                         Minimum Temperatures
Month:	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	
AvgMin:-7.05	-5.05	-0.45	0.13	1.67	3.15	3.04	4.42	4.4	4.44	4.39	4.39	
Time: 	11	11	6	6	4	7	7	7	7	6	6	6	

=================================================================================================

                           Solar Radiation Analysis
                            ========================
Lines checked: 2173
===============
No. of wrong lines: 49
==================
Wrong Direct Normal Radiation:
=================================
Year: 1998  Month: 3  Day: 29  Time: 8  Solar radiation: 560
Year: 2001  Month: 4  Day: 9  Time: 8  Solar radiation: 571
Year: 2001  Month: 4  Day: 19  Time: 8  Solar radiation: 616
Year: 2001  Month: 4  Day: 20  Time: 8  Solar radiation: 597
Year: 2001  Month: 4  Day: 26  Time: 8  Solar radiation: 576
Year: 2001  Month: 4  Day: 27  Time: 8  Solar radiation: 625
Year: 2001  Month: 4  Day: 29  Time: 8  Solar radiation: 557
Year: 2001  Month: 4  Day: 30  Time: 8  Solar radiation: 637
Year: 2000  Month: 5  Day: 3  Time: 8  Solar radiation: 556
Year: 2000  Month: 5  Day: 27  Time: 8  Solar radiation: 602
Year: 1997  Month: 6  Day: 4  Time: 7  Solar radiation: 658
Year: 1997  Month: 6  Day: 9  Time: 7  Solar radiation: 623
Year: 1997  Month: 6  Day: 9  Time: 8  Solar radiation: 741
Year: 1997  Month: 6  Day: 10  Time: 7  Solar radiation: 571
Year: 1997  Month: 6  Day: 10  Time: 8  Solar radiation: 669
Year: 1997  Month: 6  Day: 11  Time: 7  Solar radiation: 551
Year: 1997  Month: 6  Day: 11  Time: 8  Solar radiation: 677
Year: 1997  Month: 6  Day: 15  Time: 8  Solar radiation: 669
Year: 1997  Month: 6  Day: 16  Time: 7  Solar radiation: 622
Year: 1997  Month: 6  Day: 16  Time: 8  Solar radiation: 736
Year: 1997  Month: 6  Day: 19  Time: 8  Solar radiation: 624
Year: 1997  Month: 6  Day: 20  Time: 8  Solar radiation: 575
Year: 1997  Month: 6  Day: 21  Time: 8  Solar radiation: 665
Year: 1997  Month: 6  Day: 22  Time: 8  Solar radiation: 576
Year: 1997  Month: 6  Day: 23  Time: 7  Solar radiation: 663
Year: 1997  Month: 6  Day: 23  Time: 8  Solar radiation: 771
Year: 1997  Month: 6  Day: 25  Time: 7  Solar radiation: 616
Year: 1997  Month: 6  Day: 25  Time: 8  Solar radiation: 709
Year: 1997  Month: 6  Day: 28  Time: 7  Solar radiation: 552
Year: 1997  Month: 6  Day: 28  Time: 8  Solar radiation: 682
Year: 1997  Month: 6  Day: 29  Time: 8  Solar radiation: 582
Year: 1997  Month: 6  Day: 30  Time: 8  Solar radiation: 565
Year: 1997  Month: 8  Day: 6  Time: 8  Solar radiation: 653
Year: 1997  Month: 8  Day: 9  Time: 8  Solar radiation: 627
Year: 1997  Month: 8  Day: 11  Time: 8  Solar radiation: 573
Year: 1997  Month: 8  Day: 16  Time: 8  Solar radiation: 589
Year: 1997  Month: 8  Day: 19  Time: 8  Solar radiation: 661
Year: 1997  Month: 8  Day: 23  Time: 8  Solar radiation: 673
Year: 1996  Month: 9  Day: 3  Time: 8  Solar radiation: 609
Year: 1996  Month: 9  Day: 26  Time: 8  Solar radiation: 691
Wrong Global Horizontal Radiation:
==================================
Wrong Diffuse Horizontal Radiation:
====================================
Year: 2000  Month: 5  Day: 1  Time: 8  Solar radiation: 253
Year: 2000  Month: 5  Day: 20  Time: 8  Solar radiation: 255
Year: 2000  Month: 5  Day: 23  Time: 8  Solar radiation: 254
Year: 2000  Month: 5  Day: 25  Time: 8  Solar radiation: 260
Year: 2000  Month: 5  Day: 29  Time: 8  Solar radiation: 252
Year: 2000  Month: 5  Day: 31  Time: 8  Solar radiation: 257
Year: 1997  Month: 6  Day: 3  Time: 8  Solar radiation: 281
Year: 1997  Month: 6  Day: 24  Time: 8  Solar radiation: 269
Year: 1997  Month: 8  Day: 24  Time: 8  Solar radiation: 270
