                Average Minimum and Maximum Temperatures
                ========================================

                         Maximum Temperatures:
Month:	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	
AvgMax:13.39	14.95	20.67	20.74	15.08	14.73	14.81	15.06	15.17	15.9	16.6	17.04	
Time:14	14	14	14	12	12	12	12	12	12	13	13	

                         Minimum Temperatures
Month:	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	
AvgMin:5.46	7.55	10.7	10.65	8.62	8.12	8.11	8.15	8.26	8.61	9.08	9.19	
Time: 	9	9	7	8	9	8	8	8	7	7	8	8	

=================================================================================================

                           Solar Radiation Analysis
                            ========================
Lines checked: 2517
===============
No. of wrong lines: 64
==================
Wrong Direct Normal Radiation:
=================================
Year: 2004  Month: 3  Day: 28  Time: 8  Solar radiation: 553
Year: 1998  Month: 4  Day: 12  Time: 8  Solar radiation: 648
Year: 1998  Month: 4  Day: 15  Time: 8  Solar radiation: 656
Year: 1998  Month: 4  Day: 16  Time: 8  Solar radiation: 607
Year: 1998  Month: 4  Day: 17  Time: 8  Solar radiation: 591
Year: 1998  Month: 4  Day: 18  Time: 8  Solar radiation: 575
Year: 1998  Month: 4  Day: 21  Time: 8  Solar radiation: 701
Year: 1998  Month: 4  Day: 25  Time: 8  Solar radiation: 585
Year: 1998  Month: 4  Day: 27  Time: 8  Solar radiation: 581
Year: 2004  Month: 5  Day: 2  Time: 8  Solar radiation: 578
Year: 2004  Month: 5  Day: 6  Time: 8  Solar radiation: 568
Year: 2004  Month: 5  Day: 8  Time: 8  Solar radiation: 574
Year: 2004  Month: 5  Day: 9  Time: 8  Solar radiation: 614
Year: 2004  Month: 5  Day: 11  Time: 8  Solar radiation: 592
Year: 2004  Month: 5  Day: 12  Time: 8  Solar radiation: 615
Year: 2004  Month: 5  Day: 13  Time: 8  Solar radiation: 581
Year: 2004  Month: 5  Day: 14  Time: 8  Solar radiation: 576
Year: 2004  Month: 5  Day: 18  Time: 8  Solar radiation: 679
Year: 2004  Month: 5  Day: 19  Time: 8  Solar radiation: 611
Year: 2004  Month: 5  Day: 29  Time: 8  Solar radiation: 664
Year: 2004  Month: 5  Day: 30  Time: 8  Solar radiation: 675
Year: 2004  Month: 5  Day: 31  Time: 8  Solar radiation: 590
Year: 2004  Month: 6  Day: 1  Time: 8  Solar radiation: 601
Year: 2004  Month: 6  Day: 2  Time: 8  Solar radiation: 630
Year: 2004  Month: 6  Day: 6  Time: 8  Solar radiation: 624
Year: 2004  Month: 6  Day: 7  Time: 8  Solar radiation: 624
Year: 2004  Month: 6  Day: 8  Time: 8  Solar radiation: 624
Year: 2004  Month: 6  Day: 9  Time: 8  Solar radiation: 596
Year: 2004  Month: 6  Day: 11  Time: 8  Solar radiation: 653
Year: 2004  Month: 6  Day: 12  Time: 8  Solar radiation: 624
Year: 2004  Month: 6  Day: 13  Time: 8  Solar radiation: 670
Year: 2004  Month: 6  Day: 14  Time: 8  Solar radiation: 556
Year: 2004  Month: 6  Day: 15  Time: 8  Solar radiation: 601
Year: 2004  Month: 6  Day: 16  Time: 8  Solar radiation: 630
Year: 2004  Month: 6  Day: 25  Time: 8  Solar radiation: 675
Year: 2004  Month: 6  Day: 27  Time: 8  Solar radiation: 658
Year: 1998  Month: 7  Day: 7  Time: 8  Solar radiation: 639
Year: 1998  Month: 7  Day: 12  Time: 8  Solar radiation: 644
Year: 1998  Month: 7  Day: 15  Time: 8  Solar radiation: 655
Year: 1998  Month: 7  Day: 16  Time: 8  Solar radiation: 609
Year: 1998  Month: 7  Day: 17  Time: 8  Solar radiation: 609
Year: 1998  Month: 7  Day: 18  Time: 8  Solar radiation: 648
Year: 1998  Month: 7  Day: 19  Time: 8  Solar radiation: 654
Year: 1998  Month: 7  Day: 20  Time: 8  Solar radiation: 557
Year: 1998  Month: 8  Day: 1  Time: 8  Solar radiation: 616
Year: 1998  Month: 8  Day: 2  Time: 8  Solar radiation: 627
Year: 1998  Month: 8  Day: 3  Time: 8  Solar radiation: 644
Year: 1998  Month: 8  Day: 4  Time: 8  Solar radiation: 638
Year: 1998  Month: 8  Day: 5  Time: 8  Solar radiation: 609
Year: 1998  Month: 8  Day: 6  Time: 8  Solar radiation: 586
Year: 1998  Month: 8  Day: 10  Time: 8  Solar radiation: 607
Year: 1998  Month: 8  Day: 11  Time: 8  Solar radiation: 607
Year: 1998  Month: 8  Day: 22  Time: 8  Solar radiation: 586
Year: 1998  Month: 8  Day: 23  Time: 8  Solar radiation: 596
Year: 1998  Month: 8  Day: 24  Time: 8  Solar radiation: 596
Year: 2002  Month: 9  Day: 1  Time: 8  Solar radiation: 603
Year: 2002  Month: 9  Day: 2  Time: 8  Solar radiation: 591
Year: 2002  Month: 9  Day: 5  Time: 8  Solar radiation: 557
Year: 2002  Month: 9  Day: 8  Time: 8  Solar radiation: 561
Year: 2002  Month: 9  Day: 9  Time: 8  Solar radiation: 576
Year: 2002  Month: 9  Day: 10  Time: 8  Solar radiation: 587
Year: 2002  Month: 9  Day: 18  Time: 8  Solar radiation: 554
Year: 2002  Month: 9  Day: 19  Time: 8  Solar radiation: 591
Year: 2001  Month: 10  Day: 1  Time: 8  Solar radiation: 564
Wrong Global Horizontal Radiation:
==================================
Wrong Diffuse Horizontal Radiation:
====================================
