                Average Minimum and Maximum Temperatures
                ========================================

                         Maximum Temperatures:
Month:	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	
AvgMax:-2.37	3.27	3.22	4.83	-2.8	4.83	6.89	7.03	7.91	8.76	9.31	10.2	
Time:14	12	14	15	4	11	12	12	12	12	12	13	

                         Minimum Temperatures
Month:	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	
AvgMin:-11.92	-8.7	-4.91	-4.65	-6.1	-2.79	-2.41	-2.4	-2.07	-1.74	-1.22	-0.5	
Time: 	11	11	7	10	15	10	9	8	8	7	8	7	

=================================================================================================

                           Solar Radiation Analysis
                            ========================
Lines checked: 2880
===============
No. of wrong lines: 85
==================
Wrong Direct Normal Radiation:
=================================
Year: 1971  Month: 3  Day: 15  Time: 8  Solar radiation: 565
Year: 1957  Month: 4  Day: 2  Time: 8  Solar radiation: 656
Year: 1957  Month: 4  Day: 7  Time: 8  Solar radiation: 577
Year: 1957  Month: 4  Day: 17  Time: 8  Solar radiation: 611
Year: 1957  Month: 4  Day: 18  Time: 8  Solar radiation: 667
Year: 1957  Month: 4  Day: 20  Time: 8  Solar radiation: 563
Year: 1957  Month: 4  Day: 22  Time: 8  Solar radiation: 732
Year: 1957  Month: 4  Day: 24  Time: 8  Solar radiation: 630
Year: 1957  Month: 4  Day: 29  Time: 8  Solar radiation: 746
Year: 1961  Month: 5  Day: 3  Time: 8  Solar radiation: 741
Year: 1961  Month: 5  Day: 4  Time: 8  Solar radiation: 742
Year: 1961  Month: 5  Day: 9  Time: 8  Solar radiation: 648
Year: 1961  Month: 5  Day: 11  Time: 8  Solar radiation: 748
Year: 1961  Month: 5  Day: 12  Time: 8  Solar radiation: 651
Year: 1961  Month: 5  Day: 13  Time: 8  Solar radiation: 749
Year: 1961  Month: 5  Day: 19  Time: 8  Solar radiation: 757
Year: 1961  Month: 5  Day: 20  Time: 7  Solar radiation: 560
Year: 1961  Month: 5  Day: 20  Time: 8  Solar radiation: 758
Year: 1961  Month: 5  Day: 22  Time: 8  Solar radiation: 669
