                Average Minimum and Maximum Temperatures
                ========================================

                         Maximum Temperatures:
Month:	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	
AvgMax:-11.76	-4.96	-2.71	-0.89	-0.56	3.73	4.85	5.98	8.03	8.17	9.29	9.02	
Time:11	13	13	14	12	13	13	13	13	13	13	13	

                         Minimum Temperatures
Month:	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	
AvgMin:-23.22	-19.8	-15.8	-13.74	-8.14	-5.51	-5.36	-5.15	-4.1	-3.92	-3.12	-3.51	
Time: 	13	13	11	11	16	12	12	11	11	10	10	11	

=================================================================================================

                           Solar Radiation Analysis
                            ========================
Lines checked: 2732
===============
No. of wrong lines: 71
==================
Wrong Direct Normal Radiation:
=================================
Year: 1997  Month: 3  Day: 26  Time: 8  Solar radiation: 690
Year: 1994  Month: 4  Day: 5  Time: 8  Solar radiation: 679
Year: 1994  Month: 4  Day: 10  Time: 8  Solar radiation: 697
Year: 1994  Month: 4  Day: 11  Time: 8  Solar radiation: 583
Year: 1994  Month: 4  Day: 12  Time: 8  Solar radiation: 659
Year: 1994  Month: 4  Day: 16  Time: 8  Solar radiation: 670
Year: 1994  Month: 4  Day: 17  Time: 8  Solar radiation: 772
Year: 1994  Month: 4  Day: 18  Time: 8  Solar radiation: 606
Year: 1994  Month: 4  Day: 21  Time: 7  Solar radiation: 590
Year: 1994  Month: 4  Day: 21  Time: 8  Solar radiation: 769
Year: 1994  Month: 4  Day: 22  Time: 7  Solar radiation: 640
Year: 1994  Month: 4  Day: 22  Time: 8  Solar radiation: 808
Year: 1994  Month: 4  Day: 30  Time: 8  Solar radiation: 564
Year: 1978  Month: 5  Day: 1  Time: 8  Solar radiation: 762
Year: 1978  Month: 5  Day: 3  Time: 7  Solar radiation: 589
Year: 1978  Month: 5  Day: 3  Time: 8  Solar radiation: 739
Year: 1978  Month: 5  Day: 4  Time: 8  Solar radiation: 562
Year: 1978  Month: 5  Day: 5  Time: 8  Solar radiation: 712
Year: 1978  Month: 5  Day: 6  Time: 7  Solar radiation: 655
Year: 1978  Month: 5  Day: 6  Time: 8  Solar radiation: 794
Year: 1978  Month: 5  Day: 7  Time: 8  Solar radiation: 599
Year: 1978  Month: 5  Day: 14  Time: 8  Solar radiation: 715
Year: 1978  Month: 5  Day: 16  Time: 8  Solar radiation: 692
Year: 1978  Month: 5  Day: 17  Time: 8  Solar radiation: 676
Year: 1978  Month: 5  Day: 18  Time: 8  Solar radiation: 711
Year: 1978  Month: 5  Day: 21  Time: 8  Solar radiation: 661
Year: 2002  Month: 6  Day: 1  Time: 8  Solar radiation: 671
Year: 2002  Month: 6  Day: 3  Time: 7  Solar radiation: 557
Year: 2002  Month: 6  Day: 3  Time: 8  Solar radiation: 609
Year: 2002  Month: 6  Day: 4  Time: 8  Solar radiation: 554
Year: 2002  Month: 6  Day: 7  Time: 8  Solar radiation: 726
Year: 2002  Month: 6  Day: 8  Time: 7  Solar radiation: 600
Year: 2002  Month: 6  Day: 8  Time: 8  Solar radiation: 652
Year: 2002  Month: 6  Day: 13  Time: 7  Solar radiation: 606
Year: 2002  Month: 6  Day: 13  Time: 8  Solar radiation: 621
Year: 2002  Month: 6  Day: 14  Time: 7  Solar radiation: 606
Year: 2002  Month: 6  Day: 14  Time: 8  Solar radiation: 714
Year: 2002  Month: 6  Day: 15  Time: 7  Solar radiation: 613
Year: 2002  Month: 6  Day: 15  Time: 8  Solar radiation: 744
Year: 2002  Month: 6  Day: 16  Time: 8  Solar radiation: 591
Year: 2002  Month: 6  Day: 17  Time: 7  Solar radiation: 606
Year: 2002  Month: 6  Day: 17  Time: 8  Solar radiation: 726
Year: 2002  Month: 6  Day: 18  Time: 8  Solar radiation: 652
Year: 2002  Month: 6  Day: 21  Time: 7  Solar radiation: 600
Year: 2002  Month: 6  Day: 25  Time: 8  Solar radiation: 640
Year: 2002  Month: 6  Day: 28  Time: 8  Solar radiation: 634
Year: 1999  Month: 7  Day: 1  Time: 8  Solar radiation: 671
Year: 1999  Month: 7  Day: 6  Time: 7  Solar radiation: 565
Year: 1999  Month: 7  Day: 6  Time: 8  Solar radiation: 629
Year: 1999  Month: 7  Day: 7  Time: 8  Solar radiation: 641
Year: 1999  Month: 7  Day: 10  Time: 8  Solar radiation: 648
Year: 1999  Month: 7  Day: 11  Time: 8  Solar radiation: 586
Year: 1999  Month: 7  Day: 12  Time: 8  Solar radiation: 623
Year: 1999  Month: 7  Day: 18  Time: 8  Solar radiation: 581
Year: 1999  Month: 7  Day: 19  Time: 8  Solar radiation: 631
Year: 1999  Month: 7  Day: 23  Time: 7  Solar radiation: 560
Year: 1999  Month: 7  Day: 24  Time: 8  Solar radiation: 619
Year: 1999  Month: 7  Day: 26  Time: 8  Solar radiation: 638
Year: 1999  Month: 7  Day: 27  Time: 8  Solar radiation: 620
Year: 1999  Month: 7  Day: 28  Time: 8  Solar radiation: 564
Year: 1999  Month: 7  Day: 29  Time: 8  Solar radiation: 682
Year: 1999  Month: 7  Day: 31  Time: 8  Solar radiation: 708
Year: 2002  Month: 8  Day: 5  Time: 8  Solar radiation: 635
Year: 2002  Month: 8  Day: 6  Time: 8  Solar radiation: 654
Year: 2002  Month: 8  Day: 13  Time: 8  Solar radiation: 663
Year: 2002  Month: 8  Day: 19  Time: 8  Solar radiation: 571
Year: 2002  Month: 8  Day: 20  Time: 8  Solar radiation: 660
Year: 2002  Month: 8  Day: 22  Time: 8  Solar radiation: 630
Year: 2002  Month: 8  Day: 25  Time: 8  Solar radiation: 644
Year: 1988  Month: 9  Day: 5  Time: 8  Solar radiation: 642
Year: 1988  Month: 9  Day: 9  Time: 8  Solar radiation: 753
Wrong Global Horizontal Radiation:
==================================
Wrong Diffuse Horizontal Radiation:
====================================
