                Average Minimum and Maximum Temperatures
                ========================================

                         Maximum Temperatures:
Month:	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	
AvgMax:18.61	18.62	17.41	17.74	16.33	16.4	16.33	17.0	18.25	19.11	19.0	18.81	
Time:13	12	12	12	11	12	12	12	11	11	11	11	

                         Minimum Temperatures
Month:	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	
AvgMin:9.39	10.78	11.54	11.86	11.33	10.6	10.33	10.43	10.75	11.0	11.6	11.44	
Time: 	8	5	4	5	9	7	6	6	5	5	5	5	

=================================================================================================

                           Solar Radiation Analysis
                            ========================
Lines checked: 1906
===============
No. of wrong lines: 51
==================
Wrong Direct Normal Radiation:
=================================
Year: 2001  Month: 3  Day: 27  Time: 8  Solar radiation: 561
Year: 2003  Month: 4  Day: 3  Time: 8  Solar radiation: 595
Year: 2003  Month: 4  Day: 5  Time: 8  Solar radiation: 618
Year: 2003  Month: 4  Day: 6  Time: 8  Solar radiation: 636
Year: 2003  Month: 4  Day: 7  Time: 8  Solar radiation: 609
Year: 2003  Month: 4  Day: 8  Time: 8  Solar radiation: 599
Year: 2003  Month: 4  Day: 9  Time: 8  Solar radiation: 638
Year: 2003  Month: 4  Day: 15  Time: 8  Solar radiation: 569
Year: 2003  Month: 4  Day: 16  Time: 8  Solar radiation: 683
Year: 2003  Month: 4  Day: 19  Time: 8  Solar radiation: 617
Year: 2003  Month: 4  Day: 26  Time: 8  Solar radiation: 717
Year: 2003  Month: 4  Day: 28  Time: 8  Solar radiation: 615
Year: 2003  Month: 4  Day: 29  Time: 8  Solar radiation: 627
Year: 2003  Month: 4  Day: 30  Time: 8  Solar radiation: 684
Year: 1999  Month: 5  Day: 5  Time: 8  Solar radiation: 640
Year: 1999  Month: 5  Day: 6  Time: 8  Solar radiation: 635
Year: 1999  Month: 5  Day: 7  Time: 8  Solar radiation: 606
Year: 1999  Month: 5  Day: 15  Time: 8  Solar radiation: 608
Year: 1999  Month: 5  Day: 17  Time: 8  Solar radiation: 660
Year: 1999  Month: 5  Day: 18  Time: 8  Solar radiation: 574
Year: 1999  Month: 5  Day: 24  Time: 8  Solar radiation: 638
Year: 1998  Month: 6  Day: 1  Time: 8  Solar radiation: 604
Year: 1998  Month: 6  Day: 5  Time: 8  Solar radiation: 627
Year: 1998  Month: 6  Day: 7  Time: 8  Solar radiation: 645
Year: 1998  Month: 6  Day: 14  Time: 8  Solar radiation: 627
Year: 1998  Month: 6  Day: 18  Time: 8  Solar radiation: 633
Year: 1998  Month: 6  Day: 29  Time: 8  Solar radiation: 598
Year: 1998  Month: 6  Day: 30  Time: 8  Solar radiation: 626
Year: 2004  Month: 7  Day: 10  Time: 8  Solar radiation: 596
Year: 2004  Month: 7  Day: 12  Time: 8  Solar radiation: 579
Year: 2004  Month: 7  Day: 13  Time: 8  Solar radiation: 607
Year: 2004  Month: 7  Day: 14  Time: 8  Solar radiation: 613
Year: 2004  Month: 7  Day: 17  Time: 8  Solar radiation: 601
Year: 2004  Month: 7  Day: 18  Time: 8  Solar radiation: 606
Year: 2004  Month: 7  Day: 19  Time: 8  Solar radiation: 612
Year: 2004  Month: 7  Day: 20  Time: 8  Solar radiation: 595
Year: 2004  Month: 7  Day: 21  Time: 8  Solar radiation: 600
Year: 1994  Month: 8  Day: 3  Time: 8  Solar radiation: 750
Year: 1994  Month: 8  Day: 8  Time: 8  Solar radiation: 638
Year: 1994  Month: 8  Day: 15  Time: 8  Solar radiation: 650
Year: 1994  Month: 8  Day: 18  Time: 8  Solar radiation: 608
Year: 1994  Month: 8  Day: 24  Time: 8  Solar radiation: 634
Year: 1994  Month: 8  Day: 25  Time: 8  Solar radiation: 603
Year: 1994  Month: 8  Day: 28  Time: 8  Solar radiation: 620
Year: 1995  Month: 9  Day: 6  Time: 8  Solar radiation: 590
Year: 1995  Month: 9  Day: 11  Time: 8  Solar radiation: 622
Year: 1995  Month: 9  Day: 12  Time: 8  Solar radiation: 662
Year: 1995  Month: 9  Day: 15  Time: 8  Solar radiation: 703
Year: 1995  Month: 9  Day: 20  Time: 8  Solar radiation: 572
Year: 1995  Month: 9  Day: 30  Time: 8  Solar radiation: 612
Year: 2000  Month: 10  Day: 14  Time: 8  Solar radiation: 568
Wrong Global Horizontal Radiation:
==================================
Wrong Diffuse Horizontal Radiation:
====================================
