                Average Minimum and Maximum Temperatures
                ========================================

                         Maximum Temperatures:
Month:	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	
AvgMax:1.16	0.98	5.73	8.33	13.95	9.23	10.83	15.07	15.2	15.02	14.22	14.22	
Time:11	14	12	12	12	13	14	10	10	10	11	12	

                         Minimum Temperatures
Month:	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	
AvgMin:-5.2	-6.73	-0.78	0.39	1.3	0.19	1.34	7.22	7.22	6.45	5.4	5.03	
Time: 	14	9	11	11	4	10	9	13	13	12	12	12	

=================================================================================================

                           Solar Radiation Analysis
                            ========================
Lines checked: 2960
===============
No. of wrong lines: 53
==================
Wrong Direct Normal Radiation:
=================================
Year: 2005  Month: 3  Day: 19  Time: 8  Solar radiation: 664
Year: 2005  Month: 4  Day: 2  Time: 8  Solar radiation: 700
Year: 2005  Month: 4  Day: 9  Time: 8  Solar radiation: 711
Year: 2005  Month: 5  Day: 10  Time: 6  Solar radiation: 616
Year: 2005  Month: 5  Day: 10  Time: 7  Solar radiation: 696
Year: 2005  Month: 5  Day: 28  Time: 7  Solar radiation: 556
Year: 2005  Month: 5  Day: 29  Time: 6  Solar radiation: 645
Year: 2005  Month: 5  Day: 29  Time: 7  Solar radiation: 705
Year: 2005  Month: 5  Day: 29  Time: 8  Solar radiation: 570
Year: 2005  Month: 5  Day: 30  Time: 6  Solar radiation: 569
Year: 2005  Month: 6  Day: 5  Time: 6  Solar radiation: 568
Year: 2005  Month: 6  Day: 5  Time: 7  Solar radiation: 568
Year: 2005  Month: 6  Day: 6  Time: 6  Solar radiation: 649
Year: 2005  Month: 6  Day: 6  Time: 7  Solar radiation: 706
Year: 2005  Month: 6  Day: 6  Time: 8  Solar radiation: 735
Year: 2005  Month: 6  Day: 7  Time: 6  Solar radiation: 649
Year: 2005  Month: 6  Day: 7  Time: 7  Solar radiation: 706
Year: 2005  Month: 6  Day: 7  Time: 8  Solar radiation: 735
Year: 2005  Month: 6  Day: 8  Time: 6  Solar radiation: 649
Year: 2005  Month: 6  Day: 8  Time: 7  Solar radiation: 706
Year: 2005  Month: 6  Day: 8  Time: 8  Solar radiation: 735
Year: 2005  Month: 6  Day: 9  Time: 6  Solar radiation: 579
Year: 2005  Month: 6  Day: 11  Time: 6  Solar radiation: 588
Year: 2005  Month: 6  Day: 12  Time: 7  Solar radiation: 706
Year: 2005  Month: 6  Day: 12  Time: 8  Solar radiation: 595
Year: 2005  Month: 7  Day: 6  Time: 7  Solar radiation: 700
Year: 2005  Month: 7  Day: 6  Time: 8  Solar radiation: 731
Year: 2005  Month: 7  Day: 7  Time: 6  Solar radiation: 638
Year: 2005  Month: 7  Day: 7  Time: 7  Solar radiation: 700
Year: 2005  Month: 7  Day: 7  Time: 8  Solar radiation: 610
Year: 2005  Month: 7  Day: 13  Time: 6  Solar radiation: 632
Year: 2005  Month: 7  Day: 13  Time: 7  Solar radiation: 697
Year: 2005  Month: 7  Day: 22  Time: 6  Solar radiation: 618
Year: 2005  Month: 7  Day: 30  Time: 7  Solar radiation: 686
Year: 2005  Month: 7  Day: 30  Time: 8  Solar radiation: 571
Year: 2005  Month: 8  Day: 13  Time: 7  Solar radiation: 672
Year: 2005  Month: 8  Day: 14  Time: 7  Solar radiation: 671
Year: 2005  Month: 8  Day: 14  Time: 8  Solar radiation: 719
Year: 2005  Month: 8  Day: 17  Time: 7  Solar radiation: 667
Year: 2005  Month: 8  Day: 17  Time: 8  Solar radiation: 717
Year: 2005  Month: 8  Day: 18  Time: 7  Solar radiation: 666
Year: 2005  Month: 8  Day: 18  Time: 8  Solar radiation: 717
Year: 2005  Month: 8  Day: 31  Time: 7  Solar radiation: 644
Year: 2005  Month: 9  Day: 18  Time: 8  Solar radiation: 626
Wrong Global Horizontal Radiation:
==================================
Wrong Diffuse Horizontal Radiation:
====================================
Year: 2005  Month: 5  Day: 13  Time: 8  Solar radiation: 253
Year: 2005  Month: 5  Day: 17  Time: 8  Solar radiation: 253
Year: 2005  Month: 5  Day: 18  Time: 8  Solar radiation: 261
Year: 2005  Month: 5  Day: 20  Time: 8  Solar radiation: 263
Year: 2005  Month: 5  Day: 23  Time: 8  Solar radiation: 264
Year: 2005  Month: 5  Day: 26  Time: 8  Solar radiation: 267
Year: 2005  Month: 5  Day: 31  Time: 8  Solar radiation: 261
Year: 2005  Month: 6  Day: 15  Time: 8  Solar radiation: 273
Year: 2005  Month: 6  Day: 18  Time: 8  Solar radiation: 275
Year: 2005  Month: 7  Day: 2  Time: 8  Solar radiation: 268
Year: 2005  Month: 7  Day: 5  Time: 8  Solar radiation: 266
Year: 2005  Month: 7  Day: 10  Time: 8  Solar radiation: 266
Year: 2005  Month: 7  Day: 25  Time: 8  Solar radiation: 251
