                Average Minimum and Maximum Temperatures
                ========================================

                         Maximum Temperatures:
Month:	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	
AvgMax:2.15	5.04	11.07	11.02	7.12	11.97	14.27	15.56	17.17	17.93	18.36	19.39	
Time:13	13	12	13	10	12	12	12	12	13	13	13	

                         Minimum Temperatures
Month:	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	
AvgMin:-6.83	-4.56	-0.0	-0.54	-0.22	1.83	3.09	3.61	6.14	6.14	6.51	7.55	
Time: 	12	10	12	11	9	8	10	9	8	8	8	8	

=================================================================================================

                           Solar Radiation Analysis
                            ========================
Lines checked: 2611
===============
No. of wrong lines: 46
==================
Wrong Direct Normal Radiation:
=================================
Year: 1964  Month: 3  Day: 26  Time: 8  Solar radiation: 591
Year: 1970  Month: 4  Day: 5  Time: 8  Solar radiation: 560
Year: 1970  Month: 4  Day: 7  Time: 8  Solar radiation: 699
Year: 1970  Month: 4  Day: 9  Time: 8  Solar radiation: 570
Year: 1970  Month: 4  Day: 10  Time: 8  Solar radiation: 654
Year: 1970  Month: 4  Day: 22  Time: 8  Solar radiation: 631
Year: 1970  Month: 4  Day: 25  Time: 8  Solar radiation: 643
Year: 1970  Month: 4  Day: 26  Time: 8  Solar radiation: 673
Year: 1970  Month: 4  Day: 28  Time: 8  Solar radiation: 675
Year: 1971  Month: 5  Day: 8  Time: 8  Solar radiation: 595
Year: 1971  Month: 5  Day: 13  Time: 7  Solar radiation: 634
Year: 1971  Month: 5  Day: 13  Time: 8  Solar radiation: 716
Year: 1971  Month: 5  Day: 14  Time: 8  Solar radiation: 760
Year: 1971  Month: 5  Day: 25  Time: 7  Solar radiation: 557
Year: 1971  Month: 5  Day: 25  Time: 8  Solar radiation: 709
Year: 1971  Month: 5  Day: 28  Time: 8  Solar radiation: 554
Year: 1975  Month: 6  Day: 1  Time: 8  Solar radiation: 562
Year: 1975  Month: 6  Day: 3  Time: 8  Solar radiation: 689
Year: 1975  Month: 6  Day: 6  Time: 8  Solar radiation: 688
Year: 1975  Month: 6  Day: 12  Time: 7  Solar radiation: 625
Year: 1975  Month: 6  Day: 12  Time: 8  Solar radiation: 764
Year: 1975  Month: 6  Day: 13  Time: 7  Solar radiation: 562
Year: 1975  Month: 6  Day: 13  Time: 8  Solar radiation: 705
Year: 1975  Month: 6  Day: 20  Time: 8  Solar radiation: 602
Year: 1975  Month: 6  Day: 21  Time: 7  Solar radiation: 564
Year: 1975  Month: 6  Day: 21  Time: 8  Solar radiation: 710
Year: 1975  Month: 6  Day: 24  Time: 8  Solar radiation: 759
Year: 1975  Month: 6  Day: 25  Time: 8  Solar radiation: 610
Year: 1975  Month: 6  Day: 28  Time: 8  Solar radiation: 671
Year: 1963  Month: 7  Day: 3  Time: 8  Solar radiation: 731
Year: 1963  Month: 7  Day: 4  Time: 8  Solar radiation: 670
Year: 1963  Month: 7  Day: 14  Time: 8  Solar radiation: 641
Year: 1963  Month: 7  Day: 19  Time: 8  Solar radiation: 719
Year: 1963  Month: 7  Day: 20  Time: 8  Solar radiation: 718
Year: 1979  Month: 8  Day: 4  Time: 8  Solar radiation: 645
Year: 1979  Month: 8  Day: 8  Time: 8  Solar radiation: 642
Year: 1979  Month: 8  Day: 12  Time: 8  Solar radiation: 675
Year: 1979  Month: 8  Day: 13  Time: 8  Solar radiation: 562
Year: 1979  Month: 8  Day: 17  Time: 8  Solar radiation: 625
Year: 1979  Month: 8  Day: 18  Time: 8  Solar radiation: 652
Year: 1979  Month: 8  Day: 23  Time: 8  Solar radiation: 695
Year: 1979  Month: 8  Day: 28  Time: 8  Solar radiation: 551
Year: 1967  Month: 9  Day: 21  Time: 8  Solar radiation: 652
Year: 1967  Month: 9  Day: 25  Time: 8  Solar radiation: 573
Year: 1967  Month: 9  Day: 30  Time: 8  Solar radiation: 565
Year: 1968  Month: 10  Day: 4  Time: 8  Solar radiation: 589
Wrong Global Horizontal Radiation:
==================================
Wrong Diffuse Horizontal Radiation:
====================================
