                Average Minimum and Maximum Temperatures
                ========================================

                         Maximum Temperatures:
Month:	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	
AvgMax:-0.41	4.62	12.28	12.71	19.09	19.76	21.1	21.55	21.57	24.72	25.48	25.86	
Time:16	15	16	16	16	16	17	17	17	17	17	17	

                         Minimum Temperatures
Month:	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	
AvgMin:-9.76	-4.64	1.26	1.66	8.42	8.39	9.08	9.28	9.35	14.16	13.81	13.58	
Time: 	9	8	8	7	9	9	8	8	8	7	7	7	

=================================================================================================

                           Solar Radiation Analysis
                            ========================
Lines checked: 2489
===============
No. of wrong lines: 31
==================
Wrong Direct Normal Radiation:
=================================
Wrong Global Horizontal Radiation:
==================================
Wrong Diffuse Horizontal Radiation:
====================================
Year: 1990  Month: 3  Day: 25  Time: 19  Solar radiation: 262
Year: 1999  Month: 4  Day: 14  Time: 19  Solar radiation: 338
Year: 1999  Month: 4  Day: 16  Time: 19  Solar radiation: 268
Year: 1999  Month: 4  Day: 25  Time: 19  Solar radiation: 381
Year: 1999  Month: 4  Day: 29  Time: 19  Solar radiation: 404
Year: 1999  Month: 5  Day: 10  Time: 19  Solar radiation: 420
Year: 1999  Month: 5  Day: 15  Time: 19  Solar radiation: 317
Year: 1999  Month: 5  Day: 17  Time: 19  Solar radiation: 331
Year: 1999  Month: 5  Day: 18  Time: 19  Solar radiation: 296
Year: 1999  Month: 5  Day: 21  Time: 19  Solar radiation: 361
Year: 1999  Month: 5  Day: 22  Time: 19  Solar radiation: 419
Year: 1999  Month: 5  Day: 22  Time: 20  Solar radiation: 282
Year: 1999  Month: 6  Day: 4  Time: 19  Solar radiation: 391
Year: 1999  Month: 6  Day: 7  Time: 19  Solar radiation: 339
Year: 1999  Month: 6  Day: 11  Time: 19  Solar radiation: 402
Year: 1999  Month: 6  Day: 11  Time: 20  Solar radiation: 267
Year: 1999  Month: 6  Day: 13  Time: 19  Solar radiation: 333
Year: 1999  Month: 6  Day: 15  Time: 19  Solar radiation: 421
Year: 1999  Month: 6  Day: 15  Time: 20  Solar radiation: 293
Year: 1999  Month: 6  Day: 21  Time: 19  Solar radiation: 399
Year: 1999  Month: 6  Day: 21  Time: 20  Solar radiation: 300
Year: 1999  Month: 6  Day: 22  Time: 19  Solar radiation: 413
Year: 1999  Month: 6  Day: 22  Time: 20  Solar radiation: 294
Year: 1999  Month: 6  Day: 27  Time: 19  Solar radiation: 445
Year: 1999  Month: 6  Day: 27  Time: 20  Solar radiation: 276
Year: 1999  Month: 6  Day: 30  Time: 19  Solar radiation: 371
Year: 1999  Month: 6  Day: 30  Time: 20  Solar radiation: 272
Year: 1974  Month: 7  Day: 6  Time: 20  Solar radiation: 275
Year: 1974  Month: 7  Day: 15  Time: 19  Solar radiation: 268
Year: 1974  Month: 7  Day: 27  Time: 19  Solar radiation: 260
Year: 1974  Month: 7  Day: 27  Time: 20  Solar radiation: 322
Year: 1974  Month: 7  Day: 28  Time: 19  Solar radiation: 312
Year: 1980  Month: 8  Day: 7  Time: 19  Solar radiation: 257
