                Average Minimum and Maximum Temperatures
                ========================================

                         Maximum Temperatures:
Month:	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	
AvgMax:26.45	25.63	26.28	27.17	26.99	26.86	27.02	27.04	27.28	27.39	23.3	25.55	
Time:12	12	12	12	12	13	13	13	13	13	8	11	

                         Minimum Temperatures
Month:	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	
AvgMin:18.27	17.91	17.85	17.92	17.72	18.0	18.28	18.28	18.46	18.46	20.6	19.2	
Time: 	12	10	10	5	5	6	7	7	7	7	5	6	

=================================================================================================

                           Solar Radiation Analysis
                            ========================
Lines checked: 2327
===============
No. of wrong lines: 107
==================
Wrong Direct Normal Radiation:
=================================
Year: 1989  Month: 2  Day: 17  Time: 8  Solar radiation: 562
Year: 1988  Month: 3  Day: 11  Time: 8  Solar radiation: 590
Year: 1988  Month: 3  Day: 12  Time: 8  Solar radiation: 679
Year: 1988  Month: 3  Day: 21  Time: 8  Solar radiation: 656
Year: 1988  Month: 3  Day: 26  Time: 8  Solar radiation: 653
Year: 1988  Month: 3  Day: 27  Time: 8  Solar radiation: 664
Year: 1988  Month: 3  Day: 31  Time: 8  Solar radiation: 556
Year: 1986  Month: 4  Day: 1  Time: 8  Solar radiation: 706
Year: 1986  Month: 4  Day: 2  Time: 8  Solar radiation: 646
Year: 1986  Month: 4  Day: 3  Time: 8  Solar radiation: 665
Year: 1986  Month: 4  Day: 7  Time: 8  Solar radiation: 636
Year: 1986  Month: 4  Day: 18  Time: 8  Solar radiation: 752
Year: 1986  Month: 4  Day: 19  Time: 8  Solar radiation: 712
Year: 1986  Month: 4  Day: 21  Time: 8  Solar radiation: 573
Year: 1986  Month: 4  Day: 23  Time: 8  Solar radiation: 668
Year: 1986  Month: 4  Day: 24  Time: 8  Solar radiation: 631
Year: 1986  Month: 4  Day: 25  Time: 8  Solar radiation: 775
Year: 1986  Month: 4  Day: 26  Time: 8  Solar radiation: 621
Year: 1977  Month: 5  Day: 3  Time: 8  Solar radiation: 760
Year: 1977  Month: 5  Day: 5  Time: 8  Solar radiation: 750
Year: 1977  Month: 5  Day: 7  Time: 8  Solar radiation: 711
Year: 1977  Month: 5  Day: 8  Time: 8  Solar radiation: 748
Year: 1977  Month: 5  Day: 12  Time: 8  Solar radiation: 726
Year: 1977  Month: 5  Day: 15  Time: 7  Solar radiation: 576
Year: 1977  Month: 5  Day: 15  Time: 8  Solar radiation: 799
Year: 1977  Month: 5  Day: 16  Time: 8  Solar radiation: 752
Year: 1977  Month: 5  Day: 17  Time: 8  Solar radiation: 754
Year: 1977  Month: 5  Day: 18  Time: 8  Solar radiation: 774
Year: 1977  Month: 5  Day: 21  Time: 8  Solar radiation: 640
Year: 1977  Month: 5  Day: 24  Time: 8  Solar radiation: 630
Year: 1977  Month: 5  Day: 26  Time: 8  Solar radiation: 684
Year: 1977  Month: 5  Day: 28  Time: 8  Solar radiation: 759
Year: 1977  Month: 5  Day: 29  Time: 8  Solar radiation: 732
Year: 1977  Month: 5  Day: 31  Time: 8  Solar radiation: 779
Year: 1988  Month: 6  Day: 5  Time: 8  Solar radiation: 715
Year: 1988  Month: 6  Day: 9  Time: 8  Solar radiation: 651
Year: 1988  Month: 6  Day: 10  Time: 8  Solar radiation: 732
Year: 1988  Month: 6  Day: 11  Time: 8  Solar radiation: 738
Year: 1988  Month: 6  Day: 13  Time: 8  Solar radiation: 698
Year: 1988  Month: 6  Day: 15  Time: 8  Solar radiation: 603
Year: 1988  Month: 6  Day: 16  Time: 7  Solar radiation: 592
Year: 1988  Month: 6  Day: 17  Time: 8  Solar radiation: 634
Year: 1988  Month: 6  Day: 19  Time: 8  Solar radiation: 792
Year: 1988  Month: 6  Day: 23  Time: 8  Solar radiation: 564
Year: 1988  Month: 6  Day: 24  Time: 8  Solar radiation: 740
Year: 1988  Month: 6  Day: 27  Time: 8  Solar radiation: 655
Year: 1988  Month: 6  Day: 29  Time: 7  Solar radiation: 572
Year: 1988  Month: 6  Day: 29  Time: 8  Solar radiation: 793
Year: 1988  Month: 6  Day: 30  Time: 8  Solar radiation: 770
Year: 1987  Month: 7  Day: 3  Time: 8  Solar radiation: 722
Year: 1987  Month: 7  Day: 7  Time: 8  Solar radiation: 602
Year: 1987  Month: 7  Day: 8  Time: 8  Solar radiation: 613
Year: 1987  Month: 7  Day: 10  Time: 8  Solar radiation: 627
Year: 1987  Month: 7  Day: 12  Time: 8  Solar radiation: 741
Year: 1987  Month: 7  Day: 16  Time: 8  Solar radiation: 779
Year: 1987  Month: 7  Day: 17  Time: 8  Solar radiation: 766
Year: 1987  Month: 7  Day: 18  Time: 8  Solar radiation: 769
Year: 1987  Month: 7  Day: 19  Time: 8  Solar radiation: 591
Year: 1987  Month: 7  Day: 24  Time: 8  Solar radiation: 776
Year: 1987  Month: 7  Day: 25  Time: 8  Solar radiation: 672
Year: 1987  Month: 7  Day: 27  Time: 8  Solar radiation: 694
Year: 1988  Month: 8  Day: 1  Time: 8  Solar radiation: 729
Year: 1988  Month: 8  Day: 4  Time: 8  Solar radiation: 693
Year: 1988  Month: 8  Day: 9  Time: 8  Solar radiation: 748
Year: 1988  Month: 8  Day: 13  Time: 8  Solar radiation: 600
Year: 1988  Month: 8  Day: 15  Time: 8  Solar radiation: 574
Year: 1988  Month: 8  Day: 18  Time: 8  Solar radiation: 557
Year: 1988  Month: 8  Day: 19  Time: 8  Solar radiation: 702
Year: 1988  Month: 8  Day: 23  Time: 8  Solar radiation: 747
Year: 1988  Month: 8  Day: 24  Time: 8  Solar radiation: 737
Year: 1988  Month: 8  Day: 25  Time: 8  Solar radiation: 731
Year: 1988  Month: 8  Day: 26  Time: 8  Solar radiation: 719
Year: 1988  Month: 8  Day: 28  Time: 8  Solar radiation: 582
Year: 1988  Month: 8  Day: 29  Time: 8  Solar radiation: 584
Year: 1988  Month: 8  Day: 30  Time: 8  Solar radiation: 596
Year: 1988  Month: 8  Day: 31  Time: 8  Solar radiation: 691
Year: 1990  Month: 9  Day: 1  Time: 8  Solar radiation: 724
Year: 1990  Month: 9  Day: 2  Time: 8  Solar radiation: 666
Year: 1990  Month: 9  Day: 4  Time: 8  Solar radiation: 689
Year: 1990  Month: 9  Day: 9  Time: 8  Solar radiation: 691
Year: 1990  Month: 9  Day: 10  Time: 8  Solar radiation: 592
Year: 1990  Month: 9  Day: 11  Time: 8  Solar radiation: 690
Year: 1990  Month: 9  Day: 17  Time: 8  Solar radiation: 554
Year: 1990  Month: 9  Day: 22  Time: 8  Solar radiation: 595
Year: 1990  Month: 9  Day: 24  Time: 8  Solar radiation: 687
Year: 1990  Month: 9  Day: 25  Time: 8  Solar radiation: 664
Year: 1990  Month: 9  Day: 26  Time: 8  Solar radiation: 712
Year: 1990  Month: 9  Day: 28  Time: 8  Solar radiation: 665
Year: 1987  Month: 10  Day: 4  Time: 8  Solar radiation: 551
Year: 1987  Month: 10  Day: 6  Time: 8  Solar radiation: 702
Year: 1987  Month: 10  Day: 7  Time: 8  Solar radiation: 689
Year: 1987  Month: 10  Day: 8  Time: 8  Solar radiation: 721
Year: 1987  Month: 10  Day: 11  Time: 8  Solar radiation: 719
Year: 1987  Month: 10  Day: 12  Time: 8  Solar radiation: 744
Year: 1987  Month: 10  Day: 13  Time: 8  Solar radiation: 727
Year: 1987  Month: 10  Day: 14  Time: 8  Solar radiation: 620
Year: 1987  Month: 10  Day: 19  Time: 8  Solar radiation: 641
Year: 1987  Month: 10  Day: 25  Time: 8  Solar radiation: 590
Year: 1987  Month: 10  Day: 27  Time: 8  Solar radiation: 662
Year: 1987  Month: 10  Day: 28  Time: 8  Solar radiation: 555
Year: 1987  Month: 10  Day: 30  Time: 8  Solar radiation: 574
Year: 1987  Month: 11  Day: 7  Time: 8  Solar radiation: 700
Year: 1987  Month: 11  Day: 8  Time: 8  Solar radiation: 583
Year: 1987  Month: 11  Day: 12  Time: 8  Solar radiation: 622
Year: 1987  Month: 11  Day: 13  Time: 8  Solar radiation: 651
Year: 1987  Month: 11  Day: 14  Time: 8  Solar radiation: 662
Year: 1987  Month: 11  Day: 23  Time: 8  Solar radiation: 571
Wrong Global Horizontal Radiation:
==================================
Wrong Diffuse Horizontal Radiation:
====================================
