                Average Minimum and Maximum Temperatures
                ========================================

                         Maximum Temperatures:
Month:	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	
AvgMax:-2.97	-5.75	-2.95	-2.03	-0.3	-0.29	-0.05	-0.03	-0.03	0.19	0.2	0.25	
Time:11	12	13	14	12	12	12	12	12	12	12	12	

                         Minimum Temperatures
Month:	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	
AvgMin:-7.08	-10.45	-7.32	-6.71	-4.05	-4.05	-3.89	-3.89	-3.89	-3.69	-3.69	-3.69	
Time: 	11	10	12	12	9	9	8	8	8	8	8	8	

=================================================================================================

                           Solar Radiation Analysis
                            ========================
Lines checked: 2829
===============
No. of wrong lines: 70
==================
Wrong Direct Normal Radiation:
=================================
Year: 2005  Month: 3  Day: 27  Time: 8  Solar radiation: 708
Year: 2005  Month: 4  Day: 20  Time: 7  Solar radiation: 629
Year: 2005  Month: 4  Day: 20  Time: 8  Solar radiation: 587
Year: 2005  Month: 4  Day: 21  Time: 7  Solar radiation: 692
Year: 2005  Month: 4  Day: 21  Time: 8  Solar radiation: 735
Year: 2005  Month: 4  Day: 22  Time: 7  Solar radiation: 693
Year: 2005  Month: 4  Day: 22  Time: 8  Solar radiation: 589
Year: 2005  Month: 5  Day: 4  Time: 8  Solar radiation: 615
Year: 2005  Month: 5  Day: 13  Time: 6  Solar radiation: 649
Year: 2005  Month: 5  Day: 13  Time: 7  Solar radiation: 659
Year: 2005  Month: 5  Day: 14  Time: 8  Solar radiation: 636
Year: 2005  Month: 6  Day: 6  Time: 6  Solar radiation: 563
Year: 2005  Month: 6  Day: 10  Time: 6  Solar radiation: 668
Year: 2005  Month: 6  Day: 10  Time: 7  Solar radiation: 705
Year: 2005  Month: 6  Day: 10  Time: 8  Solar radiation: 684
Year: 2005  Month: 7  Day: 3  Time: 6  Solar radiation: 661
Year: 2005  Month: 7  Day: 3  Time: 7  Solar radiation: 711
Year: 2005  Month: 7  Day: 4  Time: 6  Solar radiation: 660
Year: 2005  Month: 7  Day: 4  Time: 7  Solar radiation: 711
Year: 2005  Month: 7  Day: 15  Time: 6  Solar radiation: 651
Year: 2005  Month: 7  Day: 15  Time: 7  Solar radiation: 707
Year: 2005  Month: 7  Day: 16  Time: 6  Solar radiation: 650
Year: 2005  Month: 7  Day: 16  Time: 7  Solar radiation: 707
Year: 2005  Month: 7  Day: 17  Time: 6  Solar radiation: 649
Year: 2005  Month: 7  Day: 17  Time: 7  Solar radiation: 706
Year: 2005  Month: 7  Day: 23  Time: 6  Solar radiation: 641
Year: 2005  Month: 7  Day: 23  Time: 7  Solar radiation: 704
Year: 2005  Month: 7  Day: 23  Time: 8  Solar radiation: 681
Year: 2005  Month: 7  Day: 29  Time: 7  Solar radiation: 700
Year: 2005  Month: 8  Day: 6  Time: 6  Solar radiation: 618
Year: 2005  Month: 8  Day: 6  Time: 7  Solar radiation: 693
Year: 2005  Month: 8  Day: 6  Time: 8  Solar radiation: 646
Year: 2005  Month: 8  Day: 7  Time: 6  Solar radiation: 616
Year: 2005  Month: 8  Day: 7  Time: 7  Solar radiation: 695
Year: 2005  Month: 8  Day: 7  Time: 8  Solar radiation: 731
Year: 2005  Month: 8  Day: 10  Time: 8  Solar radiation: 632
Year: 2005  Month: 8  Day: 11  Time: 6  Solar radiation: 604
Year: 2005  Month: 8  Day: 12  Time: 6  Solar radiation: 604
Year: 2005  Month: 8  Day: 12  Time: 7  Solar radiation: 691
Year: 2005  Month: 8  Day: 12  Time: 8  Solar radiation: 729
Year: 2005  Month: 8  Day: 18  Time: 7  Solar radiation: 686
Year: 2005  Month: 8  Day: 22  Time: 7  Solar radiation: 608
Year: 2005  Month: 8  Day: 23  Time: 7  Solar radiation: 599
Year: 2005  Month: 9  Day: 22  Time: 7  Solar radiation: 625
Year: 2005  Month: 9  Day: 22  Time: 8  Solar radiation: 704
Year: 2005  Month: 10  Day: 4  Time: 8  Solar radiation: 581
Wrong Global Horizontal Radiation:
==================================
Wrong Diffuse Horizontal Radiation:
====================================
Year: 2005  Month: 4  Day: 21  Time: 6  Solar radiation: 258
Year: 2005  Month: 4  Day: 22  Time: 6  Solar radiation: 264
Year: 2005  Month: 5  Day: 3  Time: 8  Solar radiation: 261
Year: 2005  Month: 5  Day: 9  Time: 8  Solar radiation: 266
Year: 2005  Month: 5  Day: 11  Time: 8  Solar radiation: 273
Year: 2005  Month: 5  Day: 12  Time: 8  Solar radiation: 274
Year: 2005  Month: 5  Day: 17  Time: 8  Solar radiation: 256
Year: 2005  Month: 5  Day: 22  Time: 8  Solar radiation: 261
Year: 2005  Month: 5  Day: 23  Time: 8  Solar radiation: 285
Year: 2005  Month: 6  Day: 2  Time: 8  Solar radiation: 269
Year: 2005  Month: 6  Day: 3  Time: 8  Solar radiation: 292
Year: 2005  Month: 6  Day: 5  Time: 8  Solar radiation: 267
Year: 2005  Month: 6  Day: 7  Time: 8  Solar radiation: 271
Year: 2005  Month: 6  Day: 9  Time: 8  Solar radiation: 284
Year: 2005  Month: 6  Day: 10  Time: 5  Solar radiation: 264
Year: 2005  Month: 6  Day: 11  Time: 8  Solar radiation: 284
Year: 2005  Month: 6  Day: 15  Time: 8  Solar radiation: 273
Year: 2005  Month: 6  Day: 19  Time: 8  Solar radiation: 294
Year: 2005  Month: 6  Day: 22  Time: 8  Solar radiation: 274
Year: 2005  Month: 6  Day: 30  Time: 8  Solar radiation: 291
Year: 2005  Month: 7  Day: 2  Time: 8  Solar radiation: 271
Year: 2005  Month: 7  Day: 3  Time: 5  Solar radiation: 262
Year: 2005  Month: 7  Day: 5  Time: 8  Solar radiation: 289
Year: 2005  Month: 7  Day: 6  Time: 8  Solar radiation: 288
Year: 2005  Month: 7  Day: 13  Time: 8  Solar radiation: 264
Year: 2005  Month: 7  Day: 18  Time: 8  Solar radiation: 260
Year: 2005  Month: 7  Day: 24  Time: 8  Solar radiation: 253
Year: 2005  Month: 7  Day: 31  Time: 8  Solar radiation: 267
Year: 2005  Month: 8  Day: 4  Time: 8  Solar radiation: 263
