                Average Minimum and Maximum Temperatures
                ========================================

                         Maximum Temperatures:
Month:	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	
AvgMax:-2.49	-3.88	-3.47	3.6	3.23	1.71	0.95	1.32	1.88	1.67	2.53	3.02	
Time:14	14	15	10	10	11	11	12	9	10	10	11	

                         Minimum Temperatures
Month:	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	
AvgMin:-10.61	-11.24	-11.28	-1.57	-2.38	-5.08	-6.17	-5.86	-3.44	-4.35	-4.53	-4.51	
Time: 	10	12	11	12	13	10	12	12	15	13	12	10	

=================================================================================================

                           Solar Radiation Analysis
                            ========================
Lines checked: 2522
===============
No. of wrong lines: 120
==================
Wrong Direct Normal Radiation:
=================================
Year: 1989  Month: 2  Day: 25  Time: 8  Solar radiation: 596
Year: 1974  Month: 3  Day: 6  Time: 8  Solar radiation: 583
Year: 1974  Month: 3  Day: 11  Time: 8  Solar radiation: 566
Year: 1974  Month: 3  Day: 22  Time: 8  Solar radiation: 632
Year: 1974  Month: 3  Day: 29  Time: 8  Solar radiation: 673
Year: 1971  Month: 4  Day: 5  Time: 8  Solar radiation: 849
Year: 1971  Month: 4  Day: 6  Time: 8  Solar radiation: 850
Year: 1971  Month: 4  Day: 7  Time: 8  Solar radiation: 854
Year: 1971  Month: 4  Day: 9  Time: 8  Solar radiation: 855
Year: 1971  Month: 4  Day: 11  Time: 8  Solar radiation: 857
Year: 1971  Month: 4  Day: 15  Time: 8  Solar radiation: 613
Year: 1971  Month: 4  Day: 18  Time: 8  Solar radiation: 613
Year: 1971  Month: 4  Day: 19  Time: 7  Solar radiation: 581
Year: 1971  Month: 4  Day: 19  Time: 8  Solar radiation: 699
Year: 1971  Month: 4  Day: 20  Time: 7  Solar radiation: 658
Year: 1971  Month: 4  Day: 20  Time: 8  Solar radiation: 787
Year: 1971  Month: 4  Day: 21  Time: 7  Solar radiation: 583
Year: 1971  Month: 4  Day: 27  Time: 8  Solar radiation: 878
Year: 1970  Month: 5  Day: 4  Time: 7  Solar radiation: 768
Year: 1970  Month: 5  Day: 4  Time: 8  Solar radiation: 617
Year: 1970  Month: 5  Day: 7  Time: 7  Solar radiation: 796
Year: 1970  Month: 5  Day: 7  Time: 8  Solar radiation: 908
Year: 1970  Month: 5  Day: 11  Time: 7  Solar radiation: 772
Year: 1970  Month: 5  Day: 11  Time: 8  Solar radiation: 783
Year: 1970  Month: 5  Day: 14  Time: 8  Solar radiation: 796
Year: 1970  Month: 5  Day: 18  Time: 7  Solar radiation: 718
Year: 1970  Month: 5  Day: 18  Time: 8  Solar radiation: 888
Year: 1970  Month: 5  Day: 21  Time: 7  Solar radiation: 559
Year: 1970  Month: 5  Day: 21  Time: 8  Solar radiation: 624
Year: 1970  Month: 5  Day: 23  Time: 7  Solar radiation: 558
Year: 1970  Month: 5  Day: 23  Time: 8  Solar radiation: 713
Year: 1970  Month: 5  Day: 24  Time: 7  Solar radiation: 642
Year: 1970  Month: 5  Day: 24  Time: 8  Solar radiation: 718
Year: 1970  Month: 5  Day: 27  Time: 8  Solar radiation: 810
Year: 1970  Month: 5  Day: 28  Time: 7  Solar radiation: 567
Year: 1970  Month: 5  Day: 28  Time: 8  Solar radiation: 629
Year: 1970  Month: 5  Day: 29  Time: 6  Solar radiation: 558
Year: 1970  Month: 5  Day: 29  Time: 7  Solar radiation: 803
Year: 1970  Month: 5  Day: 29  Time: 8  Solar radiation: 889
Year: 1970  Month: 5  Day: 31  Time: 8  Solar radiation: 618
Year: 1977  Month: 6  Day: 3  Time: 6  Solar radiation: 571
Year: 1977  Month: 6  Day: 3  Time: 7  Solar radiation: 730
Year: 1977  Month: 6  Day: 3  Time: 8  Solar radiation: 806
Year: 1977  Month: 6  Day: 4  Time: 7  Solar radiation: 808
Year: 1977  Month: 6  Day: 4  Time: 8  Solar radiation: 893
Year: 1977  Month: 6  Day: 5  Time: 7  Solar radiation: 637
Year: 1977  Month: 6  Day: 5  Time: 8  Solar radiation: 792
Year: 1977  Month: 6  Day: 9  Time: 7  Solar radiation: 648
Year: 1977  Month: 6  Day: 10  Time: 7  Solar radiation: 561
Year: 1977  Month: 6  Day: 11  Time: 6  Solar radiation: 567
Year: 1977  Month: 6  Day: 11  Time: 7  Solar radiation: 721
Year: 1977  Month: 6  Day: 11  Time: 8  Solar radiation: 788
Year: 1977  Month: 6  Day: 13  Time: 8  Solar radiation: 874
Year: 1977  Month: 6  Day: 15  Time: 7  Solar radiation: 709
Year: 1977  Month: 6  Day: 15  Time: 8  Solar radiation: 878
Year: 1977  Month: 6  Day: 19  Time: 7  Solar radiation: 789
Year: 1977  Month: 6  Day: 19  Time: 8  Solar radiation: 785
Year: 1977  Month: 6  Day: 21  Time: 7  Solar radiation: 710
Year: 1977  Month: 6  Day: 21  Time: 8  Solar radiation: 788
Year: 1977  Month: 6  Day: 22  Time: 7  Solar radiation: 718
Year: 1977  Month: 6  Day: 22  Time: 8  Solar radiation: 793
Year: 1977  Month: 6  Day: 23  Time: 6  Solar radiation: 621
Year: 1977  Month: 6  Day: 23  Time: 7  Solar radiation: 790
Year: 1977  Month: 6  Day: 23  Time: 8  Solar radiation: 874
Year: 1977  Month: 6  Day: 26  Time: 19  Solar radiation: 665
Year: 1977  Month: 6  Day: 27  Time: 7  Solar radiation: 779
Year: 1977  Month: 6  Day: 28  Time: 7  Solar radiation: 776
