                Average Minimum and Maximum Temperatures
                ========================================

                         Maximum Temperatures:
Month:	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	
AvgMax:-6.77	-1.68	1.4	5.07	4.35	9.88	10.24	10.62	10.81	12.2	13.18	15.12	
Time:13	12	10	13	4	11	12	12	12	12	12	12	

                         Minimum Temperatures
Month:	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	
AvgMin:-16.68	-13.02	-8.82	-3.99	0.0	0.81	0.66	0.78	0.78	1.34	1.9	3.05	
Time: 	12	10	9	12	11	12	11	11	11	11	11	11	

=================================================================================================

                           Solar Radiation Analysis
                            ========================
Lines checked: 2858
===============
No. of wrong lines: 52
==================
Wrong Direct Normal Radiation:
=================================
Year: 1967  Month: 3  Day: 10  Time: 8  Solar radiation: 574
Year: 1974  Month: 4  Day: 2  Time: 8  Solar radiation: 652
Year: 1974  Month: 4  Day: 15  Time: 8  Solar radiation: 618
Year: 1974  Month: 4  Day: 16  Time: 8  Solar radiation: 610
Year: 1974  Month: 4  Day: 17  Time: 7  Solar radiation: 579
Year: 1974  Month: 4  Day: 17  Time: 8  Solar radiation: 773
Year: 1974  Month: 4  Day: 24  Time: 8  Solar radiation: 610
Year: 1974  Month: 4  Day: 26  Time: 8  Solar radiation: 647
Year: 1981  Month: 5  Day: 11  Time: 8  Solar radiation: 586
Year: 1981  Month: 5  Day: 15  Time: 8  Solar radiation: 599
Year: 1981  Month: 5  Day: 16  Time: 8  Solar radiation: 615
Year: 1981  Month: 5  Day: 19  Time: 7  Solar radiation: 630
Year: 1981  Month: 5  Day: 19  Time: 8  Solar radiation: 760
Year: 1981  Month: 5  Day: 20  Time: 7  Solar radiation: 621
Year: 1981  Month: 5  Day: 20  Time: 8  Solar radiation: 754
Year: 1981  Month: 5  Day: 21  Time: 7  Solar radiation: 677
Year: 1981  Month: 5  Day: 21  Time: 8  Solar radiation: 797
Year: 1981  Month: 5  Day: 30  Time: 8  Solar radiation: 650
Year: 1986  Month: 6  Day: 1  Time: 7  Solar radiation: 619
Year: 1986  Month: 6  Day: 2  Time: 8  Solar radiation: 670
Year: 1986  Month: 6  Day: 3  Time: 8  Solar radiation: 581
Year: 1986  Month: 6  Day: 8  Time: 7  Solar radiation: 641
Year: 1986  Month: 6  Day: 8  Time: 8  Solar radiation: 757
Year: 1986  Month: 6  Day: 9  Time: 8  Solar radiation: 566
Year: 1986  Month: 6  Day: 13  Time: 7  Solar radiation: 560
Year: 1986  Month: 6  Day: 13  Time: 8  Solar radiation: 736
Year: 1986  Month: 6  Day: 17  Time: 8  Solar radiation: 566
Year: 1986  Month: 6  Day: 23  Time: 7  Solar radiation: 552
Year: 1986  Month: 6  Day: 23  Time: 8  Solar radiation: 684
Year: 1986  Month: 6  Day: 26  Time: 7  Solar radiation: 588
Year: 1986  Month: 6  Day: 26  Time: 8  Solar radiation: 740
Year: 1968  Month: 7  Day: 1  Time: 8  Solar radiation: 594
Year: 1968  Month: 7  Day: 4  Time: 8  Solar radiation: 613
Year: 1968  Month: 7  Day: 5  Time: 8  Solar radiation: 644
Year: 1968  Month: 7  Day: 6  Time: 8  Solar radiation: 584
Year: 1968  Month: 7  Day: 10  Time: 8  Solar radiation: 765
Year: 1968  Month: 7  Day: 16  Time: 8  Solar radiation: 692
Year: 1968  Month: 7  Day: 19  Time: 8  Solar radiation: 690
Year: 1968  Month: 7  Day: 21  Time: 8  Solar radiation: 676
Year: 1968  Month: 7  Day: 22  Time: 8  Solar radiation: 552
Year: 1968  Month: 7  Day: 25  Time: 8  Solar radiation: 740
Year: 1968  Month: 7  Day: 28  Time: 8  Solar radiation: 692
Year: 1989  Month: 8  Day: 1  Time: 8  Solar radiation: 665
Year: 1989  Month: 8  Day: 2  Time: 8  Solar radiation: 638
Year: 1989  Month: 8  Day: 7  Time: 7  Solar radiation: 624
Year: 1989  Month: 8  Day: 7  Time: 8  Solar radiation: 775
Year: 1989  Month: 8  Day: 9  Time: 8  Solar radiation: 614
Year: 1989  Month: 8  Day: 10  Time: 8  Solar radiation: 554
Year: 1989  Month: 8  Day: 20  Time: 8  Solar radiation: 605
Year: 1972  Month: 9  Day: 23  Time: 8  Solar radiation: 700
Year: 1964  Month: 10  Day: 3  Time: 8  Solar radiation: 560
Year: 1964  Month: 10  Day: 5  Time: 8  Solar radiation: 563
Wrong Global Horizontal Radiation:
==================================
Wrong Diffuse Horizontal Radiation:
====================================
