                Average Minimum and Maximum Temperatures
                ========================================

                         Maximum Temperatures:
Month:	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	
AvgMax:1.88	3.56	2.65	0.46	2.35	2.71	4.04	4.48	5.46	6.36	6.69	7.43	
Time:12	13	13	12	12	12	12	12	12	12	12	13	

                         Minimum Temperatures
Month:	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	
AvgMin:-8.33	-7.86	-8.7	-9.77	-8.69	-8.71	-8.24	-8.29	-8.1	-6.76	-6.45	-5.85	
Time: 	9	7	10	9	8	10	11	10	10	9	10	10	

=================================================================================================

                           Solar Radiation Analysis
                            ========================
Lines checked: 2538
===============
No. of wrong lines: 218
==================
Wrong Direct Normal Radiation:
=================================
Year: 1998  Month: 2  Day: 18  Time: 8  Solar radiation: 639
Year: 2004  Month: 3  Day: 7  Time: 8  Solar radiation: 693
Year: 2004  Month: 3  Day: 8  Time: 8  Solar radiation: 758
Year: 2004  Month: 3  Day: 9  Time: 8  Solar radiation: 767
Year: 2004  Month: 3  Day: 11  Time: 8  Solar radiation: 772
Year: 2004  Month: 3  Day: 12  Time: 8  Solar radiation: 781
Year: 2004  Month: 3  Day: 14  Time: 8  Solar radiation: 787
Year: 2004  Month: 3  Day: 17  Time: 8  Solar radiation: 582
Year: 2004  Month: 3  Day: 18  Time: 8  Solar radiation: 806
Year: 2004  Month: 3  Day: 19  Time: 8  Solar radiation: 657
Year: 2004  Month: 3  Day: 21  Time: 8  Solar radiation: 673
Year: 2004  Month: 3  Day: 22  Time: 8  Solar radiation: 677
Year: 2004  Month: 3  Day: 24  Time: 8  Solar radiation: 830
Year: 2004  Month: 3  Day: 25  Time: 8  Solar radiation: 840
Year: 2004  Month: 3  Day: 26  Time: 8  Solar radiation: 754
Year: 2004  Month: 3  Day: 29  Time: 8  Solar radiation: 845
Year: 2004  Month: 3  Day: 30  Time: 8  Solar radiation: 850
Year: 2004  Month: 3  Day: 31  Time: 8  Solar radiation: 848
Year: 2000  Month: 4  Day: 4  Time: 8  Solar radiation: 689
Year: 2000  Month: 4  Day: 5  Time: 8  Solar radiation: 815
Year: 2000  Month: 4  Day: 6  Time: 8  Solar radiation: 591
Year: 2000  Month: 4  Day: 8  Time: 7  Solar radiation: 551
