                Average Minimum and Maximum Temperatures
                ========================================

                         Maximum Temperatures:
Month:	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	
AvgMax:13.1	16.42	19.59	20.97	15.54	16.83	17.98	18.79	20.71	20.75	20.77	20.81	
Time:16	15	15	15	13	14	13	13	14	14	14	14	

                         Minimum Temperatures
Month:	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	
AvgMin:2.02	3.41	7.92	8.24	8.96	8.95	8.5	8.93	9.99	9.99	9.89	9.95	
Time: 	8	9	6	6	4	4	6	6	6	7	7	6	

=================================================================================================

                           Solar Radiation Analysis
                            ========================
Lines checked: 3145
===============
No. of wrong lines: 132
==================
Wrong Direct Normal Radiation:
=================================
Year: 1968  Month: 3  Day: 28  Time: 8  Solar radiation: 708
Year: 1973  Month: 4  Day: 5  Time: 8  Solar radiation: 745
Year: 1973  Month: 4  Day: 6  Time: 8  Solar radiation: 720
Year: 1973  Month: 4  Day: 9  Time: 8  Solar radiation: 766
Year: 1973  Month: 4  Day: 10  Time: 8  Solar radiation: 678
Year: 1973  Month: 4  Day: 16  Time: 8  Solar radiation: 786
Year: 1973  Month: 4  Day: 20  Time: 8  Solar radiation: 790
Year: 1973  Month: 4  Day: 21  Time: 8  Solar radiation: 791
Year: 1973  Month: 4  Day: 22  Time: 8  Solar radiation: 791
Year: 1973  Month: 4  Day: 24  Time: 8  Solar radiation: 676
Year: 1973  Month: 4  Day: 25  Time: 8  Solar radiation: 794
Year: 1973  Month: 4  Day: 26  Time: 8  Solar radiation: 795
Year: 1973  Month: 4  Day: 27  Time: 8  Solar radiation: 795
Year: 1973  Month: 4  Day: 28  Time: 8  Solar radiation: 796
Year: 1956  Month: 5  Day: 1  Time: 8  Solar radiation: 788
Year: 1956  Month: 5  Day: 2  Time: 8  Solar radiation: 788
Year: 1956  Month: 5  Day: 3  Time: 8  Solar radiation: 684
Year: 1956  Month: 5  Day: 5  Time: 8  Solar radiation: 687
Year: 1956  Month: 5  Day: 6  Time: 8  Solar radiation: 761
Year: 1956  Month: 5  Day: 8  Time: 8  Solar radiation: 778
Year: 1956  Month: 5  Day: 9  Time: 8  Solar radiation: 791
Year: 1956  Month: 5  Day: 10  Time: 7  Solar radiation: 551
Year: 1956  Month: 5  Day: 10  Time: 8  Solar radiation: 791
Year: 1956  Month: 5  Day: 11  Time: 8  Solar radiation: 792
Year: 1956  Month: 5  Day: 12  Time: 7  Solar radiation: 558
Year: 1956  Month: 5  Day: 13  Time: 8  Solar radiation: 793
Year: 1956  Month: 5  Day: 14  Time: 7  Solar radiation: 563
Year: 1956  Month: 5  Day: 14  Time: 8  Solar radiation: 792
Year: 1956  Month: 5  Day: 15  Time: 7  Solar radiation: 564
Year: 1956  Month: 5  Day: 15  Time: 8  Solar radiation: 793
Year: 1956  Month: 5  Day: 16  Time: 7  Solar radiation: 566
Year: 1956  Month: 5  Day: 16  Time: 8  Solar radiation: 793
Year: 1956  Month: 5  Day: 17  Time: 8  Solar radiation: 766
Year: 1956  Month: 5  Day: 19  Time: 7  Solar radiation: 570
Year: 1956  Month: 5  Day: 19  Time: 8  Solar radiation: 794
Year: 1956  Month: 5  Day: 20  Time: 8  Solar radiation: 737
Year: 1956  Month: 5  Day: 21  Time: 7  Solar radiation: 574
Year: 1956  Month: 5  Day: 23  Time: 8  Solar radiation: 700
Year: 1956  Month: 5  Day: 24  Time: 7  Solar radiation: 556
