                Average Minimum and Maximum Temperatures
                ========================================

                         Maximum Temperatures:
Month:	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	
AvgMax:-3.15	-0.31	5.43	5.75	9.2	12.0	12.4	13.09	12.75	12.71	12.47	12.69	
Time:12	14	14	14	12	13	13	13	13	13	13	13	

                         Minimum Temperatures
Month:	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	
AvgMin:-13.82	-9.95	-5.12	-5.12	2.2	1.33	0.9	0.55	0.25	0.0	-0.4	-0.63	
Time: 	12	10	10	10	11	10	9	9	8	8	7	7	

=================================================================================================

                           Solar Radiation Analysis
                            ========================
Lines checked: 2509
===============
No. of wrong lines: 47
==================
Wrong Direct Normal Radiation:
=================================
Year: 1991  Month: 3  Day: 31  Time: 8  Solar radiation: 609
Year: 2005  Month: 4  Day: 5  Time: 8  Solar radiation: 610
Year: 2005  Month: 4  Day: 9  Time: 8  Solar radiation: 645
Year: 2005  Month: 4  Day: 10  Time: 8  Solar radiation: 651
Year: 2005  Month: 4  Day: 11  Time: 8  Solar radiation: 663
Year: 2005  Month: 4  Day: 12  Time: 8  Solar radiation: 675
Year: 2005  Month: 4  Day: 14  Time: 8  Solar radiation: 661
Year: 2005  Month: 4  Day: 15  Time: 8  Solar radiation: 673
Year: 2005  Month: 4  Day: 16  Time: 8  Solar radiation: 679
Year: 2005  Month: 4  Day: 17  Time: 8  Solar radiation: 691
Year: 2005  Month: 4  Day: 18  Time: 8  Solar radiation: 671
Year: 2005  Month: 4  Day: 19  Time: 8  Solar radiation: 677
Year: 2005  Month: 4  Day: 21  Time: 8  Solar radiation: 695
Year: 2005  Month: 4  Day: 22  Time: 8  Solar radiation: 682
Year: 2005  Month: 4  Day: 26  Time: 8  Solar radiation: 569
Year: 1997  Month: 5  Day: 14  Time: 8  Solar radiation: 671
Year: 1997  Month: 5  Day: 21  Time: 8  Solar radiation: 614
Year: 1997  Month: 5  Day: 27  Time: 7  Solar radiation: 562
Year: 1997  Month: 5  Day: 27  Time: 8  Solar radiation: 692
Year: 1997  Month: 5  Day: 28  Time: 7  Solar radiation: 697
Year: 1997  Month: 5  Day: 28  Time: 8  Solar radiation: 803
Year: 1999  Month: 6  Day: 4  Time: 7  Solar radiation: 583
Year: 1999  Month: 6  Day: 4  Time: 8  Solar radiation: 570
Year: 1999  Month: 6  Day: 8  Time: 8  Solar radiation: 631
Year: 1999  Month: 6  Day: 11  Time: 7  Solar radiation: 570
Year: 1999  Month: 6  Day: 11  Time: 8  Solar radiation: 564
Year: 1999  Month: 6  Day: 12  Time: 8  Solar radiation: 699
Year: 1999  Month: 6  Day: 20  Time: 8  Solar radiation: 564
Year: 1999  Month: 6  Day: 26  Time: 8  Solar radiation: 583
Year: 1999  Month: 6  Day: 27  Time: 7  Solar radiation: 552
Year: 1999  Month: 6  Day: 27  Time: 8  Solar radiation: 644
Year: 1999  Month: 6  Day: 30  Time: 8  Solar radiation: 577
Year: 1996  Month: 7  Day: 4  Time: 8  Solar radiation: 571
Year: 1996  Month: 7  Day: 5  Time: 8  Solar radiation: 605
Year: 1996  Month: 7  Day: 6  Time: 8  Solar radiation: 554
Year: 1996  Month: 7  Day: 10  Time: 8  Solar radiation: 629
Year: 1996  Month: 7  Day: 11  Time: 8  Solar radiation: 570
Year: 1998  Month: 8  Day: 1  Time: 8  Solar radiation: 654
Year: 1998  Month: 8  Day: 2  Time: 8  Solar radiation: 636
Year: 1998  Month: 8  Day: 9  Time: 8  Solar radiation: 650
Year: 1998  Month: 8  Day: 19  Time: 8  Solar radiation: 584
Wrong Global Horizontal Radiation:
==================================
Wrong Diffuse Horizontal Radiation:
====================================
Year: 1997  Month: 5  Day: 20  Time: 8  Solar radiation: 281
Year: 1999  Month: 6  Day: 3  Time: 8  Solar radiation: 258
Year: 1999  Month: 6  Day: 10  Time: 8  Solar radiation: 256
Year: 1999  Month: 6  Day: 13  Time: 8  Solar radiation: 256
Year: 1999  Month: 6  Day: 17  Time: 8  Solar radiation: 259
Year: 1996  Month: 7  Day: 17  Time: 8  Solar radiation: 299
