                Average Minimum and Maximum Temperatures
                ========================================

                         Maximum Temperatures:
Month:	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	
AvgMax:19.08	19.2	19.23	20.4	19.36	19.31	15.8	19.46	20.7	19.68	19.77	20.22	
Time:13	12	12	13	13	13	11	12	12	13	13	13	

                         Minimum Temperatures
Month:	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	
AvgMin:9.0	8.63	8.8	8.73	10.86	10.93	9.8	10.1	10.79	11.93	11.89	12.54	
Time: 	9	6	6	8	7	7	10	8	6	6	6	7	

=================================================================================================

                           Solar Radiation Analysis
                            ========================
Lines checked: 2715
===============
No. of wrong lines: 55
==================
Wrong Direct Normal Radiation:
=================================
Year: 1997  Month: 2  Day: 25  Time: 8  Solar radiation: 576
Year: 1979  Month: 3  Day: 7  Time: 8  Solar radiation: 573
Year: 1979  Month: 3  Day: 24  Time: 8  Solar radiation: 705
Year: 1981  Month: 4  Day: 3  Time: 8  Solar radiation: 590
Year: 1981  Month: 4  Day: 5  Time: 8  Solar radiation: 700
Year: 1981  Month: 4  Day: 7  Time: 8  Solar radiation: 578
Year: 1981  Month: 4  Day: 20  Time: 8  Solar radiation: 581
Year: 1981  Month: 4  Day: 21  Time: 8  Solar radiation: 717
Year: 1981  Month: 4  Day: 27  Time: 7  Solar radiation: 558
Year: 1981  Month: 4  Day: 27  Time: 8  Solar radiation: 598
Year: 1981  Month: 4  Day: 28  Time: 8  Solar radiation: 632
Year: 1981  Month: 4  Day: 29  Time: 8  Solar radiation: 666
Year: 1989  Month: 5  Day: 11  Time: 8  Solar radiation: 642
Year: 1989  Month: 5  Day: 12  Time: 7  Solar radiation: 556
Year: 1989  Month: 5  Day: 20  Time: 8  Solar radiation: 719
Year: 1989  Month: 5  Day: 21  Time: 8  Solar radiation: 629
Year: 1989  Month: 5  Day: 22  Time: 8  Solar radiation: 561
Year: 1989  Month: 5  Day: 26  Time: 8  Solar radiation: 636
Year: 1989  Month: 5  Day: 31  Time: 7  Solar radiation: 607
Year: 1989  Month: 5  Day: 31  Time: 8  Solar radiation: 748
Year: 1986  Month: 6  Day: 27  Time: 7  Solar radiation: 628
Year: 1986  Month: 6  Day: 27  Time: 8  Solar radiation: 735
Year: 1986  Month: 6  Day: 29  Time: 7  Solar radiation: 623
Year: 1986  Month: 6  Day: 29  Time: 8  Solar radiation: 689
Year: 1986  Month: 6  Day: 30  Time: 7  Solar radiation: 632
Year: 1986  Month: 6  Day: 30  Time: 8  Solar radiation: 771
Year: 1989  Month: 7  Day: 2  Time: 8  Solar radiation: 676
Year: 1989  Month: 7  Day: 3  Time: 8  Solar radiation: 579
Year: 1989  Month: 7  Day: 4  Time: 8  Solar radiation: 694
Year: 1989  Month: 7  Day: 5  Time: 7  Solar radiation: 557
Year: 1989  Month: 7  Day: 5  Time: 8  Solar radiation: 707
Year: 1989  Month: 7  Day: 13  Time: 8  Solar radiation: 586
Year: 1989  Month: 7  Day: 14  Time: 8  Solar radiation: 652
Year: 1989  Month: 7  Day: 28  Time: 8  Solar radiation: 592
Year: 1989  Month: 7  Day: 31  Time: 8  Solar radiation: 602
Year: 1987  Month: 8  Day: 1  Time: 8  Solar radiation: 689
Year: 1987  Month: 8  Day: 2  Time: 8  Solar radiation: 636
Year: 1987  Month: 8  Day: 3  Time: 8  Solar radiation: 572
Year: 1987  Month: 8  Day: 4  Time: 8  Solar radiation: 577
Year: 1987  Month: 8  Day: 6  Time: 8  Solar radiation: 596
Year: 1987  Month: 8  Day: 10  Time: 8  Solar radiation: 655
Year: 1987  Month: 8  Day: 12  Time: 8  Solar radiation: 558
Year: 1987  Month: 8  Day: 16  Time: 8  Solar radiation: 716
Year: 1987  Month: 8  Day: 21  Time: 8  Solar radiation: 737
Year: 1987  Month: 8  Day: 22  Time: 8  Solar radiation: 645
Year: 1994  Month: 9  Day: 3  Time: 8  Solar radiation: 653
Year: 1994  Month: 9  Day: 5  Time: 8  Solar radiation: 632
Year: 1994  Month: 9  Day: 6  Time: 8  Solar radiation: 555
Year: 1994  Month: 9  Day: 8  Time: 8  Solar radiation: 591
Year: 1994  Month: 9  Day: 9  Time: 8  Solar radiation: 561
Year: 1994  Month: 9  Day: 15  Time: 8  Solar radiation: 576
Year: 1979  Month: 10  Day: 2  Time: 8  Solar radiation: 669
Year: 1979  Month: 10  Day: 24  Time: 8  Solar radiation: 596
Year: 1987  Month: 11  Day: 11  Time: 8  Solar radiation: 566
Wrong Global Horizontal Radiation:
==================================
Wrong Diffuse Horizontal Radiation:
====================================
Year: 1994  Month: 9  Day: 12  Time: 8  Solar radiation: 257
