                Average Minimum and Maximum Temperatures
                ========================================

                         Maximum Temperatures:
Month:	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	
AvgMax:17.86	19.43	21.47	22.45	19.0	29.79	31.39	31.14	30.78	30.6	30.79	30.87	
Time:14	14	14	14	8	14	14	14	14	14	14	14	

                         Minimum Temperatures
Month:	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	
AvgMin:6.93	7.88	8.47	8.85	14.0	11.82	12.98	13.89	13.75	13.44	13.42	13.78	
Time: 	9	8	8	8	5	5	5	6	7	7	7	7	

=================================================================================================

                           Solar Radiation Analysis
                            ========================
Lines checked: 2782
===============
No. of wrong lines: 55
==================
Wrong Direct Normal Radiation:
=================================
Year: 1998  Month: 3  Day: 19  Time: 8  Solar radiation: 554
Year: 2002  Month: 4  Day: 1  Time: 8  Solar radiation: 573
Year: 2002  Month: 4  Day: 9  Time: 8  Solar radiation: 557
Year: 2002  Month: 4  Day: 13  Time: 8  Solar radiation: 637
Year: 2002  Month: 4  Day: 19  Time: 8  Solar radiation: 667
Year: 2002  Month: 4  Day: 20  Time: 8  Solar radiation: 657
Year: 2002  Month: 4  Day: 22  Time: 8  Solar radiation: 589
Year: 2002  Month: 4  Day: 23  Time: 8  Solar radiation: 699
Year: 2002  Month: 4  Day: 28  Time: 8  Solar radiation: 566
Year: 2005  Month: 5  Day: 3  Time: 8  Solar radiation: 664
Year: 2005  Month: 5  Day: 4  Time: 8  Solar radiation: 692
Year: 2005  Month: 5  Day: 5  Time: 8  Solar radiation: 693
Year: 2005  Month: 5  Day: 8  Time: 8  Solar radiation: 706
Year: 2005  Month: 5  Day: 9  Time: 8  Solar radiation: 673
Year: 2005  Month: 5  Day: 11  Time: 8  Solar radiation: 646
Year: 2005  Month: 5  Day: 12  Time: 8  Solar radiation: 641
Year: 2005  Month: 5  Day: 16  Time: 8  Solar radiation: 676
Year: 2005  Month: 5  Day: 18  Time: 8  Solar radiation: 694
Year: 2005  Month: 5  Day: 19  Time: 8  Solar radiation: 599
Year: 2005  Month: 5  Day: 20  Time: 8  Solar radiation: 605
Year: 2005  Month: 5  Day: 22  Time: 8  Solar radiation: 672
Year: 2005  Month: 5  Day: 26  Time: 8  Solar radiation: 701
Year: 2005  Month: 5  Day: 30  Time: 8  Solar radiation: 685
Year: 2005  Month: 5  Day: 31  Time: 8  Solar radiation: 607
Year: 2002  Month: 6  Day: 5  Time: 8  Solar radiation: 680
Year: 2002  Month: 6  Day: 6  Time: 8  Solar radiation: 613
Year: 2002  Month: 6  Day: 7  Time: 8  Solar radiation: 635
Year: 2002  Month: 6  Day: 10  Time: 8  Solar radiation: 635
Year: 2002  Month: 6  Day: 12  Time: 8  Solar radiation: 691
Year: 2002  Month: 6  Day: 13  Time: 8  Solar radiation: 731
Year: 2002  Month: 6  Day: 14  Time: 8  Solar radiation: 714
Year: 2002  Month: 6  Day: 15  Time: 8  Solar radiation: 680
Year: 2002  Month: 6  Day: 21  Time: 8  Solar radiation: 584
Year: 2002  Month: 6  Day: 22  Time: 8  Solar radiation: 713
Year: 2002  Month: 6  Day: 23  Time: 8  Solar radiation: 634
Year: 2002  Month: 6  Day: 24  Time: 8  Solar radiation: 685
Year: 2002  Month: 6  Day: 25  Time: 8  Solar radiation: 724
Year: 1995  Month: 7  Day: 3  Time: 8  Solar radiation: 786
Year: 1995  Month: 7  Day: 6  Time: 7  Solar radiation: 555
Year: 1995  Month: 7  Day: 6  Time: 8  Solar radiation: 757
Year: 1995  Month: 7  Day: 8  Time: 8  Solar radiation: 566
Year: 1995  Month: 7  Day: 24  Time: 8  Solar radiation: 582
Year: 2002  Month: 8  Day: 7  Time: 8  Solar radiation: 646
Year: 2002  Month: 8  Day: 8  Time: 8  Solar radiation: 607
Year: 2002  Month: 8  Day: 20  Time: 8  Solar radiation: 568
Year: 2002  Month: 8  Day: 25  Time: 8  Solar radiation: 554
Year: 2002  Month: 8  Day: 27  Time: 8  Solar radiation: 596
Year: 2002  Month: 9  Day: 11  Time: 8  Solar radiation: 611
Year: 2002  Month: 9  Day: 12  Time: 8  Solar radiation: 552
Year: 2002  Month: 9  Day: 20  Time: 8  Solar radiation: 570
Year: 2002  Month: 9  Day: 22  Time: 8  Solar radiation: 588
Year: 2002  Month: 9  Day: 24  Time: 8  Solar radiation: 576
Year: 2002  Month: 9  Day: 29  Time: 8  Solar radiation: 590
Year: 2003  Month: 10  Day: 1  Time: 8  Solar radiation: 587
Year: 2003  Month: 10  Day: 13  Time: 8  Solar radiation: 560
Wrong Global Horizontal Radiation:
==================================
Wrong Diffuse Horizontal Radiation:
====================================
