                Average Minimum and Maximum Temperatures
                ========================================

                         Maximum Temperatures:
Month:	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	
AvgMax:-4.31	-1.07	0.96	5.1	7.04	8.35	11.31	12.06	13.62	13.83	14.5	5.6	
Time:13	13	13	13	13	13	12	12	13	13	13	8	

                         Minimum Temperatures
Month:	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	
AvgMin:-13.09	-10.31	-7.19	-4.03	-1.97	-1.71	0.34	0.56	1.7	1.65	2.71	0.5	
Time: 	10	11	12	11	8	7	8	8	9	9	9	5	

=================================================================================================

                           Solar Radiation Analysis
                            ========================
Lines checked: 2909
===============
No. of wrong lines: 57
==================
Wrong Direct Normal Radiation:
=================================
Year: 1967  Month: 3  Day: 18  Time: 8  Solar radiation: 653
Year: 1964  Month: 4  Day: 9  Time: 8  Solar radiation: 706
Year: 1964  Month: 4  Day: 10  Time: 8  Solar radiation: 598
Year: 1964  Month: 4  Day: 15  Time: 8  Solar radiation: 598
Year: 1964  Month: 4  Day: 16  Time: 8  Solar radiation: 568
Year: 1964  Month: 4  Day: 24  Time: 8  Solar radiation: 642
Year: 1964  Month: 4  Day: 25  Time: 8  Solar radiation: 577
Year: 1979  Month: 5  Day: 1  Time: 8  Solar radiation: 559
Year: 1979  Month: 5  Day: 14  Time: 7  Solar radiation: 587
Year: 1979  Month: 5  Day: 15  Time: 7  Solar radiation: 622
Year: 1979  Month: 5  Day: 15  Time: 8  Solar radiation: 753
Year: 1979  Month: 5  Day: 16  Time: 7  Solar radiation: 633
Year: 1979  Month: 5  Day: 16  Time: 8  Solar radiation: 759
Year: 1979  Month: 5  Day: 21  Time: 7  Solar radiation: 616
Year: 1979  Month: 5  Day: 21  Time: 8  Solar radiation: 712
Year: 1979  Month: 5  Day: 22  Time: 8  Solar radiation: 618
Year: 1979  Month: 5  Day: 25  Time: 7  Solar radiation: 586
Year: 1979  Month: 5  Day: 25  Time: 8  Solar radiation: 721
Year: 1979  Month: 5  Day: 28  Time: 8  Solar radiation: 593
Year: 1979  Month: 5  Day: 29  Time: 8  Solar radiation: 633
Year: 1968  Month: 6  Day: 2  Time: 8  Solar radiation: 635
Year: 1968  Month: 6  Day: 3  Time: 7  Solar radiation: 631
Year: 1968  Month: 6  Day: 3  Time: 8  Solar radiation: 748
Year: 1968  Month: 6  Day: 4  Time: 8  Solar radiation: 629
Year: 1968  Month: 6  Day: 5  Time: 8  Solar radiation: 600
Year: 1968  Month: 6  Day: 13  Time: 8  Solar radiation: 591
Year: 1968  Month: 6  Day: 22  Time: 7  Solar radiation: 681
Year: 1968  Month: 6  Day: 22  Time: 8  Solar radiation: 786
Year: 1973  Month: 7  Day: 1  Time: 7  Solar radiation: 681
Year: 1973  Month: 7  Day: 1  Time: 8  Solar radiation: 787
Year: 1973  Month: 7  Day: 5  Time: 8  Solar radiation: 699
Year: 1973  Month: 7  Day: 6  Time: 8  Solar radiation: 557
Year: 1973  Month: 7  Day: 7  Time: 7  Solar radiation: 672
Year: 1973  Month: 7  Day: 7  Time: 8  Solar radiation: 781
Year: 1973  Month: 7  Day: 11  Time: 8  Solar radiation: 631
Year: 1973  Month: 7  Day: 12  Time: 8  Solar radiation: 700
Year: 1973  Month: 7  Day: 16  Time: 8  Solar radiation: 600
Year: 1973  Month: 7  Day: 17  Time: 7  Solar radiation: 570
Year: 1973  Month: 7  Day: 17  Time: 8  Solar radiation: 714
Year: 1973  Month: 7  Day: 18  Time: 8  Solar radiation: 604
Year: 1973  Month: 7  Day: 27  Time: 8  Solar radiation: 618
Year: 1964  Month: 8  Day: 7  Time: 8  Solar radiation: 573
Year: 1964  Month: 8  Day: 8  Time: 8  Solar radiation: 691
Year: 1964  Month: 8  Day: 11  Time: 8  Solar radiation: 562
Year: 1964  Month: 8  Day: 13  Time: 8  Solar radiation: 656
Year: 1964  Month: 8  Day: 14  Time: 8  Solar radiation: 572
Year: 1964  Month: 8  Day: 17  Time: 8  Solar radiation: 692
Year: 1964  Month: 8  Day: 24  Time: 8  Solar radiation: 600
Year: 1964  Month: 8  Day: 26  Time: 8  Solar radiation: 708
Year: 1964  Month: 8  Day: 31  Time: 8  Solar radiation: 590
Year: 1970  Month: 9  Day: 11  Time: 8  Solar radiation: 590
Year: 1970  Month: 9  Day: 25  Time: 8  Solar radiation: 551
Year: 1970  Month: 9  Day: 30  Time: 8  Solar radiation: 553
Year: 1974  Month: 10  Day: 17  Time: 8  Solar radiation: 609
Wrong Global Horizontal Radiation:
==================================
Wrong Diffuse Horizontal Radiation:
====================================
Year: 1979  Month: 5  Day: 4  Time: 8  Solar radiation: 346
Year: 1968  Month: 6  Day: 11  Time: 8  Solar radiation: 298
Year: 1968  Month: 6  Day: 15  Time: 8  Solar radiation: 258
