                Average Minimum and Maximum Temperatures
                ========================================

                         Maximum Temperatures:
Month:	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	
AvgMax:14.27	16.73	21.22	21.56	20.12	22.72	22.75	24.14	25.06	25.21	25.59	22.76	
Time:14	14	14	15	13	13	13	13	13	13	14	11	

                         Minimum Temperatures
Month:	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	
AvgMin:-1.67	0.4	6.53	6.53	5.8	7.08	7.0	8.17	8.77	8.79	8.83	9.84	
Time: 	11	8	7	7	9	9	8	8	8	8	8	8	

=================================================================================================

                           Solar Radiation Analysis
                            ========================
Lines checked: 2977
===============
No. of wrong lines: 39
==================
Wrong Direct Normal Radiation:
=================================
Year: 1966  Month: 3  Day: 31  Time: 8  Solar radiation: 563
Year: 1975  Month: 4  Day: 14  Time: 8  Solar radiation: 611
Year: 1975  Month: 4  Day: 19  Time: 8  Solar radiation: 642
Year: 1975  Month: 4  Day: 20  Time: 8  Solar radiation: 574
Year: 1975  Month: 4  Day: 24  Time: 8  Solar radiation: 585
Year: 1975  Month: 4  Day: 28  Time: 8  Solar radiation: 615
Year: 1975  Month: 4  Day: 29  Time: 8  Solar radiation: 720
Year: 1979  Month: 5  Day: 5  Time: 8  Solar radiation: 604
Year: 1979  Month: 5  Day: 6  Time: 8  Solar radiation: 703
Year: 1979  Month: 5  Day: 7  Time: 8  Solar radiation: 664
Year: 1979  Month: 5  Day: 8  Time: 8  Solar radiation: 654
Year: 1979  Month: 5  Day: 9  Time: 8  Solar radiation: 605
Year: 1979  Month: 5  Day: 10  Time: 8  Solar radiation: 684
Year: 1979  Month: 5  Day: 12  Time: 8  Solar radiation: 624
Year: 1979  Month: 5  Day: 13  Time: 8  Solar radiation: 695
Year: 1979  Month: 5  Day: 14  Time: 8  Solar radiation: 737
Year: 1979  Month: 5  Day: 23  Time: 8  Solar radiation: 685
Year: 1989  Month: 6  Day: 11  Time: 8  Solar radiation: 678
Year: 1989  Month: 6  Day: 12  Time: 8  Solar radiation: 679
Year: 1989  Month: 6  Day: 18  Time: 8  Solar radiation: 590
Year: 1989  Month: 6  Day: 19  Time: 8  Solar radiation: 732
Year: 1989  Month: 6  Day: 27  Time: 8  Solar radiation: 633
Year: 1989  Month: 6  Day: 28  Time: 8  Solar radiation: 671
Year: 1989  Month: 6  Day: 30  Time: 8  Solar radiation: 655
Year: 1970  Month: 7  Day: 3  Time: 8  Solar radiation: 643
Year: 1970  Month: 7  Day: 4  Time: 8  Solar radiation: 630
Year: 1970  Month: 7  Day: 5  Time: 8  Solar radiation: 596
Year: 1970  Month: 7  Day: 7  Time: 8  Solar radiation: 651
Year: 1970  Month: 7  Day: 9  Time: 8  Solar radiation: 610
Year: 1970  Month: 7  Day: 10  Time: 8  Solar radiation: 696
Year: 1970  Month: 7  Day: 18  Time: 8  Solar radiation: 654
Year: 1970  Month: 7  Day: 20  Time: 8  Solar radiation: 613
Year: 1970  Month: 7  Day: 28  Time: 8  Solar radiation: 657
Year: 1981  Month: 8  Day: 5  Time: 8  Solar radiation: 609
Year: 1981  Month: 8  Day: 6  Time: 8  Solar radiation: 590
Year: 1981  Month: 8  Day: 21  Time: 8  Solar radiation: 651
Year: 1981  Month: 8  Day: 22  Time: 8  Solar radiation: 578
Year: 1981  Month: 8  Day: 26  Time: 8  Solar radiation: 614
Year: 1981  Month: 8  Day: 29  Time: 8  Solar radiation: 629
Wrong Global Horizontal Radiation:
==================================
Wrong Diffuse Horizontal Radiation:
====================================
